individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,true,unpruned,false,null,null,4,false,true,0,9,true,true,null,true,null,5,null,unpruned,false,false,true,weka.attributeSelection.BestFirst,true,true,null,true,true,mae,CompetenceBasedAggregator,false,false,4,7,null,null,false,null,null,false,10,null,null,0.7343655130540376,-DecisionTable -X 4 -E mae -S weka.attributeSelection.BestFirst -PART -doNotMakeSplitPointActualValue -U -M 5 -B -SimpleCart -M 4 -U -Aggregator CompetenceBasedAggregator -BestFirst -N 9 -D 0 -JRip -N 7 -P -J48 -J -M 10 -O -U 
gen_000_ind_000,true,unpruned,false,null,null,4,false,true,0,9,true,true,null,true,null,5,null,unpruned,false,false,true,weka.attributeSelection.BestFirst,true,true,null,true,true,mae,CompetenceBasedAggregator,false,false,4,7,null,null,false,null,null,false,10,null,null,null,-DecisionTable -X 4 -E mae -S weka.attributeSelection.BestFirst -PART -doNotMakeSplitPointActualValue -U -M 5 -B -SimpleCart -M 4 -U -Aggregator CompetenceBasedAggregator -BestFirst -N 9 -D 0 -JRip -N 7 -P -J48 -J -M 10 -O -U 
gen_000_ind_001,true,null,true,null,0.35,9,null,true,1,8,false,true,null,true,7,6,false,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,3,false,true,acc,MajorityVotingAggregator,null,null,2,3,7,null,null,null,null,null,null,null,null,null,-DecisionTable -X 9 -E acc -S weka.attributeSelection.BestFirst -PART -C 0.35 -M 6 -B -SimpleCart -H -M 2 -C 1.0 -S 1 -N 3 -Aggregator MajorityVotingAggregator -BestFirst -N 8 -D 1 -JRip -N 3 -F 7 -O 7 
gen_000_ind_002,false,unpruned,false,null,null,9,false,true,1,4,true,true,null,true,1,9,null,unpruned,true,true,true,weka.attributeSelection.BestFirst,true,true,null,true,true,auc,RuleExtractorAggregator,true,true,2,2,5,null,false,null,null,false,10,null,null,null,-DecisionTable -X 9 -E auc -S weka.attributeSelection.BestFirst -I -PART -doNotMakeSplitPointActualValue -U -M 9 -B -SimpleCart -M 2 -U -Aggregator RuleExtractorAggregator -BestFirst -N 4 -D 1 -JRip -E -N 2 -F 5 -O 1 -J48 -J -M 10 -A -U 
gen_000_ind_003,true,unpruned,false,null,0.25,3,false,true,2,3,true,true,null,true,9,9,null,confidenceFactor,true,true,false,weka.attributeSelection.BestFirst,false,true,null,false,true,auc,CompetenceBasedAggregator,false,true,3,4,9,null,true,null,null,false,3,null,null,null,-DecisionTable -X 3 -E auc -S weka.attributeSelection.BestFirst -I -PART -C 0.25 -M 9 -B -J -SimpleCart -H -M 3 -U -Aggregator CompetenceBasedAggregator -BestFirst -N 3 -D 2 -JRip -N 4 -F 9 -O 9 -J48 -M 3 -U 
gen_000_ind_004,true,confidenceFactor,false,true,0.35,4,false,true,2,5,true,true,0.05,true,null,2,null,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,false,true,null,false,false,acc,RuleExtractorAggregator,true,true,2,8,null,null,true,null,null,false,2,null,null,null,-DecisionTable -X 4 -E acc -S weka.attributeSelection.BestFirst -PART -C 0.35 -M 2 -J -SimpleCart -H -M 2 -U -Aggregator RuleExtractorAggregator -BestFirst -N 5 -D 2 -JRip -N 8 -P -J48 -M 2 -A -C 0.05 
gen_000_ind_005,false,reducedErrorPruning,true,true,null,1,false,true,null,null,true,true,null,false,8,null,false,null,true,true,null,weka.attributeSelection.GreedyStepwise,null,true,7,false,null,auc,RuleExtractorAggregator,false,true,6,8,9,null,false,8,false,true,5,false,null,null,-DecisionTable -X 1 -E auc -S weka.attributeSelection.GreedyStepwise -I -SimpleCart -H -M 6 -C 1.0 -S 1 -N 7 -Aggregator RuleExtractorAggregator -JRip -E -N 8 -F 9 -O 8 -J48 -J -M 5 -doNotMakeSplitPointActualValue -R -Q 1 -N 8 
gen_000_ind_006,true,unpruned,true,null,null,9,true,true,1,2,true,true,null,true,null,7,false,reducedErrorPruning,true,false,false,weka.attributeSelection.BestFirst,false,true,5,false,false,auc,CompetenceBasedAggregator,false,false,2,8,null,9,false,null,null,false,3,null,null,null,-DecisionTable -X 9 -E auc -S weka.attributeSelection.BestFirst -I -PART -R -Q 1 -M 7 -N 9 -J -SimpleCart -H -M 2 -C 1.0 -S 1 -N 5 -Aggregator CompetenceBasedAggregator -BestFirst -N 2 -D 1 -JRip -N 8 -P -J48 -J -M 3 -B -O -U 
gen_000_ind_007,false,confidenceFactor,false,true,null,10,false,true,1,6,true,true,0.25,true,8,7,null,reducedErrorPruning,true,true,false,weka.attributeSelection.BestFirst,false,true,null,false,false,mae,RuleExtractorAggregator,true,false,2,10,8,3,false,null,null,false,2,null,null,null,-DecisionTable -X 10 -E mae -S weka.attributeSelection.BestFirst -I -PART -R -Q 1 -M 7 -N 3 -J -SimpleCart -H -M 2 -U -Aggregator RuleExtractorAggregator -BestFirst -N 6 -D 1 -JRip -E -N 10 -F 8 -O 8 -J48 -J -M 2 -O -A -C 0.25 
gen_000_ind_008,false,confidenceFactor,true,true,null,7,false,true,2,5,true,true,0.45,false,null,null,false,null,false,false,null,weka.attributeSelection.BestFirst,null,true,10,true,null,auc,MajorityVotingAggregator,true,false,5,10,null,null,true,null,null,false,10,null,null,null,-DecisionTable -X 7 -E auc -S weka.attributeSelection.BestFirst -SimpleCart -M 5 -C 1.0 -S 1 -N 10 -Aggregator MajorityVotingAggregator -BestFirst -N 5 -D 2 -JRip -E -N 10 -P -J48 -M 10 -O -A -C 0.45 
