individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,true,confidenceFactor,true,true,null,5,false,true,1,5,true,true,0.35,true,null,5,false,unpruned,false,false,true,weka.attributeSelection.BestFirst,false,true,2,true,true,mae,MajorityVotingAggregator,false,false,2,10,null,null,true,null,null,false,5,null,null,0.8970248393246032,-DecisionTable -X 5 -S weka.attributeSelection.BestFirst -E mae -PART -U -B -M 5 -SimpleCart -C 1.0 -S 1 -M 2 -N 2 -Aggregator MajorityVotingAggregator -BestFirst -N 5 -D 1 -JRip -P -N 10 -J48 -C 0.35 -O -M 5 
gen_000_ind_000,true,confidenceFactor,true,true,null,5,false,true,1,5,true,true,0.35,true,null,5,false,unpruned,false,false,true,weka.attributeSelection.BestFirst,false,true,2,true,true,mae,MajorityVotingAggregator,false,false,2,10,null,null,true,null,null,false,5,null,null,null,-DecisionTable -X 5 -S weka.attributeSelection.BestFirst -E mae -PART -U -B -M 5 -SimpleCart -C 1.0 -S 1 -M 2 -N 2 -Aggregator MajorityVotingAggregator -BestFirst -N 5 -D 1 -JRip -P -N 10 -J48 -C 0.35 -O -M 5 
gen_000_ind_001,true,reducedErrorPruning,false,true,0.45,9,false,true,0,4,true,true,null,true,null,6,null,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,false,true,null,true,true,auc,MajorityVotingAggregator,false,true,2,2,null,null,false,4,null,false,8,null,null,null,-DecisionTable -X 9 -S weka.attributeSelection.BestFirst -E auc -PART -C 0.45 -B -M 6 -J -SimpleCart -U -M 2 -Aggregator MajorityVotingAggregator -BestFirst -N 4 -D 0 -JRip -P -N 2 -J48 -R -Q 1 -M 8 -J -N 4 
gen_000_ind_002,false,confidenceFactor,false,false,0.05,9,false,true,2,7,true,true,0.15,true,5,10,null,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,null,true,false,auc,RuleExtractorAggregator,false,false,2,6,7,null,true,null,null,false,10,null,null,null,-DecisionTable -X 9 -S weka.attributeSelection.BestFirst -E auc -PART -C 0.05 -M 10 -SimpleCart -U -M 2 -Aggregator RuleExtractorAggregator -BestFirst -N 7 -D 2 -JRip -E -O 5 -N 6 -F 7 -J48 -C 0.15 -O -M 10 -S 
gen_000_ind_003,true,confidenceFactor,true,false,null,5,false,true,0,3,true,true,0.35,true,3,2,false,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,false,true,3,true,false,auc,RuleExtractorAggregator,true,true,7,2,9,7,false,null,null,true,10,null,null,null,-DecisionTable -X 5 -S weka.attributeSelection.BestFirst -E auc -PART -R -Q 1 -N 7 -M 2 -SimpleCart -C 1.0 -S 1 -M 7 -N 3 -Aggregator RuleExtractorAggregator -BestFirst -N 3 -D 0 -JRip -O 3 -N 2 -F 9 -J48 -doNotMakeSplitPointActualValue -C 0.35 -M 10 -J -A -S 
gen_000_ind_004,true,confidenceFactor,true,true,null,10,false,true,1,7,true,true,0.35,true,5,6,false,unpruned,false,true,true,weka.attributeSelection.BestFirst,false,true,9,false,false,acc,CompetenceBasedAggregator,false,true,4,7,4,null,false,null,null,false,3,null,null,null,-DecisionTable -X 10 -S weka.attributeSelection.BestFirst -E acc -PART -U -M 6 -SimpleCart -C 1.0 -S 1 -M 4 -H -N 9 -Aggregator CompetenceBasedAggregator -BestFirst -N 7 -D 1 -JRip -O 5 -N 7 -F 4 -J48 -C 0.35 -M 3 -J 
gen_000_ind_005,true,confidenceFactor,true,true,null,6,false,true,1,5,true,true,0.15,false,2,null,true,null,false,true,null,weka.attributeSelection.BestFirst,null,true,8,false,null,acc,CompetenceBasedAggregator,true,true,5,8,10,null,true,null,null,false,5,null,null,null,-DecisionTable -X 6 -S weka.attributeSelection.BestFirst -E acc -SimpleCart -C 1.0 -S 1 -M 5 -H -N 8 -A -Aggregator CompetenceBasedAggregator -BestFirst -N 5 -D 1 -JRip -O 2 -N 8 -F 10 -J48 -C 0.15 -M 5 -A 
gen_000_ind_006,false,unpruned,true,null,null,9,false,true,0,5,true,true,null,true,null,6,false,reducedErrorPruning,false,false,true,weka.attributeSelection.BestFirst,false,true,6,true,true,acc,MajorityVotingAggregator,true,true,8,5,null,9,true,null,null,true,9,null,null,null,-DecisionTable -X 9 -S weka.attributeSelection.BestFirst -E acc -PART -R -Q 1 -B -N 9 -M 6 -SimpleCart -C 1.0 -S 1 -M 8 -N 6 -Aggregator MajorityVotingAggregator -BestFirst -N 5 -D 0 -JRip -E -P -N 5 -J48 -doNotMakeSplitPointActualValue -U -M 9 -A 
gen_000_ind_007,null,null,false,null,null,1,null,false,null,null,false,true,null,true,null,4,null,reducedErrorPruning,false,null,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,true,auc,MajorityVotingAggregator,null,null,4,null,null,2,null,null,false,null,null,false,null,null,-DecisionTable -X 1 -S weka.attributeSelection.GreedyStepwise -E auc -PART -R -Q 1 -B -N 2 -M 4 -SimpleCart -U -M 4 -Aggregator MajorityVotingAggregator 
gen_000_ind_008,true,reducedErrorPruning,false,true,null,9,true,true,2,9,true,true,null,false,4,null,null,null,false,true,null,weka.attributeSelection.BestFirst,null,true,null,true,null,rmse,RuleExtractorAggregator,false,false,9,6,8,null,false,7,null,false,2,null,null,null,-DecisionTable -X 9 -S weka.attributeSelection.BestFirst -E rmse -SimpleCart -U -M 9 -Aggregator RuleExtractorAggregator -BestFirst -N 9 -D 2 -JRip -O 4 -N 6 -F 8 -J48 -R -Q 1 -O -M 2 -J -B -N 7 
