individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,true,reducedErrorPruning,false,false,null,7,false,true,null,null,true,true,null,true,null,3,null,reducedErrorPruning,false,false,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,false,auc,MajorityVotingAggregator,false,true,7,10,null,2,false,6,false,true,10,true,null,0.9971429689640328,-DecisionTable -E auc -X 7 -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -B -PART -R -Q 1 -N 2 -M 3 -SimpleCart -U -M 7 -Aggregator MajorityVotingAggregator -JRip -P -N 10 -J48 -M 10 -R -Q 1 -S -N 6 -J -doNotMakeSplitPointActualValue 
gen_000_ind_000,true,reducedErrorPruning,false,false,null,7,false,true,null,null,true,true,null,true,null,3,null,reducedErrorPruning,false,false,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,false,auc,MajorityVotingAggregator,false,true,7,10,null,2,false,6,false,true,10,true,null,null,-DecisionTable -E auc -X 7 -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -B -PART -R -Q 1 -N 2 -M 3 -SimpleCart -U -M 7 -Aggregator MajorityVotingAggregator -JRip -P -N 10 -J48 -M 10 -R -Q 1 -S -N 6 -J -doNotMakeSplitPointActualValue 
gen_000_ind_001,null,confidenceFactor,null,true,null,7,true,false,0,10,true,true,0.15,true,null,7,null,reducedErrorPruning,true,null,false,weka.attributeSelection.BestFirst,true,false,null,null,false,auc,RuleExtractorAggregator,true,false,null,null,null,2,true,null,null,false,5,null,null,null,-DecisionTable -I -E auc -X 7 -S weka.attributeSelection.BestFirst -PART -R -Q 1 -N 2 -doNotMakeSplitPointActualValue -M 7 -J -Aggregator RuleExtractorAggregator -BestFirst -N 10 -D 0 -J48 -B -O -M 5 -C 0.15 -A 
gen_000_ind_002,true,confidenceFactor,false,true,null,3,false,true,2,5,true,true,0.45,true,5,9,null,reducedErrorPruning,true,true,true,weka.attributeSelection.BestFirst,true,true,null,true,true,mae,CompetenceBasedAggregator,true,true,9,5,8,6,false,null,null,false,2,null,null,null,-DecisionTable -I -E mae -X 3 -S weka.attributeSelection.BestFirst -PART -R -Q 1 -N 6 -doNotMakeSplitPointActualValue -B -M 9 -SimpleCart -U -M 9 -Aggregator CompetenceBasedAggregator -BestFirst -N 5 -D 2 -JRip -N 5 -F 8 -O 5 -J48 -M 2 -C 0.45 -J -A 
gen_000_ind_003,false,confidenceFactor,true,false,null,2,true,true,null,null,true,true,0.25,true,7,7,true,unpruned,true,true,true,weka.attributeSelection.GreedyStepwise,true,true,5,false,true,auc,CompetenceBasedAggregator,false,true,2,4,5,null,true,null,false,false,4,true,null,null,-DecisionTable -I -E auc -X 2 -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -B -PART -U -doNotMakeSplitPointActualValue -B -M 7 -SimpleCart -C 1.0 -S 1 -A -M 2 -N 5 -H -Aggregator CompetenceBasedAggregator -JRip -E -N 4 -F 5 -O 7 -J48 -B -M 4 -C 0.25 -S 
gen_000_ind_004,false,confidenceFactor,true,false,0.45,5,false,true,1,3,true,true,0.45,true,5,5,false,confidenceFactor,false,true,false,weka.attributeSelection.BestFirst,false,true,2,true,true,rmse,MajorityVotingAggregator,false,false,3,6,7,null,false,null,null,true,9,null,null,null,-DecisionTable -E rmse -X 5 -S weka.attributeSelection.BestFirst -PART -C 0.45 -B -M 5 -J -SimpleCart -C 1.0 -S 1 -M 3 -N 2 -Aggregator MajorityVotingAggregator -BestFirst -N 3 -D 1 -JRip -E -N 6 -F 7 -O 5 -J48 -O -M 9 -C 0.45 -S -J -doNotMakeSplitPointActualValue 
gen_000_ind_005,false,unpruned,true,null,0.35,9,true,true,0,6,true,true,null,true,10,4,true,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,5,true,false,acc,RuleExtractorAggregator,false,true,3,2,8,null,true,null,null,false,9,null,null,null,-DecisionTable -E acc -X 9 -S weka.attributeSelection.BestFirst -PART -C 0.35 -M 4 -SimpleCart -C 1.0 -S 1 -A -M 3 -N 5 -Aggregator RuleExtractorAggregator -BestFirst -N 6 -D 0 -JRip -E -N 2 -F 8 -O 10 -J48 -B -M 9 -U 
gen_000_ind_006,false,reducedErrorPruning,false,false,0.35,6,false,true,1,3,true,true,null,true,2,2,null,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,false,true,null,false,false,auc,MajorityVotingAggregator,true,false,2,2,8,null,true,3,null,false,6,null,null,null,-DecisionTable -I -E auc -X 6 -S weka.attributeSelection.BestFirst -PART -C 0.35 -M 2 -SimpleCart -U -M 2 -H -Aggregator MajorityVotingAggregator -BestFirst -N 3 -D 1 -JRip -E -N 2 -F 8 -O 2 -J48 -O -M 6 -R -Q 1 -S -N 3 -A 
gen_000_ind_007,true,unpruned,true,null,0.15,8,false,true,1,10,true,true,null,true,null,9,true,confidenceFactor,true,false,false,weka.attributeSelection.BestFirst,false,true,2,false,false,auc,MajorityVotingAggregator,true,true,4,10,null,null,false,null,null,false,6,null,null,null,-DecisionTable -I -E auc -X 8 -S weka.attributeSelection.BestFirst -PART -C 0.15 -M 9 -J -SimpleCart -C 1.0 -S 1 -A -M 4 -N 2 -H -Aggregator MajorityVotingAggregator -BestFirst -N 10 -D 1 -JRip -P -N 10 -J48 -M 6 -U -J -A 
gen_000_ind_008,false,reducedErrorPruning,true,true,null,2,false,true,1,8,true,true,null,true,null,2,false,reducedErrorPruning,false,false,true,weka.attributeSelection.BestFirst,false,true,4,true,false,auc,CompetenceBasedAggregator,true,true,8,9,null,2,false,10,null,true,4,null,null,null,-DecisionTable -E auc -X 2 -S weka.attributeSelection.BestFirst -PART -R -Q 1 -N 2 -M 2 -SimpleCart -C 1.0 -S 1 -M 8 -N 4 -Aggregator CompetenceBasedAggregator -BestFirst -N 8 -D 1 -JRip -P -E -N 9 -J48 -M 4 -R -Q 1 -N 10 -J -doNotMakeSplitPointActualValue -A 
gen_000_ind_009,true,confidenceFactor,true,false,0.45,1,true,true,null,null,true,true,0.15,true,null,8,true,confidenceFactor,false,false,true,weka.attributeSelection.GreedyStepwise,false,true,10,false,true,acc,MajorityVotingAggregator,true,true,6,6,null,null,true,null,false,false,9,false,null,null,-DecisionTable -E acc -X 1 -S weka.attributeSelection.GreedyStepwise -PART -C 0.45 -B -M 8 -SimpleCart -C 1.0 -S 1 -A -M 6 -N 10 -H -Aggregator MajorityVotingAggregator -JRip -P -N 6 -J48 -B -M 9 -C 0.15 -S -A 
gen_000_ind_010,false,unpruned,false,null,0.15,null,true,true,null,null,true,false,null,true,null,8,null,confidenceFactor,null,false,true,null,false,true,null,true,false,null,CompetenceBasedAggregator,false,false,2,6,null,null,true,null,null,false,2,null,null,null,-PART -C 0.15 -M 8 -SimpleCart -U -M 2 -Aggregator CompetenceBasedAggregator -JRip -P -E -N 6 -J48 -B -O -M 2 -U 
gen_000_ind_011,true,null,false,null,null,1,null,true,1,6,false,true,null,true,2,4,null,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,false,true,null,false,false,acc,RuleExtractorAggregator,null,null,3,2,8,4,null,null,null,null,null,null,null,null,-DecisionTable -E acc -X 1 -S weka.attributeSelection.BestFirst -PART -R -Q 1 -N 4 -M 4 -SimpleCart -U -M 3 -H -Aggregator RuleExtractorAggregator -BestFirst -N 6 -D 1 -JRip -N 2 -F 8 -O 2 
gen_000_ind_012,null,reducedErrorPruning,null,true,0.45,1,false,false,1,4,true,true,null,true,null,9,null,confidenceFactor,true,null,false,weka.attributeSelection.BestFirst,false,false,null,null,true,mae,RuleExtractorAggregator,false,false,null,null,null,null,true,3,null,true,8,null,null,null,-DecisionTable -I -E mae -X 1 -S weka.attributeSelection.BestFirst -PART -C 0.45 -B -M 9 -J -Aggregator RuleExtractorAggregator -BestFirst -N 4 -D 1 -J48 -O -M 8 -R -Q 1 -N 3 -doNotMakeSplitPointActualValue 
gen_000_ind_013,true,reducedErrorPruning,null,false,0.25,1,true,true,0,3,true,true,null,true,5,5,null,confidenceFactor,false,true,false,weka.attributeSelection.BestFirst,false,false,null,null,true,rmse,CompetenceBasedAggregator,false,true,null,10,9,null,false,10,null,true,2,null,null,null,-DecisionTable -E rmse -X 1 -S weka.attributeSelection.BestFirst -PART -C 0.25 -B -M 5 -J -Aggregator CompetenceBasedAggregator -BestFirst -N 3 -D 0 -JRip -N 10 -F 9 -O 5 -J48 -B -M 2 -R -Q 1 -S -N 10 -J -doNotMakeSplitPointActualValue 
gen_000_ind_014,null,unpruned,null,null,0.15,2,true,false,null,null,true,true,null,true,null,10,null,confidenceFactor,true,null,true,weka.attributeSelection.GreedyStepwise,true,false,null,null,true,mae,RuleExtractorAggregator,false,true,null,null,null,null,false,null,false,false,4,false,null,null,-DecisionTable -I -E mae -X 2 -S weka.attributeSelection.GreedyStepwise -PART -C 0.15 -doNotMakeSplitPointActualValue -B -M 10 -Aggregator RuleExtractorAggregator -J48 -B -M 4 -U -J 
gen_000_ind_015,false,unpruned,false,null,null,2,false,true,0,5,true,true,null,true,null,3,null,unpruned,false,false,false,weka.attributeSelection.BestFirst,true,true,null,false,false,acc,CompetenceBasedAggregator,false,false,2,9,null,null,true,null,null,false,6,null,null,null,-DecisionTable -E acc -X 2 -S weka.attributeSelection.BestFirst -PART -U -doNotMakeSplitPointActualValue -M 3 -J -SimpleCart -U -M 2 -H -Aggregator CompetenceBasedAggregator -BestFirst -N 5 -D 0 -JRip -P -E -N 9 -J48 -O -M 6 -U 
gen_000_ind_016,true,confidenceFactor,true,true,null,4,false,true,2,5,true,true,0.25,true,null,10,true,reducedErrorPruning,false,false,true,weka.attributeSelection.BestFirst,false,true,5,false,false,acc,RuleExtractorAggregator,true,false,8,3,null,3,false,null,null,true,10,null,null,null,-DecisionTable -E acc -X 4 -S weka.attributeSelection.BestFirst -PART -R -Q 1 -N 3 -M 10 -SimpleCart -C 1.0 -S 1 -A -M 8 -N 5 -H -Aggregator RuleExtractorAggregator -BestFirst -N 5 -D 2 -JRip -P -N 3 -J48 -O -M 10 -C 0.25 -J -doNotMakeSplitPointActualValue -A 
gen_000_ind_017,false,unpruned,true,null,0.45,1,false,true,2,9,true,true,null,true,null,6,true,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,false,true,4,false,false,rmse,CompetenceBasedAggregator,true,true,2,9,null,null,true,null,null,false,9,null,null,null,-DecisionTable -E rmse -X 1 -S weka.attributeSelection.BestFirst -PART -C 0.45 -M 6 -SimpleCart -C 1.0 -S 1 -A -M 2 -N 4 -H -Aggregator CompetenceBasedAggregator -BestFirst -N 9 -D 2 -JRip -P -E -N 9 -J48 -M 9 -U -A 
gen_000_ind_018,false,confidenceFactor,true,true,null,5,false,true,1,3,true,true,0.25,true,8,10,false,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,true,true,2,false,false,auc,CompetenceBasedAggregator,true,false,7,7,9,6,true,null,null,false,2,null,null,null,-DecisionTable -E auc -X 5 -S weka.attributeSelection.BestFirst -PART -R -Q 1 -N 6 -doNotMakeSplitPointActualValue -M 10 -SimpleCart -C 1.0 -S 1 -M 7 -N 2 -H -Aggregator CompetenceBasedAggregator -BestFirst -N 3 -D 1 -JRip -E -N 7 -F 9 -O 8 -J48 -O -M 2 -C 0.25 -A 
gen_000_ind_019,false,confidenceFactor,true,true,0.15,null,true,true,null,null,true,false,0.05,true,10,9,false,confidenceFactor,null,true,true,null,true,true,9,false,true,null,MajorityVotingAggregator,true,true,10,3,4,null,false,null,null,false,9,null,null,null,-PART -C 0.15 -doNotMakeSplitPointActualValue -B -M 9 -SimpleCart -C 1.0 -S 1 -M 10 -N 9 -H -Aggregator MajorityVotingAggregator -JRip -E -N 3 -F 4 -O 10 -J48 -B -M 9 -C 0.05 -J -A 
gen_000_ind_020,true,unpruned,true,null,null,6,true,true,1,1,true,true,null,true,2,10,false,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,false,true,8,true,false,auc,RuleExtractorAggregator,false,true,9,4,4,10,false,null,null,false,4,null,null,null,-DecisionTable -E auc -X 6 -S weka.attributeSelection.BestFirst -PART -R -Q 1 -N 10 -M 10 -SimpleCart -C 1.0 -S 1 -M 9 -N 8 -Aggregator RuleExtractorAggregator -BestFirst -N 1 -D 1 -JRip -N 4 -F 4 -O 2 -J48 -B -M 4 -U -J 
gen_000_ind_021,false,reducedErrorPruning,false,false,null,null,true,true,null,null,true,false,null,false,null,null,null,null,null,false,null,null,null,true,null,false,null,null,MajorityVotingAggregator,true,true,8,3,null,null,false,6,null,false,10,null,null,null,-SimpleCart -U -M 8 -H -Aggregator MajorityVotingAggregator -JRip -P -E -N 3 -J48 -B -M 10 -R -Q 1 -S -N 6 -J -A 
gen_000_ind_022,false,reducedErrorPruning,true,false,0.15,8,false,true,1,3,true,true,null,true,null,4,false,confidenceFactor,true,false,true,weka.attributeSelection.BestFirst,false,true,2,true,false,acc,MajorityVotingAggregator,false,true,7,8,null,null,false,8,null,false,2,null,null,null,-DecisionTable -I -E acc -X 8 -S weka.attributeSelection.BestFirst -PART -C 0.15 -M 4 -SimpleCart -C 1.0 -S 1 -M 7 -N 2 -Aggregator MajorityVotingAggregator -BestFirst -N 3 -D 1 -JRip -P -E -N 8 -J48 -M 2 -R -Q 1 -S -N 8 -J 
gen_000_ind_023,false,reducedErrorPruning,false,false,0.15,null,false,true,null,null,true,false,null,true,7,10,null,confidenceFactor,null,true,true,null,true,true,null,false,false,null,RuleExtractorAggregator,false,true,2,4,10,null,true,5,null,false,2,null,null,null,-PART -C 0.15 -doNotMakeSplitPointActualValue -M 10 -SimpleCart -U -M 2 -H -Aggregator RuleExtractorAggregator -JRip -E -N 4 -F 10 -O 7 -J48 -M 2 -R -Q 1 -S -N 5 
gen_000_ind_024,null,unpruned,true,null,0.05,5,false,false,1,5,true,true,null,true,null,10,true,confidenceFactor,true,null,false,weka.attributeSelection.BestFirst,true,true,10,true,true,auc,RuleExtractorAggregator,false,false,2,null,null,null,false,null,null,true,8,null,null,null,-DecisionTable -I -E auc -X 5 -S weka.attributeSelection.BestFirst -PART -C 0.05 -doNotMakeSplitPointActualValue -B -M 10 -J -SimpleCart -C 1.0 -S 1 -A -M 2 -N 10 -Aggregator RuleExtractorAggregator -BestFirst -N 5 -D 1 -J48 -O -M 8 -U -J -doNotMakeSplitPointActualValue 
