individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,true,reducedErrorPruning,null,false,null,6,false,true,null,null,true,true,null,true,null,6,null,unpruned,false,false,false,weka.attributeSelection.GreedyStepwise,true,false,null,null,false,auc,MajorityVotingAggregator,true,false,null,7,null,null,false,3,true,true,10,true,null,0.9914759944795591,-DecisionTable -X 6 -S weka.attributeSelection.GreedyStepwise -E auc -GreedyStepwise -B -C -PART -U -doNotMakeSplitPointActualValue -J -M 6 -Aggregator MajorityVotingAggregator -JRip -N 7 -P -J48 -M 10 -R -Q 1 -O -doNotMakeSplitPointActualValue -A -S -N 3 -J 
gen_000_ind_000,true,reducedErrorPruning,null,false,null,6,false,true,null,null,true,true,null,true,null,6,null,unpruned,false,false,false,weka.attributeSelection.GreedyStepwise,true,false,null,null,false,auc,MajorityVotingAggregator,true,false,null,7,null,null,false,3,true,true,10,true,null,null,-DecisionTable -X 6 -S weka.attributeSelection.GreedyStepwise -E auc -GreedyStepwise -B -C -PART -U -doNotMakeSplitPointActualValue -J -M 6 -Aggregator MajorityVotingAggregator -JRip -N 7 -P -J48 -M 10 -R -Q 1 -O -doNotMakeSplitPointActualValue -A -S -N 3 -J 
gen_000_ind_001,false,reducedErrorPruning,true,true,null,1,true,true,null,null,true,true,null,false,2,null,false,null,false,true,null,weka.attributeSelection.GreedyStepwise,null,true,4,true,null,mae,MajorityVotingAggregator,true,false,2,8,7,null,true,5,false,false,3,true,null,null,-DecisionTable -X 1 -S weka.attributeSelection.GreedyStepwise -E mae -GreedyStepwise -B -SimpleCart -C 1.0 -S 1 -M 2 -N 4 -Aggregator MajorityVotingAggregator -JRip -E -N 8 -O 2 -F 7 -J48 -M 3 -R -Q 1 -B -O -A -N 5 
gen_000_ind_002,true,confidenceFactor,true,true,null,null,false,true,null,null,true,false,0.45,true,9,8,true,unpruned,null,true,false,null,false,true,4,false,false,null,CompetenceBasedAggregator,false,false,6,5,8,null,true,null,null,true,3,null,null,null,-PART -U -J -M 8 -SimpleCart -H -C 1.0 -S 1 -M 6 -N 4 -A -Aggregator CompetenceBasedAggregator -JRip -N 5 -O 9 -F 8 -J48 -M 3 -C 0.45 -O -doNotMakeSplitPointActualValue 
gen_000_ind_003,true,confidenceFactor,true,true,null,9,false,true,1,3,true,true,0.05,false,null,null,true,null,false,false,null,weka.attributeSelection.BestFirst,null,true,2,false,null,auc,CompetenceBasedAggregator,false,true,9,2,null,null,true,null,null,true,9,null,null,null,-DecisionTable -X 9 -S weka.attributeSelection.BestFirst -E auc -SimpleCart -H -C 1.0 -S 1 -M 9 -N 2 -A -Aggregator CompetenceBasedAggregator -BestFirst -N 3 -D 1 -JRip -N 2 -P -J48 -M 9 -C 0.05 -doNotMakeSplitPointActualValue 
gen_000_ind_004,false,confidenceFactor,false,false,null,10,true,true,null,null,true,true,0.05,true,null,9,null,unpruned,false,false,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,false,auc,CompetenceBasedAggregator,true,false,7,9,null,null,true,null,true,true,10,false,null,null,-DecisionTable -X 10 -S weka.attributeSelection.GreedyStepwise -E auc -GreedyStepwise -C -PART -U -M 9 -SimpleCart -U -M 7 -Aggregator CompetenceBasedAggregator -JRip -E -N 9 -P -J48 -M 10 -C 0.05 -B -O -doNotMakeSplitPointActualValue -A -S 
gen_000_ind_005,false,confidenceFactor,true,false,null,3,false,true,2,1,true,true,0.45,false,3,null,false,null,true,true,null,weka.attributeSelection.BestFirst,null,true,6,false,null,auc,MajorityVotingAggregator,false,false,8,3,10,null,true,null,null,true,8,null,null,null,-DecisionTable -I -X 3 -S weka.attributeSelection.BestFirst -E auc -SimpleCart -H -C 1.0 -S 1 -M 8 -N 6 -Aggregator MajorityVotingAggregator -BestFirst -N 1 -D 2 -JRip -E -N 3 -O 3 -F 10 -J48 -M 8 -C 0.45 -O -doNotMakeSplitPointActualValue -S 
gen_000_ind_006,false,unpruned,true,null,null,10,false,true,null,null,true,true,null,true,null,6,true,reducedErrorPruning,false,false,true,weka.attributeSelection.GreedyStepwise,true,true,4,true,false,mae,RuleExtractorAggregator,false,true,3,2,null,10,true,null,true,false,3,false,null,null,-DecisionTable -X 10 -S weka.attributeSelection.GreedyStepwise -E mae -GreedyStepwise -C -PART -R -Q 1 -doNotMakeSplitPointActualValue -N 10 -M 6 -SimpleCart -C 1.0 -S 1 -M 3 -N 4 -A -Aggregator RuleExtractorAggregator -JRip -E -N 2 -P -J48 -M 3 -U 
gen_000_ind_007,false,null,true,null,null,5,null,true,null,null,false,true,null,true,2,8,false,unpruned,true,true,false,weka.attributeSelection.GreedyStepwise,false,true,5,true,true,auc,MajorityVotingAggregator,null,null,8,7,9,null,null,null,true,null,null,false,null,null,-DecisionTable -I -X 5 -S weka.attributeSelection.GreedyStepwise -E auc -GreedyStepwise -C -PART -B -U -J -M 8 -SimpleCart -C 1.0 -S 1 -M 8 -N 5 -Aggregator MajorityVotingAggregator -JRip -E -N 7 -O 2 -F 9 
gen_000_ind_008,false,confidenceFactor,true,true,0.25,1,true,true,0,9,true,true,0.05,true,null,2,false,confidenceFactor,true,false,true,weka.attributeSelection.BestFirst,false,true,4,false,false,mae,RuleExtractorAggregator,false,false,2,7,null,null,true,null,null,false,8,null,null,null,-DecisionTable -I -X 1 -S weka.attributeSelection.BestFirst -E mae -PART -C 0.25 -M 2 -SimpleCart -H -C 1.0 -S 1 -M 2 -N 4 -Aggregator RuleExtractorAggregator -BestFirst -N 9 -D 0 -JRip -E -N 7 -P -J48 -M 8 -C 0.05 -B -O 
