individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,true,unpruned,true,null,null,1,false,true,2,2,true,true,null,true,null,5,true,reducedErrorPruning,false,false,true,weka.attributeSelection.BestFirst,false,true,3,true,false,rmse,RuleExtractorAggregator,true,true,8,5,null,7,true,null,null,true,3,null,null,0.9886663585568092,-DecisionTable -E rmse -S weka.attributeSelection.BestFirst -X 1 -PART -M 5 -R -Q 1 -N 7 -SimpleCart -M 8 -C 1.0 -S 1 -A -N 3 -Aggregator RuleExtractorAggregator -BestFirst -N 2 -D 2 -JRip -P -N 5 -J48 -A -M 3 -U -doNotMakeSplitPointActualValue 
gen_000_ind_000,true,unpruned,true,null,null,1,false,true,2,2,true,true,null,true,null,5,true,reducedErrorPruning,false,false,true,weka.attributeSelection.BestFirst,false,true,3,true,false,rmse,RuleExtractorAggregator,true,true,8,5,null,7,true,null,null,true,3,null,null,null,-DecisionTable -E rmse -S weka.attributeSelection.BestFirst -X 1 -PART -M 5 -R -Q 1 -N 7 -SimpleCart -M 8 -C 1.0 -S 1 -A -N 3 -Aggregator RuleExtractorAggregator -BestFirst -N 2 -D 2 -JRip -P -N 5 -J48 -A -M 3 -U -doNotMakeSplitPointActualValue 
gen_000_ind_001,false,confidenceFactor,true,true,null,null,false,true,null,null,true,false,0.45,false,5,null,false,null,null,true,null,null,null,true,3,false,null,null,RuleExtractorAggregator,false,false,7,7,7,null,true,null,null,true,10,null,null,null,-SimpleCart -M 7 -H -C 1.0 -S 1 -N 3 -Aggregator RuleExtractorAggregator -JRip -E -N 7 -O 5 -F 7 -J48 -M 10 -C 0.45 -doNotMakeSplitPointActualValue -O 
gen_000_ind_002,true,unpruned,true,null,null,2,false,true,null,null,true,true,null,true,1,2,false,unpruned,false,true,true,weka.attributeSelection.GreedyStepwise,true,true,6,true,true,auc,RuleExtractorAggregator,true,true,9,4,8,null,true,null,true,false,8,false,null,null,-DecisionTable -E auc -S weka.attributeSelection.GreedyStepwise -X 2 -GreedyStepwise -C -PART -B -doNotMakeSplitPointActualValue -M 2 -U -SimpleCart -M 9 -C 1.0 -S 1 -N 6 -Aggregator RuleExtractorAggregator -JRip -N 4 -O 1 -F 8 -J48 -A -M 8 -U 
gen_000_ind_003,true,reducedErrorPruning,null,true,null,null,true,true,null,null,true,false,null,true,null,2,null,unpruned,null,false,false,null,true,false,null,null,false,null,RuleExtractorAggregator,true,true,null,2,null,null,true,3,null,false,5,null,null,null,-PART -doNotMakeSplitPointActualValue -J -M 2 -U -Aggregator RuleExtractorAggregator -JRip -P -N 2 -J48 -A -M 5 -R -Q 1 -B -N 3 
gen_000_ind_004,false,confidenceFactor,false,true,null,9,true,true,0,8,true,true,0.05,false,null,null,null,null,false,false,null,weka.attributeSelection.BestFirst,null,true,null,true,null,auc,MajorityVotingAggregator,true,true,2,3,null,null,true,null,null,true,9,null,null,null,-DecisionTable -E auc -S weka.attributeSelection.BestFirst -X 9 -SimpleCart -M 2 -U -Aggregator MajorityVotingAggregator -BestFirst -N 8 -D 0 -JRip -E -P -N 3 -J48 -A -M 9 -C 0.05 -doNotMakeSplitPointActualValue -B 
gen_000_ind_005,true,reducedErrorPruning,true,true,null,10,false,true,2,3,true,true,null,true,2,2,false,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,true,true,2,false,true,auc,MajorityVotingAggregator,false,true,8,9,3,5,true,9,null,true,8,null,null,null,-DecisionTable -E auc -S weka.attributeSelection.BestFirst -X 10 -PART -B -doNotMakeSplitPointActualValue -M 2 -R -Q 1 -N 5 -SimpleCart -M 8 -H -C 1.0 -S 1 -N 2 -Aggregator MajorityVotingAggregator -BestFirst -N 3 -D 2 -JRip -N 9 -O 2 -F 3 -J48 -M 8 -R -Q 1 -doNotMakeSplitPointActualValue -N 9 
gen_000_ind_006,true,unpruned,false,null,0.45,7,false,true,0,5,true,true,null,true,null,4,null,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,false,true,null,true,true,auc,CompetenceBasedAggregator,true,true,10,4,null,null,true,null,null,true,5,null,null,null,-DecisionTable -E auc -S weka.attributeSelection.BestFirst -X 7 -PART -B -M 4 -C 0.45 -SimpleCart -M 10 -U -Aggregator CompetenceBasedAggregator -BestFirst -N 5 -D 0 -JRip -P -N 4 -J48 -A -M 5 -U -doNotMakeSplitPointActualValue 
gen_000_ind_007,null,confidenceFactor,false,true,0.25,null,false,false,null,null,true,false,0.45,true,null,8,null,confidenceFactor,null,null,false,null,true,true,null,true,true,null,RuleExtractorAggregator,false,false,7,null,null,null,true,null,null,true,8,null,null,null,-PART -B -doNotMakeSplitPointActualValue -J -M 8 -C 0.25 -SimpleCart -M 7 -U -Aggregator RuleExtractorAggregator -J48 -M 8 -C 0.45 -doNotMakeSplitPointActualValue -O 
gen_000_ind_008,false,confidenceFactor,true,false,null,10,true,true,null,null,true,true,0.45,false,3,null,false,null,true,true,null,weka.attributeSelection.GreedyStepwise,null,true,8,true,null,auc,MajorityVotingAggregator,false,true,4,4,4,null,true,null,false,false,4,true,null,null,-DecisionTable -E auc -S weka.attributeSelection.GreedyStepwise -I -X 10 -GreedyStepwise -B -SimpleCart -M 4 -C 1.0 -S 1 -N 8 -Aggregator MajorityVotingAggregator -JRip -E -N 4 -O 3 -F 4 -J48 -M 4 -C 0.45 -B -S 
