individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,true,reducedErrorPruning,true,true,null,null,false,true,null,null,true,false,null,false,7,null,false,null,null,true,null,null,null,true,2,true,null,null,RuleExtractorAggregator,false,false,7,2,9,null,true,7,null,false,2,null,null,0.88701206176685,-SimpleCart -C 1.0 -S 1 -M 7 -N 2 -Aggregator RuleExtractorAggregator -JRip -N 2 -F 9 -O 7 -J48 -M 2 -O -R -Q 1 -N 7 
gen_000_ind_000,true,reducedErrorPruning,true,true,null,null,false,true,null,null,true,false,null,false,7,null,false,null,null,true,null,null,null,true,2,true,null,null,RuleExtractorAggregator,false,false,7,2,9,null,true,7,null,false,2,null,null,null,-SimpleCart -C 1.0 -S 1 -M 7 -N 2 -Aggregator RuleExtractorAggregator -JRip -N 2 -F 9 -O 7 -J48 -M 2 -O -R -Q 1 -N 7 
gen_000_ind_001,false,reducedErrorPruning,true,false,0.25,5,true,true,null,null,true,true,null,true,10,10,true,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,3,true,false,rmse,CompetenceBasedAggregator,false,false,6,7,9,null,true,5,false,false,2,true,null,null,-DecisionTable -E rmse -S weka.attributeSelection.GreedyStepwise -X 5 -GreedyStepwise -B -PART -M 10 -C 0.25 -SimpleCart -C 1.0 -S 1 -M 6 -A -N 3 -Aggregator CompetenceBasedAggregator -JRip -E -N 7 -F 9 -O 10 -J48 -B -M 2 -O -R -Q 1 -N 5 -S 
gen_000_ind_002,true,confidenceFactor,true,true,null,1,true,true,1,5,true,true,0.45,true,1,5,false,reducedErrorPruning,false,true,false,weka.attributeSelection.BestFirst,false,true,3,true,true,rmse,RuleExtractorAggregator,true,false,2,3,6,3,true,null,null,false,2,null,null,null,-DecisionTable -E rmse -S weka.attributeSelection.BestFirst -X 1 -PART -J -B -M 5 -R -Q 1 -N 3 -SimpleCart -C 1.0 -S 1 -M 2 -N 3 -Aggregator RuleExtractorAggregator -BestFirst -D 1 -N 5 -JRip -N 3 -F 6 -O 1 -J48 -B -M 2 -O -C 0.45 -A 
gen_000_ind_003,false,reducedErrorPruning,true,true,0.45,7,false,true,1,8,true,true,null,true,null,6,false,confidenceFactor,true,false,false,weka.attributeSelection.BestFirst,false,true,6,false,true,rmse,RuleExtractorAggregator,true,true,3,6,null,null,true,10,null,false,7,null,null,null,-DecisionTable -E rmse -S weka.attributeSelection.BestFirst -X 7 -I -PART -J -B -M 6 -C 0.45 -SimpleCart -C 1.0 -S 1 -H -M 3 -N 6 -Aggregator RuleExtractorAggregator -BestFirst -D 1 -N 8 -JRip -E -N 6 -P -J48 -M 7 -R -Q 1 -A -N 10 
gen_000_ind_004,false,confidenceFactor,true,true,0.05,9,true,true,null,null,true,true,0.15,true,4,6,false,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,true,true,3,false,false,rmse,RuleExtractorAggregator,true,true,7,2,2,null,false,null,false,false,10,true,null,null,-DecisionTable -E rmse -S weka.attributeSelection.GreedyStepwise -X 9 -GreedyStepwise -B -PART -doNotMakeSplitPointActualValue -M 6 -C 0.05 -SimpleCart -C 1.0 -S 1 -H -M 7 -N 3 -Aggregator RuleExtractorAggregator -JRip -E -N 2 -F 2 -O 4 -J48 -B -M 10 -J -C 0.15 -A 
gen_000_ind_005,null,confidenceFactor,true,true,null,4,false,false,1,5,true,true,0.15,true,null,2,true,unpruned,false,null,false,weka.attributeSelection.BestFirst,true,true,9,true,false,auc,CompetenceBasedAggregator,true,false,9,null,null,null,false,null,null,true,2,null,null,null,-DecisionTable -E auc -S weka.attributeSelection.BestFirst -X 4 -PART -J -doNotMakeSplitPointActualValue -M 2 -U -SimpleCart -C 1.0 -S 1 -M 9 -A -N 9 -Aggregator CompetenceBasedAggregator -BestFirst -D 1 -N 5 -J48 -M 2 -J -doNotMakeSplitPointActualValue -O -C 0.15 -A 
gen_000_ind_006,false,confidenceFactor,null,false,0.05,3,false,true,2,5,true,true,0.25,true,null,4,null,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,true,false,null,null,true,acc,MajorityVotingAggregator,false,false,null,9,null,null,false,null,null,true,2,null,null,null,-DecisionTable -E acc -S weka.attributeSelection.BestFirst -X 3 -PART -J -B -doNotMakeSplitPointActualValue -M 4 -C 0.05 -Aggregator MajorityVotingAggregator -BestFirst -D 2 -N 5 -JRip -E -N 9 -P -J48 -M 2 -J -doNotMakeSplitPointActualValue -O -C 0.25 -S 
gen_000_ind_007,true,reducedErrorPruning,true,true,0.35,10,false,true,2,5,true,true,null,true,null,4,true,confidenceFactor,true,false,true,weka.attributeSelection.BestFirst,false,true,5,true,false,rmse,CompetenceBasedAggregator,false,true,6,4,null,null,false,6,null,false,2,null,null,null,-DecisionTable -E rmse -S weka.attributeSelection.BestFirst -X 10 -I -PART -M 4 -C 0.35 -SimpleCart -C 1.0 -S 1 -M 6 -A -N 5 -Aggregator CompetenceBasedAggregator -BestFirst -D 2 -N 5 -JRip -N 4 -P -J48 -M 2 -J -R -Q 1 -N 6 
gen_000_ind_008,null,reducedErrorPruning,true,false,null,7,true,false,1,9,true,true,null,true,null,8,false,unpruned,false,null,false,weka.attributeSelection.BestFirst,false,true,5,false,false,auc,RuleExtractorAggregator,true,true,2,null,null,null,false,3,null,false,10,null,null,null,-DecisionTable -E auc -S weka.attributeSelection.BestFirst -X 7 -PART -J -M 8 -U -SimpleCart -C 1.0 -S 1 -H -M 2 -N 5 -Aggregator RuleExtractorAggregator -BestFirst -D 1 -N 9 -J48 -B -M 10 -J -R -Q 1 -A -N 3 -S 
gen_000_ind_009,true,unpruned,true,null,null,8,false,true,null,null,true,true,null,true,5,10,true,unpruned,false,true,true,weka.attributeSelection.GreedyStepwise,true,true,10,true,false,rmse,MajorityVotingAggregator,false,false,8,2,6,null,true,null,true,true,9,true,null,null,-DecisionTable -E rmse -S weka.attributeSelection.GreedyStepwise -X 8 -GreedyStepwise -C -B -PART -doNotMakeSplitPointActualValue -M 10 -U -SimpleCart -C 1.0 -S 1 -M 8 -A -N 10 -Aggregator MajorityVotingAggregator -JRip -N 2 -F 6 -O 5 -J48 -M 9 -doNotMakeSplitPointActualValue -O -U 
