individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,true,unpruned,true,null,null,4,true,true,1,5,true,true,null,true,4,6,false,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,true,true,10,true,false,auc,CompetenceBasedAggregator,false,true,2,2,9,10,true,null,null,true,4,null,null,0.9757422343005757,-DecisionTable -S weka.attributeSelection.BestFirst -E auc -X 4 -PART -M 6 -doNotMakeSplitPointActualValue -R -Q 1 -N 10 -SimpleCart -M 2 -C 1.0 -S 1 -N 10 -Aggregator CompetenceBasedAggregator -BestFirst -D 1 -N 5 -JRip -F 9 -O 4 -N 2 -J48 -doNotMakeSplitPointActualValue -U -B -M 4 
gen_000_ind_000,true,unpruned,true,null,null,4,true,true,1,5,true,true,null,true,4,6,false,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,true,true,10,true,false,auc,CompetenceBasedAggregator,false,true,2,2,9,10,true,null,null,true,4,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -E auc -X 4 -PART -M 6 -doNotMakeSplitPointActualValue -R -Q 1 -N 10 -SimpleCart -M 2 -C 1.0 -S 1 -N 10 -Aggregator CompetenceBasedAggregator -BestFirst -D 1 -N 5 -JRip -F 9 -O 4 -N 2 -J48 -doNotMakeSplitPointActualValue -U -B -M 4 
gen_000_ind_001,false,unpruned,false,null,null,6,false,true,null,null,true,true,null,true,null,3,null,reducedErrorPruning,true,false,false,weka.attributeSelection.GreedyStepwise,false,true,null,true,false,auc,MajorityVotingAggregator,true,true,6,2,null,7,false,null,false,false,8,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -E auc -X 6 -I -PART -M 3 -J -R -Q 1 -N 7 -SimpleCart -M 6 -U -Aggregator MajorityVotingAggregator -JRip -P -N 2 -E -J48 -U -M 8 -J -A 
gen_000_ind_002,true,unpruned,true,null,null,6,true,true,1,8,true,true,null,true,null,8,false,reducedErrorPruning,false,false,false,weka.attributeSelection.BestFirst,true,true,3,true,true,rmse,MajorityVotingAggregator,true,false,5,5,null,10,false,null,null,false,9,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -E rmse -X 6 -PART -M 8 -doNotMakeSplitPointActualValue -B -J -R -Q 1 -N 10 -SimpleCart -M 5 -C 1.0 -S 1 -N 3 -Aggregator MajorityVotingAggregator -BestFirst -D 1 -N 8 -JRip -P -N 5 -J48 -U -B -M 9 -J -O -A 
gen_000_ind_003,true,confidenceFactor,false,true,null,6,true,true,1,10,true,true,0.45,false,null,null,null,null,false,false,null,weka.attributeSelection.BestFirst,null,true,null,false,null,rmse,RuleExtractorAggregator,true,true,4,2,null,null,true,null,null,true,2,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -E rmse -X 6 -SimpleCart -M 4 -U -H -Aggregator RuleExtractorAggregator -BestFirst -D 1 -N 10 -JRip -P -N 2 -J48 -doNotMakeSplitPointActualValue -C 0.45 -B -M 2 -A 
gen_000_ind_004,true,unpruned,false,null,null,4,true,true,0,5,true,true,null,true,null,2,null,reducedErrorPruning,false,false,false,weka.attributeSelection.BestFirst,false,true,null,true,true,acc,CompetenceBasedAggregator,false,true,7,8,null,5,true,null,null,false,2,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -E acc -X 4 -PART -M 2 -B -J -R -Q 1 -N 5 -SimpleCart -M 7 -U -Aggregator CompetenceBasedAggregator -BestFirst -D 0 -N 5 -JRip -P -N 8 -J48 -U -B -M 2 
gen_000_ind_005,true,reducedErrorPruning,true,false,null,1,false,true,null,null,true,true,null,true,1,6,false,reducedErrorPruning,false,true,true,weka.attributeSelection.GreedyStepwise,true,true,5,false,false,auc,RuleExtractorAggregator,true,true,9,2,7,6,false,3,false,false,2,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -E auc -X 1 -PART -M 6 -doNotMakeSplitPointActualValue -R -Q 1 -N 6 -SimpleCart -M 9 -C 1.0 -S 1 -H -N 5 -Aggregator RuleExtractorAggregator -JRip -F 7 -O 1 -N 2 -J48 -R -Q 1 -N 3 -M 2 -J -A -S 
gen_000_ind_006,true,null,false,null,null,1,null,true,null,null,false,true,null,true,8,4,null,reducedErrorPruning,false,true,false,weka.attributeSelection.GreedyStepwise,true,true,null,false,true,auc,RuleExtractorAggregator,null,null,9,8,2,7,null,null,false,null,null,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -E auc -X 1 -PART -M 4 -doNotMakeSplitPointActualValue -B -J -R -Q 1 -N 7 -SimpleCart -M 9 -U -H -Aggregator RuleExtractorAggregator -JRip -F 2 -O 8 -N 8 
gen_000_ind_007,true,reducedErrorPruning,false,true,0.45,6,false,true,null,null,true,true,null,true,null,2,null,confidenceFactor,false,false,true,weka.attributeSelection.GreedyStepwise,false,true,null,false,false,auc,RuleExtractorAggregator,true,true,7,5,null,null,false,4,false,true,8,true,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -E auc -X 6 -GreedyStepwise -B -PART -M 2 -C 0.45 -SimpleCart -M 7 -U -H -Aggregator RuleExtractorAggregator -JRip -P -N 5 -J48 -doNotMakeSplitPointActualValue -R -Q 1 -N 4 -M 8 -J -A 
gen_000_ind_008,null,confidenceFactor,true,false,null,9,true,false,0,9,true,true,0.05,true,null,3,false,unpruned,false,null,false,weka.attributeSelection.BestFirst,true,true,4,true,false,acc,CompetenceBasedAggregator,false,false,7,null,null,null,false,null,null,false,2,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -E acc -X 9 -PART -M 3 -doNotMakeSplitPointActualValue -J -U -SimpleCart -M 7 -C 1.0 -S 1 -N 4 -Aggregator CompetenceBasedAggregator -BestFirst -D 0 -N 9 -J48 -C 0.05 -B -M 2 -J -O -S 
