individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,false,unpruned,false,null,null,null,false,true,null,null,true,false,null,true,2,4,null,unpruned,null,true,false,null,false,true,null,false,false,null,RuleExtractorAggregator,false,false,9,10,10,null,true,null,null,false,10,null,null,0.6323529411764706,-PART -U -J -M 4 -SimpleCart -H -M 9 -U -Aggregator RuleExtractorAggregator -JRip -N 10 -F 10 -E -O 2 -J48 -O -U -M 10 
gen_000_ind_000,false,unpruned,false,null,null,null,false,true,null,null,true,false,null,true,2,4,null,unpruned,null,true,false,null,false,true,null,false,false,null,RuleExtractorAggregator,false,false,9,10,10,null,true,null,null,false,10,null,null,null,-PART -U -J -M 4 -SimpleCart -H -M 9 -U -Aggregator RuleExtractorAggregator -JRip -N 10 -F 10 -E -O 2 -J48 -O -U -M 10 
gen_000_ind_001,true,reducedErrorPruning,false,true,null,9,false,true,0,8,true,true,null,true,4,2,null,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,true,true,null,true,true,acc,CompetenceBasedAggregator,true,true,3,5,3,7,true,6,null,false,9,null,null,null,-DecisionTable -X 9 -S weka.attributeSelection.BestFirst -E acc -PART -R -Q 1 -B -doNotMakeSplitPointActualValue -N 7 -M 2 -SimpleCart -M 3 -U -Aggregator CompetenceBasedAggregator -BestFirst -N 8 -D 0 -JRip -N 5 -F 3 -O 4 -J48 -A -R -Q 1 -M 9 -N 6 
gen_000_ind_002,false,confidenceFactor,false,false,null,8,false,true,null,null,true,true,0.45,true,null,2,null,reducedErrorPruning,false,false,true,weka.attributeSelection.GreedyStepwise,true,true,null,false,false,auc,CompetenceBasedAggregator,false,true,4,8,null,3,false,null,false,false,4,false,null,null,-DecisionTable -X 8 -S weka.attributeSelection.GreedyStepwise -E auc -PART -R -Q 1 -doNotMakeSplitPointActualValue -N 3 -M 2 -SimpleCart -H -M 4 -U -Aggregator CompetenceBasedAggregator -JRip -N 8 -P -E -J48 -J -C 0.45 -M 4 -S 
gen_000_ind_003,false,unpruned,false,null,null,4,true,true,null,null,true,true,null,false,null,null,null,null,false,false,null,weka.attributeSelection.GreedyStepwise,null,true,null,true,null,acc,CompetenceBasedAggregator,false,false,8,3,null,null,false,null,true,true,6,false,null,null,-DecisionTable -X 4 -S weka.attributeSelection.GreedyStepwise -E acc -GreedyStepwise -C -SimpleCart -M 8 -U -Aggregator CompetenceBasedAggregator -JRip -N 3 -P -E -J48 -doNotMakeSplitPointActualValue -O -J -U -M 6 -B 
gen_000_ind_004,true,confidenceFactor,false,false,0.05,8,true,true,2,4,true,true,0.25,true,null,6,null,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,false,true,null,true,false,auc,CompetenceBasedAggregator,false,true,10,8,null,null,true,null,null,true,6,null,null,null,-DecisionTable -X 8 -S weka.attributeSelection.BestFirst -E auc -PART -C 0.05 -J -M 6 -SimpleCart -M 10 -U -Aggregator CompetenceBasedAggregator -BestFirst -N 4 -D 2 -JRip -N 8 -P -J48 -doNotMakeSplitPointActualValue -C 0.25 -M 6 -B -S 
gen_000_ind_005,true,confidenceFactor,false,true,null,6,false,true,null,null,true,true,0.15,true,null,4,null,unpruned,false,false,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,false,mae,CompetenceBasedAggregator,true,true,10,6,null,null,true,null,true,true,3,true,null,null,-DecisionTable -X 6 -S weka.attributeSelection.GreedyStepwise -E mae -GreedyStepwise -C -B -PART -U -M 4 -SimpleCart -M 10 -U -Aggregator CompetenceBasedAggregator -JRip -N 6 -P -J48 -doNotMakeSplitPointActualValue -A -C 0.15 -M 3 
gen_000_ind_006,true,confidenceFactor,true,false,null,1,false,true,null,null,true,true,0.15,true,8,2,false,reducedErrorPruning,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,9,true,true,acc,CompetenceBasedAggregator,false,false,2,2,4,7,true,null,true,false,6,false,null,null,-DecisionTable -X 1 -S weka.attributeSelection.GreedyStepwise -I -E acc -GreedyStepwise -C -PART -R -Q 1 -B -N 7 -M 2 -SimpleCart -M 2 -C 1.0 -S 1 -N 9 -Aggregator CompetenceBasedAggregator -JRip -N 2 -F 4 -O 8 -J48 -O -C 0.15 -M 6 -S 
gen_000_ind_007,true,unpruned,true,null,null,10,true,true,1,10,true,true,null,true,10,3,true,unpruned,true,true,false,weka.attributeSelection.BestFirst,false,true,3,true,false,auc,CompetenceBasedAggregator,true,false,10,7,5,null,true,null,null,false,2,null,null,null,-DecisionTable -X 10 -S weka.attributeSelection.BestFirst -I -E auc -PART -U -J -M 3 -SimpleCart -M 10 -C 1.0 -S 1 -N 3 -A -Aggregator CompetenceBasedAggregator -BestFirst -N 10 -D 1 -JRip -N 7 -F 5 -O 10 -J48 -O -A -U -M 2 -B 
gen_000_ind_008,true,reducedErrorPruning,true,false,null,9,true,true,1,6,true,true,null,true,6,7,false,reducedErrorPruning,false,true,false,weka.attributeSelection.BestFirst,true,true,4,false,false,acc,RuleExtractorAggregator,false,true,9,4,6,2,false,2,null,false,8,null,null,null,-DecisionTable -X 9 -S weka.attributeSelection.BestFirst -E acc -PART -R -Q 1 -doNotMakeSplitPointActualValue -J -N 2 -M 7 -SimpleCart -H -M 9 -C 1.0 -S 1 -N 4 -Aggregator RuleExtractorAggregator -BestFirst -N 6 -D 1 -JRip -N 4 -F 6 -O 6 -J48 -J -R -Q 1 -M 8 -B -N 2 -S 
