individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,null,unpruned,true,null,0.15,2,false,false,0,10,true,true,null,true,null,7,false,confidenceFactor,false,null,true,weka.attributeSelection.BestFirst,false,true,5,true,true,acc,RuleExtractorAggregator,false,true,2,null,null,null,false,null,null,true,10,null,null,0.9484855734209491,-DecisionTable -X 2 -E acc -S weka.attributeSelection.BestFirst -PART -B -M 7 -C 0.15 -SimpleCart -C 1.0 -S 1 -M 2 -N 5 -Aggregator RuleExtractorAggregator -BestFirst -N 10 -D 0 -J48 -U -M 10 -J -doNotMakeSplitPointActualValue 
gen_000_ind_000,null,unpruned,true,null,0.15,2,false,false,0,10,true,true,null,true,null,7,false,confidenceFactor,false,null,true,weka.attributeSelection.BestFirst,false,true,5,true,true,acc,RuleExtractorAggregator,false,true,2,null,null,null,false,null,null,true,10,null,null,null,-DecisionTable -X 2 -E acc -S weka.attributeSelection.BestFirst -PART -B -M 7 -C 0.15 -SimpleCart -C 1.0 -S 1 -M 2 -N 5 -Aggregator RuleExtractorAggregator -BestFirst -N 10 -D 0 -J48 -U -M 10 -J -doNotMakeSplitPointActualValue 
gen_000_ind_001,true,reducedErrorPruning,true,true,null,3,false,true,1,2,true,true,null,true,null,5,false,reducedErrorPruning,true,false,false,weka.attributeSelection.BestFirst,true,true,5,false,false,mae,RuleExtractorAggregator,false,false,3,6,null,8,false,2,null,false,5,null,null,null,-DecisionTable -X 3 -I -E mae -S weka.attributeSelection.BestFirst -PART -M 5 -R -Q 1 -doNotMakeSplitPointActualValue -J -N 8 -SimpleCart -C 1.0 -S 1 -M 3 -H -N 5 -Aggregator RuleExtractorAggregator -BestFirst -N 2 -D 1 -JRip -N 6 -P -J48 -R -Q 1 -M 5 -J -N 2 -O 
gen_000_ind_002,false,unpruned,true,null,null,2,true,true,0,8,true,true,null,false,9,null,true,null,false,true,null,weka.attributeSelection.BestFirst,null,true,8,true,null,mae,CompetenceBasedAggregator,true,false,7,9,3,null,true,null,null,false,9,null,null,null,-DecisionTable -X 2 -E mae -S weka.attributeSelection.BestFirst -SimpleCart -C 1.0 -S 1 -M 7 -N 8 -A -Aggregator CompetenceBasedAggregator -BestFirst -N 8 -D 0 -JRip -N 9 -E -F 3 -O 9 -J48 -A -B -U -M 9 -O 
gen_000_ind_003,true,confidenceFactor,true,true,0.25,3,false,true,null,null,true,true,0.15,true,5,9,false,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,3,true,false,auc,RuleExtractorAggregator,false,true,2,2,10,null,true,null,true,false,7,true,null,null,-DecisionTable -X 3 -E auc -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -B -PART -M 9 -C 0.25 -SimpleCart -C 1.0 -S 1 -M 2 -N 3 -Aggregator RuleExtractorAggregator -JRip -N 2 -F 10 -O 5 -J48 -C 0.15 -M 7 
gen_000_ind_004,true,unpruned,null,null,null,6,false,true,null,null,true,true,null,true,4,3,null,unpruned,false,true,false,weka.attributeSelection.GreedyStepwise,true,false,null,null,true,acc,MajorityVotingAggregator,false,true,null,8,7,null,false,null,false,true,2,true,null,null,-DecisionTable -X 6 -E acc -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -B -PART -B -M 3 -U -doNotMakeSplitPointActualValue -J -Aggregator MajorityVotingAggregator -JRip -N 8 -F 7 -O 4 -J48 -U -M 2 -J -doNotMakeSplitPointActualValue 
gen_000_ind_005,true,confidenceFactor,true,true,0.45,2,false,true,2,7,true,true,0.45,true,null,10,true,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,true,true,7,false,false,auc,RuleExtractorAggregator,false,true,6,4,null,null,false,null,null,false,10,null,null,null,-DecisionTable -X 2 -E auc -S weka.attributeSelection.BestFirst -PART -M 10 -C 0.45 -doNotMakeSplitPointActualValue -J -SimpleCart -C 1.0 -S 1 -M 6 -H -N 7 -A -Aggregator RuleExtractorAggregator -BestFirst -N 7 -D 2 -JRip -N 4 -P -J48 -C 0.45 -M 10 -J 
gen_000_ind_006,true,confidenceFactor,true,true,null,1,true,true,1,2,true,true,0.25,true,10,8,false,unpruned,true,true,false,weka.attributeSelection.BestFirst,true,true,6,false,true,rmse,CompetenceBasedAggregator,false,false,10,10,3,null,true,null,null,true,10,null,null,null,-DecisionTable -X 1 -I -E rmse -S weka.attributeSelection.BestFirst -PART -B -M 8 -U -doNotMakeSplitPointActualValue -J -SimpleCart -C 1.0 -S 1 -M 10 -H -N 6 -Aggregator CompetenceBasedAggregator -BestFirst -N 2 -D 1 -JRip -N 10 -F 3 -O 10 -J48 -B -C 0.25 -M 10 -doNotMakeSplitPointActualValue -O 
gen_000_ind_007,true,confidenceFactor,null,true,0.05,4,false,true,1,8,true,true,0.05,true,null,8,null,confidenceFactor,true,false,true,weka.attributeSelection.BestFirst,true,false,null,null,true,auc,CompetenceBasedAggregator,false,true,null,2,null,null,false,null,null,false,5,null,null,null,-DecisionTable -X 4 -I -E auc -S weka.attributeSelection.BestFirst -PART -B -M 8 -C 0.05 -doNotMakeSplitPointActualValue -Aggregator CompetenceBasedAggregator -BestFirst -N 8 -D 1 -JRip -N 2 -P -J48 -C 0.05 -M 5 -J 
gen_000_ind_008,true,unpruned,false,null,null,2,false,true,2,5,true,true,null,true,null,2,null,unpruned,false,false,true,weka.attributeSelection.BestFirst,true,true,null,false,false,rmse,RuleExtractorAggregator,false,true,8,9,null,null,true,null,null,false,2,null,null,null,-DecisionTable -X 2 -E rmse -S weka.attributeSelection.BestFirst -PART -M 2 -U -doNotMakeSplitPointActualValue -SimpleCart -U -M 8 -H -Aggregator RuleExtractorAggregator -BestFirst -N 5 -D 2 -JRip -N 9 -P -J48 -U -M 2 
