individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,true,unpruned,true,null,null,3,true,true,0,3,true,true,null,true,null,5,false,unpruned,true,false,true,weka.attributeSelection.BestFirst,false,true,3,true,true,auc,RuleExtractorAggregator,false,false,9,8,null,null,false,null,null,false,7,null,null,1.0,-DecisionTable -S weka.attributeSelection.BestFirst -X 3 -E auc -I -PART -U -M 5 -B -SimpleCart -M 9 -C 1.0 -S 1 -N 3 -Aggregator RuleExtractorAggregator -BestFirst -N 3 -D 0 -JRip -P -N 8 -J48 -J -O -B -U -M 7 
gen_000_ind_000,true,unpruned,true,null,null,3,true,true,0,3,true,true,null,true,null,5,false,unpruned,true,false,true,weka.attributeSelection.BestFirst,false,true,3,true,true,auc,RuleExtractorAggregator,false,false,9,8,null,null,false,null,null,false,7,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 3 -E auc -I -PART -U -M 5 -B -SimpleCart -M 9 -C 1.0 -S 1 -N 3 -Aggregator RuleExtractorAggregator -BestFirst -N 3 -D 0 -JRip -P -N 8 -J48 -J -O -B -U -M 7 
gen_000_ind_001,true,confidenceFactor,true,false,null,2,false,true,null,null,true,true,0.05,true,null,10,true,unpruned,false,false,true,weka.attributeSelection.GreedyStepwise,false,true,7,true,false,auc,MajorityVotingAggregator,true,true,9,5,null,null,true,null,true,false,4,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 2 -E auc -GreedyStepwise -C -PART -U -M 10 -SimpleCart -M 9 -C 1.0 -S 1 -N 7 -A -Aggregator MajorityVotingAggregator -JRip -P -N 5 -J48 -A -C 0.05 -M 4 -S 
gen_000_ind_002,false,confidenceFactor,false,true,null,2,false,true,0,3,true,true,0.45,true,10,10,null,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,false,true,null,true,false,auc,MajorityVotingAggregator,false,false,9,5,2,4,true,null,null,true,5,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 2 -E auc -PART -R -Q 1 -M 10 -N 4 -SimpleCart -M 9 -U -Aggregator MajorityVotingAggregator -BestFirst -N 3 -D 0 -JRip -E -N 5 -F 2 -O 10 -J48 -O -C 0.45 -M 5 -doNotMakeSplitPointActualValue 
gen_000_ind_003,true,reducedErrorPruning,true,true,null,3,false,true,1,3,true,true,null,false,10,null,false,null,false,true,null,weka.attributeSelection.BestFirst,null,true,9,false,null,mae,CompetenceBasedAggregator,true,false,2,2,3,null,false,3,null,false,9,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 3 -E mae -SimpleCart -H -M 2 -C 1.0 -S 1 -N 9 -Aggregator CompetenceBasedAggregator -BestFirst -N 3 -D 1 -JRip -N 2 -F 3 -O 10 -J48 -A -J -O -R -Q 1 -M 9 -N 3 
gen_000_ind_004,true,reducedErrorPruning,false,true,null,4,false,true,0,5,true,true,null,true,8,3,null,reducedErrorPruning,false,true,false,weka.attributeSelection.BestFirst,true,true,null,true,false,auc,RuleExtractorAggregator,true,false,2,10,10,3,false,9,null,false,6,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 4 -E auc -PART -R -Q 1 -M 3 -N 3 -doNotMakeSplitPointActualValue -J -SimpleCart -M 2 -U -Aggregator RuleExtractorAggregator -BestFirst -N 5 -D 0 -JRip -N 10 -F 10 -O 8 -J48 -A -J -O -R -Q 1 -M 6 -N 9 
gen_000_ind_005,true,unpruned,false,null,0.35,6,true,true,0,3,true,true,null,true,6,7,null,confidenceFactor,false,true,false,weka.attributeSelection.BestFirst,true,true,null,true,true,mae,RuleExtractorAggregator,false,false,3,6,4,null,false,null,null,false,5,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 6 -E mae -PART -C 0.35 -M 7 -B -doNotMakeSplitPointActualValue -J -SimpleCart -M 3 -U -Aggregator RuleExtractorAggregator -BestFirst -N 3 -D 0 -JRip -N 6 -F 4 -O 6 -J48 -J -O -B -U -M 5 
gen_000_ind_006,true,null,false,null,0.45,3,null,true,null,null,false,true,null,true,8,8,null,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,true,true,null,false,true,auc,RuleExtractorAggregator,null,null,7,3,8,null,null,null,false,null,null,true,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 3 -E auc -GreedyStepwise -B -PART -C 0.45 -M 8 -B -doNotMakeSplitPointActualValue -SimpleCart -H -M 7 -U -Aggregator RuleExtractorAggregator -JRip -N 3 -F 8 -O 8 
gen_000_ind_007,true,unpruned,false,null,null,null,false,true,null,null,true,false,null,true,null,7,null,reducedErrorPruning,null,false,false,null,false,true,null,false,false,null,CompetenceBasedAggregator,true,false,8,2,null,9,false,null,null,false,5,null,null,null,-PART -R -Q 1 -M 7 -N 9 -J -SimpleCart -H -M 8 -U -Aggregator CompetenceBasedAggregator -JRip -P -N 2 -J48 -A -J -O -U -M 5 
gen_000_ind_008,null,unpruned,null,null,null,4,false,false,1,5,true,true,null,true,null,9,null,unpruned,false,null,true,weka.attributeSelection.BestFirst,true,false,null,null,false,rmse,RuleExtractorAggregator,true,false,null,null,null,null,true,null,null,true,7,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 4 -E rmse -PART -U -M 9 -doNotMakeSplitPointActualValue -Aggregator RuleExtractorAggregator -BestFirst -N 5 -D 1 -J48 -A -O -U -M 7 -doNotMakeSplitPointActualValue 
