individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,false,unpruned,true,null,null,2,false,true,1,5,true,true,null,true,9,3,false,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,true,true,2,true,false,rmse,MajorityVotingAggregator,false,true,4,2,8,10,false,null,null,false,4,null,null,0.9996426571812155,-DecisionTable -E rmse -S weka.attributeSelection.BestFirst -X 2 -PART -doNotMakeSplitPointActualValue -R -Q 1 -M 3 -N 10 -SimpleCart -M 4 -C 1.0 -S 1 -N 2 -Aggregator MajorityVotingAggregator -BestFirst -D 1 -N 5 -JRip -N 2 -E -F 8 -O 9 -J48 -U -M 4 -J 
gen_000_ind_000,false,unpruned,true,null,null,2,false,true,1,5,true,true,null,true,9,3,false,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,true,true,2,true,false,rmse,MajorityVotingAggregator,false,true,4,2,8,10,false,null,null,false,4,null,null,null,-DecisionTable -E rmse -S weka.attributeSelection.BestFirst -X 2 -PART -doNotMakeSplitPointActualValue -R -Q 1 -M 3 -N 10 -SimpleCart -M 4 -C 1.0 -S 1 -N 2 -Aggregator MajorityVotingAggregator -BestFirst -D 1 -N 5 -JRip -N 2 -E -F 8 -O 9 -J48 -U -M 4 -J 
gen_000_ind_001,true,reducedErrorPruning,null,true,null,9,true,true,1,2,true,true,null,true,2,4,null,unpruned,false,true,true,weka.attributeSelection.BestFirst,false,false,null,null,true,acc,CompetenceBasedAggregator,true,true,null,6,10,null,true,4,null,false,3,null,null,null,-DecisionTable -E acc -S weka.attributeSelection.BestFirst -X 9 -PART -B -U -M 4 -Aggregator CompetenceBasedAggregator -BestFirst -D 1 -N 2 -JRip -N 6 -F 10 -O 2 -J48 -R -Q 1 -M 3 -N 4 -A -B 
gen_000_ind_002,true,confidenceFactor,false,true,null,1,false,true,null,null,true,true,0.45,true,null,6,null,reducedErrorPruning,true,false,false,weka.attributeSelection.GreedyStepwise,false,true,null,true,true,rmse,MajorityVotingAggregator,true,false,6,6,null,2,true,null,true,false,3,true,null,null,-DecisionTable -E rmse -I -S weka.attributeSelection.GreedyStepwise -X 1 -GreedyStepwise -B -C -PART -J -B -R -Q 1 -M 6 -N 2 -SimpleCart -M 6 -U -Aggregator MajorityVotingAggregator -JRip -N 6 -P -J48 -C 0.45 -M 3 -A -O 
gen_000_ind_003,false,confidenceFactor,false,false,0.25,1,false,true,1,3,true,true,0.25,true,7,2,null,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,null,true,false,rmse,CompetenceBasedAggregator,true,true,6,9,4,null,false,null,null,true,5,null,null,null,-DecisionTable -E rmse -S weka.attributeSelection.BestFirst -X 1 -PART -C 0.25 -M 2 -SimpleCart -M 6 -U -Aggregator CompetenceBasedAggregator -BestFirst -D 1 -N 3 -JRip -N 9 -E -F 4 -O 7 -J48 -C 0.25 -M 5 -S -A -J -doNotMakeSplitPointActualValue 
gen_000_ind_004,true,reducedErrorPruning,true,true,null,3,false,true,0,5,true,true,null,false,9,null,true,null,false,true,null,weka.attributeSelection.BestFirst,null,true,5,true,null,mae,CompetenceBasedAggregator,true,true,3,3,9,null,false,5,null,false,8,null,null,null,-DecisionTable -E mae -S weka.attributeSelection.BestFirst -X 3 -SimpleCart -M 3 -C 1.0 -S 1 -N 5 -A -Aggregator CompetenceBasedAggregator -BestFirst -D 0 -N 5 -JRip -N 3 -F 9 -O 9 -J48 -R -Q 1 -M 8 -N 5 -A -J 
gen_000_ind_005,true,unpruned,false,null,null,5,false,true,0,10,true,true,null,true,null,8,null,reducedErrorPruning,false,false,false,weka.attributeSelection.BestFirst,false,true,null,false,true,mae,MajorityVotingAggregator,false,false,4,7,null,5,true,null,null,true,6,null,null,null,-DecisionTable -E mae -S weka.attributeSelection.BestFirst -X 5 -PART -J -B -R -Q 1 -M 8 -N 5 -SimpleCart -M 4 -U -H -Aggregator MajorityVotingAggregator -BestFirst -D 0 -N 10 -JRip -N 7 -P -J48 -U -M 6 -doNotMakeSplitPointActualValue -O 
gen_000_ind_006,false,confidenceFactor,false,true,0.25,7,true,true,0,1,true,true,0.45,true,7,2,null,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,null,false,true,auc,MajorityVotingAggregator,false,false,4,5,5,null,true,null,null,true,7,null,null,null,-DecisionTable -E auc -S weka.attributeSelection.BestFirst -X 7 -PART -B -C 0.25 -M 2 -SimpleCart -M 4 -U -H -Aggregator MajorityVotingAggregator -BestFirst -D 0 -N 1 -JRip -N 5 -E -F 5 -O 7 -J48 -C 0.45 -M 7 -doNotMakeSplitPointActualValue -B -O 
gen_000_ind_007,true,confidenceFactor,false,false,0.35,1,true,true,2,5,true,true,0.25,true,null,9,null,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,false,true,null,false,false,rmse,CompetenceBasedAggregator,true,true,5,3,null,null,true,null,null,true,8,null,null,null,-DecisionTable -E rmse -S weka.attributeSelection.BestFirst -X 1 -PART -C 0.35 -M 9 -SimpleCart -M 5 -U -H -Aggregator CompetenceBasedAggregator -BestFirst -D 2 -N 5 -JRip -N 3 -P -J48 -C 0.25 -M 8 -S -A -doNotMakeSplitPointActualValue -B 
gen_000_ind_008,true,confidenceFactor,true,false,null,10,true,true,2,2,true,true,0.25,true,10,4,false,unpruned,false,true,true,weka.attributeSelection.BestFirst,false,true,5,true,true,rmse,CompetenceBasedAggregator,false,true,5,10,4,null,true,null,null,true,2,null,null,null,-DecisionTable -E rmse -S weka.attributeSelection.BestFirst -X 10 -PART -B -U -M 4 -SimpleCart -M 5 -C 1.0 -S 1 -N 5 -Aggregator CompetenceBasedAggregator -BestFirst -D 2 -N 2 -JRip -N 10 -F 4 -O 10 -J48 -C 0.25 -M 2 -S -doNotMakeSplitPointActualValue -B 
