individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,true,reducedErrorPruning,false,true,null,3,true,true,2,4,true,true,null,false,7,null,null,null,false,true,null,weka.attributeSelection.BestFirst,null,true,null,true,null,auc,CompetenceBasedAggregator,false,true,2,4,4,null,false,3,null,false,6,null,null,0.7978069760846961,-DecisionTable -S weka.attributeSelection.BestFirst -E auc -X 3 -SimpleCart -M 2 -U -BestFirst -N 4 -D 2 -Aggregator CompetenceBasedAggregator -JRip -F 4 -O 7 -N 4 -J48 -B -R -Q 1 -N 3 -J -M 6 
gen_000_ind_000,true,reducedErrorPruning,false,true,null,3,true,true,2,4,true,true,null,false,7,null,null,null,false,true,null,weka.attributeSelection.BestFirst,null,true,null,true,null,auc,CompetenceBasedAggregator,false,true,2,4,4,null,false,3,null,false,6,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -E auc -X 3 -SimpleCart -M 2 -U -BestFirst -N 4 -D 2 -Aggregator CompetenceBasedAggregator -JRip -F 4 -O 7 -N 4 -J48 -B -R -Q 1 -N 3 -J -M 6 
gen_000_ind_001,false,reducedErrorPruning,true,true,null,9,true,true,null,null,true,true,null,true,null,6,true,unpruned,false,false,false,weka.attributeSelection.GreedyStepwise,true,true,4,false,false,auc,MajorityVotingAggregator,false,false,2,3,null,null,true,10,true,false,9,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -E auc -X 9 -GreedyStepwise -C -PART -J -doNotMakeSplitPointActualValue -U -M 6 -SimpleCart -M 2 -H -C 1.0 -S 1 -N 4 -A -Aggregator MajorityVotingAggregator -JRip -E -P -N 3 -J48 -B -R -Q 1 -N 10 -O -M 9 
gen_000_ind_002,false,confidenceFactor,true,true,null,3,true,true,null,null,true,true,0.25,true,7,6,true,unpruned,false,true,false,weka.attributeSelection.GreedyStepwise,true,true,3,false,true,auc,CompetenceBasedAggregator,true,false,7,6,9,null,true,null,false,true,4,true,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -E auc -X 3 -GreedyStepwise -B -PART -J -B -doNotMakeSplitPointActualValue -U -M 6 -SimpleCart -M 7 -H -C 1.0 -S 1 -N 3 -A -Aggregator CompetenceBasedAggregator -JRip -E -F 9 -O 7 -N 6 -J48 -B -C 0.25 -doNotMakeSplitPointActualValue -O -M 4 -A 
gen_000_ind_003,false,confidenceFactor,null,false,null,3,true,true,null,null,true,true,0.35,true,5,9,null,unpruned,false,true,false,weka.attributeSelection.GreedyStepwise,false,false,null,null,false,mae,MajorityVotingAggregator,false,false,null,4,4,null,true,null,false,true,8,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -E mae -X 3 -PART -J -U -M 9 -Aggregator MajorityVotingAggregator -JRip -E -F 4 -O 5 -N 4 -J48 -B -C 0.35 -doNotMakeSplitPointActualValue -O -S -M 8 
gen_000_ind_004,true,reducedErrorPruning,true,true,null,1,false,true,1,5,true,true,null,true,2,10,true,reducedErrorPruning,true,true,false,weka.attributeSelection.BestFirst,true,true,5,false,false,auc,CompetenceBasedAggregator,false,true,10,3,2,10,true,3,null,true,10,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -E auc -X 1 -I -PART -J -doNotMakeSplitPointActualValue -R -Q 1 -M 10 -N 10 -SimpleCart -M 10 -H -C 1.0 -S 1 -N 5 -A -BestFirst -N 5 -D 1 -Aggregator CompetenceBasedAggregator -JRip -F 2 -O 2 -N 3 -J48 -R -Q 1 -N 3 -doNotMakeSplitPointActualValue -M 10 
gen_000_ind_005,null,reducedErrorPruning,false,true,0.25,4,false,false,1,1,true,true,null,true,null,4,null,confidenceFactor,false,null,false,weka.attributeSelection.BestFirst,false,true,null,true,false,auc,MajorityVotingAggregator,false,true,2,null,null,null,false,2,null,false,6,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -E auc -X 4 -PART -J -C 0.25 -M 4 -SimpleCart -M 2 -U -BestFirst -N 1 -D 1 -Aggregator MajorityVotingAggregator -J48 -R -Q 1 -N 2 -J -M 6 
gen_000_ind_006,true,confidenceFactor,true,false,0.15,9,false,true,1,7,true,true,0.05,true,8,4,false,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,8,true,false,mae,MajorityVotingAggregator,true,true,2,6,9,null,true,null,null,true,9,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -E mae -X 9 -PART -C 0.15 -M 4 -SimpleCart -M 2 -C 1.0 -S 1 -N 8 -BestFirst -N 7 -D 1 -Aggregator MajorityVotingAggregator -JRip -F 9 -O 8 -N 6 -J48 -C 0.05 -doNotMakeSplitPointActualValue -S -M 9 -A 
gen_000_ind_007,null,unpruned,true,null,null,9,true,false,null,null,true,true,null,true,null,6,false,reducedErrorPruning,true,null,false,weka.attributeSelection.GreedyStepwise,false,true,6,true,false,auc,RuleExtractorAggregator,false,true,9,null,null,10,false,null,true,true,5,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -E auc -X 9 -I -GreedyStepwise -C -PART -J -R -Q 1 -M 6 -N 10 -SimpleCart -M 9 -C 1.0 -S 1 -N 6 -Aggregator RuleExtractorAggregator -J48 -B -U -doNotMakeSplitPointActualValue -J -M 5 
gen_000_ind_008,true,confidenceFactor,true,false,null,9,false,true,null,null,true,true,0.05,true,3,8,false,reducedErrorPruning,false,true,true,weka.attributeSelection.GreedyStepwise,true,true,9,true,false,rmse,RuleExtractorAggregator,false,true,3,4,3,6,false,null,true,true,5,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -E rmse -X 9 -GreedyStepwise -C -PART -doNotMakeSplitPointActualValue -R -Q 1 -M 8 -N 6 -SimpleCart -M 3 -C 1.0 -S 1 -N 9 -Aggregator RuleExtractorAggregator -JRip -F 3 -O 3 -N 4 -J48 -C 0.05 -doNotMakeSplitPointActualValue -J -S -M 5 
