individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,true,confidenceFactor,null,false,null,null,false,true,null,null,true,false,0.35,true,null,9,null,reducedErrorPruning,null,false,false,null,true,false,null,null,false,null,MajorityVotingAggregator,false,true,null,5,null,3,true,null,null,false,7,null,null,0.8444679877844614,-PART -M 9 -doNotMakeSplitPointActualValue -J -R -Q 1 -N 3 -Aggregator MajorityVotingAggregator -JRip -N 5 -P -J48 -C 0.35 -S -M 7 
gen_000_ind_000,true,confidenceFactor,null,false,null,null,false,true,null,null,true,false,0.35,true,null,9,null,reducedErrorPruning,null,false,false,null,true,false,null,null,false,null,MajorityVotingAggregator,false,true,null,5,null,3,true,null,null,false,7,null,null,null,-PART -M 9 -doNotMakeSplitPointActualValue -J -R -Q 1 -N 3 -Aggregator MajorityVotingAggregator -JRip -N 5 -P -J48 -C 0.35 -S -M 7 
gen_000_ind_001,true,confidenceFactor,false,true,null,null,false,true,null,null,true,false,0.05,true,4,2,null,unpruned,null,true,true,null,false,true,null,false,false,null,RuleExtractorAggregator,false,false,6,10,3,null,true,null,null,false,10,null,null,null,-PART -M 2 -U -SimpleCart -H -M 6 -U -Aggregator RuleExtractorAggregator -JRip -N 10 -F 3 -O 4 -J48 -C 0.05 -O -M 10 
gen_000_ind_002,false,reducedErrorPruning,true,true,0.45,4,false,true,null,null,true,true,null,true,null,5,false,confidenceFactor,false,false,true,weka.attributeSelection.GreedyStepwise,true,true,5,true,false,acc,CompetenceBasedAggregator,true,false,2,9,null,null,true,8,false,false,9,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -E acc -X 4 -PART -M 5 -doNotMakeSplitPointActualValue -C 0.45 -SimpleCart -M 2 -C 1.0 -S 1 -N 5 -Aggregator CompetenceBasedAggregator -JRip -N 9 -P -E -J48 -R -Q 1 -A -O -M 9 -N 8 
gen_000_ind_003,true,reducedErrorPruning,false,true,null,1,false,true,null,null,true,true,null,true,8,4,null,reducedErrorPruning,true,true,false,weka.attributeSelection.GreedyStepwise,true,true,null,true,false,auc,MajorityVotingAggregator,false,false,6,10,8,4,true,10,true,false,5,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -I -E auc -X 1 -GreedyStepwise -C -PART -M 4 -doNotMakeSplitPointActualValue -J -R -Q 1 -N 4 -SimpleCart -M 6 -U -Aggregator MajorityVotingAggregator -JRip -N 10 -F 8 -O 8 -J48 -R -Q 1 -O -M 5 -N 10 
gen_000_ind_004,false,reducedErrorPruning,true,true,0.45,7,false,true,0,1,true,true,null,true,null,5,false,confidenceFactor,true,false,false,weka.attributeSelection.BestFirst,false,true,6,true,false,mae,RuleExtractorAggregator,false,true,6,3,null,null,false,9,null,true,9,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -I -E mae -X 7 -PART -M 5 -J -C 0.45 -SimpleCart -M 6 -C 1.0 -S 1 -N 6 -Aggregator RuleExtractorAggregator -BestFirst -D 0 -N 1 -JRip -N 3 -P -E -J48 -R -Q 1 -J -doNotMakeSplitPointActualValue -M 9 -N 9 
gen_000_ind_005,true,confidenceFactor,true,true,0.45,6,true,true,2,4,true,true,0.15,true,null,10,false,confidenceFactor,true,false,true,weka.attributeSelection.BestFirst,true,true,6,false,false,auc,MajorityVotingAggregator,false,true,5,2,null,null,true,null,null,true,9,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -I -E auc -X 6 -PART -M 10 -doNotMakeSplitPointActualValue -C 0.45 -SimpleCart -H -M 5 -C 1.0 -S 1 -N 6 -Aggregator MajorityVotingAggregator -BestFirst -D 2 -N 4 -JRip -N 2 -P -J48 -C 0.15 -doNotMakeSplitPointActualValue -M 9 -B 
gen_000_ind_006,false,unpruned,true,null,null,2,false,true,null,null,true,true,null,false,2,null,false,null,true,true,null,weka.attributeSelection.GreedyStepwise,null,true,10,false,null,auc,RuleExtractorAggregator,false,true,8,4,6,null,false,null,false,true,6,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -I -E auc -X 2 -SimpleCart -H -M 8 -C 1.0 -S 1 -N 10 -Aggregator RuleExtractorAggregator -JRip -N 4 -E -F 6 -O 2 -J48 -U -J -doNotMakeSplitPointActualValue -M 6 
gen_000_ind_007,true,confidenceFactor,true,true,null,1,false,true,2,2,true,true,0.35,true,9,9,false,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,false,true,3,false,false,acc,RuleExtractorAggregator,false,false,3,8,7,2,true,null,null,true,3,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -E acc -X 1 -PART -M 9 -R -Q 1 -N 2 -SimpleCart -H -M 3 -C 1.0 -S 1 -N 3 -Aggregator RuleExtractorAggregator -BestFirst -D 2 -N 2 -JRip -N 8 -F 7 -O 9 -J48 -C 0.35 -O -doNotMakeSplitPointActualValue -M 3 
gen_000_ind_008,null,reducedErrorPruning,null,false,0.35,7,true,false,1,3,true,true,null,true,null,10,null,confidenceFactor,false,null,true,weka.attributeSelection.BestFirst,false,false,null,null,true,auc,CompetenceBasedAggregator,true,false,null,null,null,null,true,9,null,false,2,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -E auc -X 7 -PART -M 10 -B -C 0.35 -Aggregator CompetenceBasedAggregator -BestFirst -D 1 -N 3 -J48 -R -Q 1 -A -O -S -M 2 -N 9 -B 
