individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,true,confidenceFactor,true,true,null,5,false,true,0,1,true,true,0.45,true,null,2,true,reducedErrorPruning,false,false,true,weka.attributeSelection.BestFirst,false,true,8,true,false,mae,CompetenceBasedAggregator,false,true,9,6,null,6,true,null,null,false,6,null,null,0.986672753834916,-DecisionTable -X 5 -S weka.attributeSelection.BestFirst -E mae -PART -M 2 -R -Q 1 -N 6 -SimpleCart -M 9 -C 1.0 -S 1 -A -N 8 -Aggregator CompetenceBasedAggregator -BestFirst -N 1 -D 0 -JRip -N 6 -P -J48 -C 0.45 -M 6 
gen_000_ind_000,true,confidenceFactor,true,true,null,5,false,true,0,1,true,true,0.45,true,null,2,true,reducedErrorPruning,false,false,true,weka.attributeSelection.BestFirst,false,true,8,true,false,mae,CompetenceBasedAggregator,false,true,9,6,null,6,true,null,null,false,6,null,null,null,-DecisionTable -X 5 -S weka.attributeSelection.BestFirst -E mae -PART -M 2 -R -Q 1 -N 6 -SimpleCart -M 9 -C 1.0 -S 1 -A -N 8 -Aggregator CompetenceBasedAggregator -BestFirst -N 1 -D 0 -JRip -N 6 -P -J48 -C 0.45 -M 6 
gen_000_ind_001,true,confidenceFactor,false,true,null,null,true,true,null,null,true,false,0.35,true,4,5,null,unpruned,null,true,false,null,true,true,null,true,false,null,MajorityVotingAggregator,false,true,7,2,4,null,true,null,null,false,9,null,null,null,-PART -M 5 -doNotMakeSplitPointActualValue -J -U -SimpleCart -M 7 -U -Aggregator MajorityVotingAggregator -JRip -N 2 -O 4 -F 4 -J48 -B -C 0.35 -M 9 
gen_000_ind_002,false,confidenceFactor,true,false,null,5,false,true,null,null,true,true,0.45,false,6,null,true,null,true,true,null,weka.attributeSelection.GreedyStepwise,null,true,8,true,null,auc,CompetenceBasedAggregator,true,true,2,10,5,null,true,null,false,false,4,false,null,null,-DecisionTable -I -X 5 -S weka.attributeSelection.GreedyStepwise -E auc -SimpleCart -M 2 -C 1.0 -S 1 -A -N 8 -Aggregator CompetenceBasedAggregator -JRip -E -N 10 -O 6 -F 5 -J48 -C 0.45 -A -M 4 -S 
gen_000_ind_003,null,unpruned,false,null,null,1,false,false,2,9,true,true,null,true,null,7,null,unpruned,false,null,true,weka.attributeSelection.BestFirst,false,true,null,true,true,auc,MajorityVotingAggregator,false,true,6,null,null,null,true,null,null,false,4,null,null,null,-DecisionTable -X 1 -S weka.attributeSelection.BestFirst -E auc -PART -B -M 7 -U -SimpleCart -M 6 -U -Aggregator MajorityVotingAggregator -BestFirst -N 9 -D 2 -J48 -U -M 4 
gen_000_ind_004,true,confidenceFactor,false,false,0.45,null,false,true,null,null,true,false,0.15,true,1,4,null,confidenceFactor,null,true,true,null,true,true,null,true,true,null,MajorityVotingAggregator,true,false,7,7,2,null,false,null,null,true,7,null,null,null,-PART -B -M 4 -doNotMakeSplitPointActualValue -C 0.45 -SimpleCart -M 7 -U -Aggregator MajorityVotingAggregator -JRip -N 7 -O 1 -F 2 -J48 -doNotMakeSplitPointActualValue -C 0.15 -A -J -O -M 7 -S 
gen_000_ind_005,true,null,true,null,null,10,null,true,null,null,false,true,null,false,2,null,false,null,true,true,null,weka.attributeSelection.GreedyStepwise,null,true,7,false,null,auc,CompetenceBasedAggregator,null,null,3,8,2,null,null,null,true,null,null,true,null,null,-DecisionTable -I -X 10 -S weka.attributeSelection.GreedyStepwise -E auc -GreedyStepwise -B -C -SimpleCart -M 3 -C 1.0 -S 1 -H -N 7 -Aggregator CompetenceBasedAggregator -JRip -N 8 -O 2 -F 2 
gen_000_ind_006,true,unpruned,true,null,null,9,false,true,null,null,true,true,null,true,2,2,true,unpruned,false,true,false,weka.attributeSelection.GreedyStepwise,false,true,3,false,false,mae,CompetenceBasedAggregator,false,true,9,10,10,null,false,null,true,true,4,false,null,null,-DecisionTable -X 9 -S weka.attributeSelection.GreedyStepwise -E mae -GreedyStepwise -C -PART -M 2 -J -U -SimpleCart -M 9 -C 1.0 -S 1 -H -A -N 3 -Aggregator CompetenceBasedAggregator -JRip -N 10 -O 2 -F 10 -J48 -doNotMakeSplitPointActualValue -U -J -M 4 
gen_000_ind_007,true,confidenceFactor,false,false,null,4,false,true,null,null,true,true,0.05,false,4,null,null,null,true,true,null,weka.attributeSelection.GreedyStepwise,null,true,null,false,null,rmse,MajorityVotingAggregator,false,true,4,8,8,null,false,null,false,false,5,true,null,null,-DecisionTable -I -X 4 -S weka.attributeSelection.GreedyStepwise -E rmse -GreedyStepwise -B -SimpleCart -M 4 -U -H -Aggregator MajorityVotingAggregator -JRip -N 8 -O 4 -F 8 -J48 -C 0.05 -J -M 5 -S 
gen_000_ind_008,null,confidenceFactor,false,true,null,5,false,false,1,5,true,true,0.15,false,null,null,null,null,true,null,null,weka.attributeSelection.BestFirst,null,true,null,false,null,rmse,MajorityVotingAggregator,true,true,9,null,null,null,true,null,null,true,2,null,null,null,-DecisionTable -I -X 5 -S weka.attributeSelection.BestFirst -E rmse -SimpleCart -M 9 -U -H -Aggregator MajorityVotingAggregator -BestFirst -N 5 -D 1 -J48 -doNotMakeSplitPointActualValue -C 0.15 -A -M 2 
