individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,false,confidenceFactor,false,true,null,null,false,true,null,null,true,false,0.15,false,null,null,null,null,null,false,null,null,null,true,null,true,null,null,RuleExtractorAggregator,false,true,2,7,null,null,false,null,null,true,5,null,null,0.9123871728700527,-SimpleCart -U -M 2 -Aggregator RuleExtractorAggregator -JRip -E -P -N 7 -J48 -M 5 -J -doNotMakeSplitPointActualValue -C 0.15 
gen_000_ind_000,false,confidenceFactor,false,true,null,null,false,true,null,null,true,false,0.15,false,null,null,null,null,null,false,null,null,null,true,null,true,null,null,RuleExtractorAggregator,false,true,2,7,null,null,false,null,null,true,5,null,null,null,-SimpleCart -U -M 2 -Aggregator RuleExtractorAggregator -JRip -E -P -N 7 -J48 -M 5 -J -doNotMakeSplitPointActualValue -C 0.15 
gen_000_ind_001,false,confidenceFactor,false,true,null,null,false,true,null,null,true,false,0.25,false,null,null,null,null,null,false,null,null,null,true,null,true,null,null,RuleExtractorAggregator,true,true,10,2,null,null,true,null,null,false,10,null,null,null,-SimpleCart -U -M 10 -Aggregator RuleExtractorAggregator -JRip -E -P -N 2 -J48 -M 10 -A -C 0.25 
gen_000_ind_002,true,reducedErrorPruning,false,true,0.45,1,true,true,null,null,true,true,null,true,null,2,null,confidenceFactor,true,false,false,weka.attributeSelection.GreedyStepwise,false,true,null,true,true,rmse,CompetenceBasedAggregator,false,false,4,2,null,null,true,6,true,true,4,false,null,null,-DecisionTable -E rmse -X 1 -I -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -PART -J -C 0.45 -M 2 -B -SimpleCart -U -M 4 -Aggregator CompetenceBasedAggregator -JRip -P -N 2 -J48 -M 4 -O -doNotMakeSplitPointActualValue -B -R -Q 1 -N 6 
gen_000_ind_003,true,confidenceFactor,false,true,null,null,false,true,null,null,true,false,0.35,false,2,null,null,null,null,true,null,null,null,true,null,true,null,null,MajorityVotingAggregator,true,false,7,2,3,null,false,null,null,false,10,null,null,null,-SimpleCart -U -M 7 -Aggregator MajorityVotingAggregator -JRip -N 2 -F 3 -O 2 -J48 -M 10 -O -J -A -C 0.35 
gen_000_ind_004,false,confidenceFactor,true,true,0.35,2,false,true,null,null,true,true,0.15,true,2,7,false,confidenceFactor,false,true,false,weka.attributeSelection.GreedyStepwise,true,true,7,true,false,mae,RuleExtractorAggregator,false,false,2,8,7,null,true,null,false,false,6,false,null,null,-DecisionTable -E mae -X 2 -S weka.attributeSelection.GreedyStepwise -PART -J -C 0.35 -doNotMakeSplitPointActualValue -M 7 -SimpleCart -C 1.0 -S 1 -M 2 -N 7 -Aggregator RuleExtractorAggregator -JRip -E -N 8 -F 7 -O 2 -J48 -M 6 -O -C 0.15 
gen_000_ind_005,true,confidenceFactor,false,true,null,1,false,true,null,null,true,true,0.25,true,6,10,null,reducedErrorPruning,false,true,false,weka.attributeSelection.GreedyStepwise,false,true,null,true,false,auc,CompetenceBasedAggregator,false,true,9,3,2,9,true,null,false,false,8,false,null,null,-DecisionTable -E auc -X 1 -S weka.attributeSelection.GreedyStepwise -PART -J -R -Q 1 -N 9 -M 10 -SimpleCart -U -M 9 -Aggregator CompetenceBasedAggregator -JRip -N 3 -F 2 -O 6 -J48 -M 8 -C 0.25 
gen_000_ind_006,true,reducedErrorPruning,false,true,0.45,5,false,true,2,10,true,true,null,true,null,2,null,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,false,true,null,true,false,auc,MajorityVotingAggregator,true,true,5,5,null,null,false,3,null,true,5,null,null,null,-DecisionTable -E auc -X 5 -S weka.attributeSelection.BestFirst -PART -J -C 0.45 -M 2 -SimpleCart -U -M 5 -Aggregator MajorityVotingAggregator -BestFirst -N 10 -D 2 -JRip -P -N 5 -J48 -M 5 -J -A -doNotMakeSplitPointActualValue -R -Q 1 -N 3 
gen_000_ind_007,false,reducedErrorPruning,true,true,null,6,false,true,1,10,true,true,null,true,5,5,false,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,true,true,5,true,true,auc,RuleExtractorAggregator,false,false,9,6,7,4,false,7,null,true,4,null,null,null,-DecisionTable -E auc -X 6 -S weka.attributeSelection.BestFirst -PART -R -Q 1 -N 4 -doNotMakeSplitPointActualValue -M 5 -B -SimpleCart -C 1.0 -S 1 -M 9 -N 5 -Aggregator RuleExtractorAggregator -BestFirst -N 10 -D 1 -JRip -E -N 6 -F 7 -O 5 -J48 -M 4 -O -J -doNotMakeSplitPointActualValue -R -Q 1 -N 7 
gen_000_ind_008,false,unpruned,false,null,0.45,9,false,true,1,3,true,true,null,true,2,3,null,confidenceFactor,false,true,false,weka.attributeSelection.BestFirst,true,true,null,false,false,auc,RuleExtractorAggregator,true,false,6,2,8,null,true,null,null,false,6,null,null,null,-DecisionTable -E auc -X 9 -S weka.attributeSelection.BestFirst -PART -J -C 0.45 -doNotMakeSplitPointActualValue -M 3 -SimpleCart -U -H -M 6 -Aggregator RuleExtractorAggregator -BestFirst -N 3 -D 1 -JRip -E -N 2 -F 8 -O 2 -J48 -M 6 -O -A -U 
gen_000_ind_009,true,confidenceFactor,true,true,null,8,false,true,0,5,true,true,0.35,true,4,8,true,unpruned,true,true,false,weka.attributeSelection.BestFirst,false,true,9,false,true,acc,CompetenceBasedAggregator,false,false,9,9,3,null,false,null,null,true,10,null,null,null,-DecisionTable -E acc -X 8 -I -S weka.attributeSelection.BestFirst -PART -J -U -M 8 -B -SimpleCart -C 1.0 -S 1 -H -M 9 -N 9 -A -Aggregator CompetenceBasedAggregator -BestFirst -N 5 -D 0 -JRip -N 9 -F 3 -O 4 -J48 -M 10 -O -J -doNotMakeSplitPointActualValue -C 0.35 
