classifier,someClassifier-Individual,someClassifier-Individual
metric,mean,std
banana,0.8265275014163523,0.0
banknotes,0.9853255023449937,0.0
car,0.9458539769868183,0.0
contraceptive,0.6398267644291867,0.0
diabetic,0.6802812632599866,0.0
flare,0.923433381896571,0.0
krvskp,0.9901560212558999,0.0
page-blocks,0.9367308130220371,0.0
penbased,0.9906432248233095,0.0
phoneme,0.822118811338341,0.0
ring,0.9607421929789701,0.0
seismicbumps,0.6092329060870413,0.0
splice,0.9542645633072917,0.0
steelfaults,1.0,0.0
