individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,true,reducedErrorPruning,false,false,null,7,true,true,2,4,true,true,null,false,null,null,null,null,true,false,null,weka.attributeSelection.BestFirst,null,true,null,true,null,auc,RuleExtractorAggregator,false,false,10,8,null,null,true,10,null,false,2,null,null,0.9054377097104016,-DecisionTable -S weka.attributeSelection.BestFirst -E auc -X 7 -I -SimpleCart -U -M 10 -Aggregator RuleExtractorAggregator -BestFirst -D 2 -N 4 -JRip -N 8 -P -J48 -O -B -R -Q 1 -M 2 -N 10 -S 
gen_000_ind_000,true,reducedErrorPruning,false,false,null,7,true,true,2,4,true,true,null,false,null,null,null,null,true,false,null,weka.attributeSelection.BestFirst,null,true,null,true,null,auc,RuleExtractorAggregator,false,false,10,8,null,null,true,10,null,false,2,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -E auc -X 7 -I -SimpleCart -U -M 10 -Aggregator RuleExtractorAggregator -BestFirst -D 2 -N 4 -JRip -N 8 -P -J48 -O -B -R -Q 1 -M 2 -N 10 -S 
gen_000_ind_001,null,confidenceFactor,false,true,0.25,6,true,false,1,3,true,true,0.25,true,null,9,null,confidenceFactor,false,null,true,weka.attributeSelection.BestFirst,false,true,null,false,false,auc,RuleExtractorAggregator,false,true,7,null,null,null,true,null,null,true,5,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -E auc -X 6 -PART -M 9 -C 0.25 -SimpleCart -H -U -M 7 -Aggregator RuleExtractorAggregator -BestFirst -D 1 -N 3 -J48 -B -C 0.25 -doNotMakeSplitPointActualValue -M 5 
gen_000_ind_002,true,unpruned,false,null,null,7,false,true,2,7,true,true,null,true,null,4,null,unpruned,true,false,true,weka.attributeSelection.BestFirst,false,true,null,true,false,rmse,RuleExtractorAggregator,true,true,6,10,null,null,true,null,null,true,8,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -E rmse -X 7 -I -PART -M 4 -U -SimpleCart -U -M 6 -Aggregator RuleExtractorAggregator -BestFirst -D 2 -N 7 -JRip -N 10 -P -J48 -U -doNotMakeSplitPointActualValue -M 8 -A 
gen_000_ind_003,true,reducedErrorPruning,null,false,0.05,10,true,true,0,1,true,true,null,true,null,9,null,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,false,false,null,null,true,auc,MajorityVotingAggregator,true,true,null,4,null,null,true,10,null,true,2,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -E auc -X 10 -PART -B -M 9 -J -C 0.05 -Aggregator MajorityVotingAggregator -BestFirst -D 0 -N 1 -JRip -N 4 -P -J48 -B -R -Q 1 -doNotMakeSplitPointActualValue -M 2 -A -N 10 -S 
gen_000_ind_004,true,reducedErrorPruning,true,false,0.15,7,false,true,0,7,true,true,null,true,6,7,false,confidenceFactor,true,true,false,weka.attributeSelection.BestFirst,true,true,3,true,false,acc,CompetenceBasedAggregator,false,true,2,6,5,null,true,10,null,false,10,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -E acc -X 7 -I -PART -M 7 -doNotMakeSplitPointActualValue -J -C 0.15 -SimpleCart -C 1.0 -S 1 -M 2 -N 3 -Aggregator CompetenceBasedAggregator -BestFirst -D 0 -N 7 -JRip -N 6 -O 6 -F 5 -J48 -R -Q 1 -M 10 -N 10 -S 
gen_000_ind_005,null,confidenceFactor,false,true,0.05,3,true,false,1,9,true,true,0.15,true,null,8,null,confidenceFactor,true,null,true,weka.attributeSelection.BestFirst,true,true,null,false,true,mae,RuleExtractorAggregator,false,false,2,null,null,null,false,null,null,false,7,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -E mae -X 3 -I -PART -B -M 8 -doNotMakeSplitPointActualValue -C 0.05 -SimpleCart -H -U -M 2 -Aggregator RuleExtractorAggregator -BestFirst -D 1 -N 9 -J48 -O -B -C 0.15 -M 7 -J 
gen_000_ind_006,true,confidenceFactor,false,false,null,3,false,true,null,null,true,true,0.05,true,3,9,null,reducedErrorPruning,false,true,false,weka.attributeSelection.GreedyStepwise,false,true,null,true,true,auc,RuleExtractorAggregator,false,true,10,9,3,5,true,null,false,true,4,true,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -E auc -X 3 -GreedyStepwise -B -PART -B -M 9 -J -R -Q 1 -N 5 -SimpleCart -U -M 10 -Aggregator RuleExtractorAggregator -JRip -N 9 -O 3 -F 3 -J48 -C 0.05 -doNotMakeSplitPointActualValue -M 4 -S 
gen_000_ind_007,true,reducedErrorPruning,false,true,null,1,true,true,0,1,true,true,null,true,4,8,null,unpruned,true,true,true,weka.attributeSelection.BestFirst,false,true,null,true,false,auc,RuleExtractorAggregator,true,true,2,6,10,null,false,6,null,true,10,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -E auc -X 1 -I -PART -M 8 -U -SimpleCart -U -M 2 -Aggregator RuleExtractorAggregator -BestFirst -D 0 -N 1 -JRip -N 6 -O 4 -F 10 -J48 -B -R -Q 1 -doNotMakeSplitPointActualValue -M 10 -J -A -N 6 
gen_000_ind_008,false,unpruned,false,null,null,1,false,true,1,7,true,true,null,true,9,6,null,unpruned,true,true,true,weka.attributeSelection.BestFirst,false,true,null,false,true,auc,RuleExtractorAggregator,false,false,5,9,5,null,false,null,null,false,4,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -E auc -X 1 -I -PART -B -M 6 -U -SimpleCart -H -U -M 5 -Aggregator RuleExtractorAggregator -BestFirst -D 1 -N 7 -JRip -E -N 9 -O 9 -F 5 -J48 -O -U -M 4 -J 
gen_000_ind_009,false,null,false,null,null,null,null,true,null,null,false,false,null,true,4,2,null,reducedErrorPruning,null,true,true,null,true,true,null,false,true,null,RuleExtractorAggregator,null,null,9,2,3,8,null,null,null,null,null,null,null,null,-PART -B -M 2 -doNotMakeSplitPointActualValue -R -Q 1 -N 8 -SimpleCart -H -U -M 9 -Aggregator RuleExtractorAggregator -JRip -E -N 2 -O 4 -F 3 
gen_000_ind_010,false,confidenceFactor,true,false,0.15,null,false,true,null,null,true,false,0.35,true,10,2,false,confidenceFactor,null,true,true,null,false,true,9,true,true,null,CompetenceBasedAggregator,true,true,6,2,5,null,true,null,null,true,2,null,null,null,-PART -B -M 2 -C 0.15 -SimpleCart -C 1.0 -S 1 -M 6 -N 9 -Aggregator CompetenceBasedAggregator -JRip -E -N 2 -O 10 -F 5 -J48 -C 0.35 -doNotMakeSplitPointActualValue -M 2 -A -S 
