individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,true,confidenceFactor,true,true,null,8,true,true,0,4,true,true,0.35,true,null,2,false,unpruned,false,false,false,weka.attributeSelection.BestFirst,false,true,3,true,false,auc,MajorityVotingAggregator,false,true,6,9,null,null,true,null,null,false,7,null,null,0.9974451777730466,-DecisionTable -X 8 -E auc -S weka.attributeSelection.BestFirst -PART -M 2 -U -J -SimpleCart -M 6 -C 1.0 -S 1 -N 3 -Aggregator MajorityVotingAggregator -BestFirst -D 0 -N 4 -JRip -N 9 -P -J48 -B -C 0.35 -M 7 
gen_000_ind_000,true,confidenceFactor,true,true,null,8,true,true,0,4,true,true,0.35,true,null,2,false,unpruned,false,false,false,weka.attributeSelection.BestFirst,false,true,3,true,false,auc,MajorityVotingAggregator,false,true,6,9,null,null,true,null,null,false,7,null,null,null,-DecisionTable -X 8 -E auc -S weka.attributeSelection.BestFirst -PART -M 2 -U -J -SimpleCart -M 6 -C 1.0 -S 1 -N 3 -Aggregator MajorityVotingAggregator -BestFirst -D 0 -N 4 -JRip -N 9 -P -J48 -B -C 0.35 -M 7 
gen_000_ind_001,false,null,false,null,null,2,null,true,null,null,false,true,null,true,3,2,null,reducedErrorPruning,false,true,true,weka.attributeSelection.GreedyStepwise,true,true,null,true,false,auc,CompetenceBasedAggregator,null,null,4,4,5,9,null,null,true,null,null,true,null,null,-DecisionTable -X 2 -E auc -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -B -C -PART -M 2 -doNotMakeSplitPointActualValue -R -Q 1 -N 9 -SimpleCart -M 4 -U -Aggregator CompetenceBasedAggregator -JRip -E -N 4 -F 5 -O 3 
gen_000_ind_002,false,reducedErrorPruning,true,true,null,4,true,true,null,null,true,true,null,false,null,null,true,null,true,false,null,weka.attributeSelection.GreedyStepwise,null,true,7,false,null,auc,CompetenceBasedAggregator,true,true,6,9,null,null,true,7,false,false,6,false,null,null,-DecisionTable -X 4 -E auc -S weka.attributeSelection.GreedyStepwise -I -SimpleCart -H -M 6 -C 1.0 -S 1 -A -N 7 -Aggregator CompetenceBasedAggregator -JRip -E -N 9 -P -J48 -B -R -Q 1 -N 7 -A -M 6 
gen_000_ind_003,true,unpruned,true,null,0.05,8,false,true,1,7,true,true,null,true,null,2,false,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,true,true,9,true,true,mae,MajorityVotingAggregator,true,true,4,5,null,null,true,null,null,false,3,null,null,null,-DecisionTable -X 8 -E mae -S weka.attributeSelection.BestFirst -PART -M 2 -B -doNotMakeSplitPointActualValue -C 0.05 -SimpleCart -M 4 -C 1.0 -S 1 -N 9 -Aggregator MajorityVotingAggregator -BestFirst -D 1 -N 7 -JRip -N 5 -P -J48 -U -A -M 3 
gen_000_ind_004,true,confidenceFactor,true,false,null,null,false,true,null,null,true,false,0.45,true,null,5,true,unpruned,null,false,false,null,false,true,5,true,false,null,MajorityVotingAggregator,true,false,2,10,null,null,true,null,null,false,2,null,null,null,-PART -M 5 -U -J -SimpleCart -M 2 -C 1.0 -S 1 -A -N 5 -Aggregator MajorityVotingAggregator -JRip -N 10 -P -J48 -C 0.45 -O -A -M 2 -S 
gen_000_ind_005,false,confidenceFactor,false,false,null,3,true,true,1,10,true,true,0.35,true,1,2,null,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,false,true,null,false,true,rmse,MajorityVotingAggregator,false,false,7,3,10,2,false,null,null,false,5,null,null,null,-DecisionTable -X 3 -E rmse -S weka.attributeSelection.BestFirst -PART -M 2 -B -R -Q 1 -N 2 -SimpleCart -H -M 7 -U -Aggregator MajorityVotingAggregator -BestFirst -D 1 -N 10 -JRip -E -N 3 -F 10 -O 1 -J48 -J -B -C 0.35 -O -M 5 -S 
gen_000_ind_006,true,unpruned,null,null,0.05,6,true,true,null,null,true,true,null,true,2,6,null,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,false,false,null,null,false,rmse,RuleExtractorAggregator,true,true,null,8,7,null,false,null,false,false,7,false,null,null,-DecisionTable -X 6 -E rmse -S weka.attributeSelection.GreedyStepwise -PART -M 6 -C 0.05 -Aggregator RuleExtractorAggregator -JRip -N 8 -F 7 -O 2 -J48 -J -B -U -A -M 7 
gen_000_ind_007,false,unpruned,false,null,null,7,true,true,null,null,true,true,null,true,5,8,null,unpruned,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,false,auc,CompetenceBasedAggregator,true,false,2,3,10,null,true,null,false,false,4,false,null,null,-DecisionTable -X 7 -E auc -S weka.attributeSelection.GreedyStepwise -PART -M 8 -U -SimpleCart -M 2 -U -Aggregator CompetenceBasedAggregator -JRip -E -N 3 -F 10 -O 5 -J48 -B -U -O -A -M 4 
gen_000_ind_008,false,unpruned,null,null,null,10,true,true,1,1,true,true,null,true,null,10,null,unpruned,true,false,true,weka.attributeSelection.BestFirst,false,false,null,null,true,auc,RuleExtractorAggregator,false,false,null,7,null,null,true,null,null,false,4,null,null,null,-DecisionTable -X 10 -E auc -S weka.attributeSelection.BestFirst -I -PART -M 10 -B -U -Aggregator RuleExtractorAggregator -BestFirst -D 1 -N 1 -JRip -E -N 7 -P -J48 -B -U -O -M 4 
