individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,true,unpruned,true,null,null,10,false,true,0,5,true,true,null,true,8,9,false,unpruned,false,true,false,weka.attributeSelection.BestFirst,true,true,4,true,false,mae,MajorityVotingAggregator,false,true,6,8,10,null,true,null,null,true,9,null,null,0.9965243361603223,-DecisionTable -S weka.attributeSelection.BestFirst -X 10 -E mae -PART -M 9 -doNotMakeSplitPointActualValue -J -U -SimpleCart -C 1.0 -S 1 -M 6 -N 4 -Aggregator MajorityVotingAggregator -BestFirst -N 5 -D 0 -JRip -O 8 -N 8 -F 10 -J48 -doNotMakeSplitPointActualValue -U -M 9 
gen_000_ind_000,true,unpruned,true,null,null,10,false,true,0,5,true,true,null,true,8,9,false,unpruned,false,true,false,weka.attributeSelection.BestFirst,true,true,4,true,false,mae,MajorityVotingAggregator,false,true,6,8,10,null,true,null,null,true,9,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 10 -E mae -PART -M 9 -doNotMakeSplitPointActualValue -J -U -SimpleCart -C 1.0 -S 1 -M 6 -N 4 -Aggregator MajorityVotingAggregator -BestFirst -N 5 -D 0 -JRip -O 8 -N 8 -F 10 -J48 -doNotMakeSplitPointActualValue -U -M 9 
gen_000_ind_001,true,reducedErrorPruning,true,true,0.05,4,false,true,0,8,true,true,null,true,null,7,false,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,false,true,10,true,true,mae,RuleExtractorAggregator,true,true,7,2,null,null,true,5,null,true,8,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 4 -E mae -PART -M 7 -B -C 0.05 -SimpleCart -C 1.0 -S 1 -M 7 -N 10 -Aggregator RuleExtractorAggregator -BestFirst -N 8 -D 0 -JRip -P -N 2 -J48 -doNotMakeSplitPointActualValue -A -R -Q 1 -M 8 -N 5 
gen_000_ind_002,true,unpruned,true,null,0.45,7,false,true,0,4,true,true,null,true,2,10,false,confidenceFactor,false,true,false,weka.attributeSelection.BestFirst,true,true,5,true,false,rmse,RuleExtractorAggregator,false,false,4,3,9,null,true,null,null,true,6,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 7 -E rmse -PART -M 10 -doNotMakeSplitPointActualValue -J -C 0.45 -SimpleCart -C 1.0 -S 1 -M 4 -N 5 -Aggregator RuleExtractorAggregator -BestFirst -N 4 -D 0 -JRip -O 2 -N 3 -F 9 -J48 -doNotMakeSplitPointActualValue -O -U -M 6 
gen_000_ind_003,false,unpruned,true,null,0.25,8,false,true,null,null,true,true,null,true,7,2,false,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,7,true,false,auc,CompetenceBasedAggregator,true,true,3,3,7,null,true,null,false,false,4,true,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 8 -E auc -GreedyStepwise -B -PART -M 2 -C 0.25 -SimpleCart -C 1.0 -S 1 -M 3 -N 7 -Aggregator CompetenceBasedAggregator -JRip -E -O 7 -N 3 -F 7 -J48 -A -U -M 4 
gen_000_ind_004,false,unpruned,false,null,0.45,3,false,true,null,null,true,true,null,true,2,5,null,confidenceFactor,true,true,true,weka.attributeSelection.GreedyStepwise,true,true,null,true,true,auc,MajorityVotingAggregator,true,false,10,2,2,null,false,null,true,true,8,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 3 -I -E auc -GreedyStepwise -C -PART -M 5 -doNotMakeSplitPointActualValue -B -C 0.45 -SimpleCart -U -M 10 -Aggregator MajorityVotingAggregator -JRip -E -O 2 -N 2 -F 2 -J48 -doNotMakeSplitPointActualValue -J -A -O -U -M 8 
gen_000_ind_005,true,confidenceFactor,true,true,null,10,false,true,null,null,true,true,0.25,true,9,4,false,unpruned,false,true,true,weka.attributeSelection.GreedyStepwise,true,true,5,true,false,acc,CompetenceBasedAggregator,false,false,3,8,7,null,true,null,true,true,9,true,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 10 -E acc -GreedyStepwise -C -B -PART -M 4 -doNotMakeSplitPointActualValue -U -SimpleCart -C 1.0 -S 1 -M 3 -N 5 -Aggregator CompetenceBasedAggregator -JRip -O 9 -N 8 -F 7 -J48 -doNotMakeSplitPointActualValue -O -C 0.25 -M 9 
gen_000_ind_006,false,reducedErrorPruning,false,true,null,3,true,true,1,8,true,true,null,true,4,4,null,unpruned,true,true,false,weka.attributeSelection.BestFirst,true,true,null,false,false,auc,RuleExtractorAggregator,true,true,10,2,10,null,true,3,null,false,9,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 3 -I -E auc -PART -M 4 -doNotMakeSplitPointActualValue -J -U -SimpleCart -H -U -M 10 -Aggregator RuleExtractorAggregator -BestFirst -N 8 -D 1 -JRip -E -O 4 -N 2 -F 10 -J48 -B -A -R -Q 1 -M 9 -N 3 
gen_000_ind_007,false,reducedErrorPruning,true,true,null,10,true,true,null,null,true,true,null,true,2,6,true,reducedErrorPruning,true,true,true,weka.attributeSelection.GreedyStepwise,true,true,7,false,true,rmse,CompetenceBasedAggregator,true,true,5,9,8,9,true,7,false,true,6,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 10 -I -E rmse -PART -M 6 -doNotMakeSplitPointActualValue -B -R -Q 1 -N 9 -SimpleCart -H -C 1.0 -S 1 -M 5 -N 7 -A -Aggregator CompetenceBasedAggregator -JRip -E -O 2 -N 9 -F 8 -J48 -doNotMakeSplitPointActualValue -B -A -R -Q 1 -M 6 -N 7 
gen_000_ind_008,true,confidenceFactor,true,false,null,4,true,true,1,1,true,true,0.35,true,9,5,false,reducedErrorPruning,false,true,false,weka.attributeSelection.BestFirst,false,true,7,true,false,auc,MajorityVotingAggregator,false,true,6,10,9,2,true,null,null,false,7,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 4 -E auc -PART -M 5 -J -R -Q 1 -N 2 -SimpleCart -C 1.0 -S 1 -M 6 -N 7 -Aggregator MajorityVotingAggregator -BestFirst -N 1 -D 1 -JRip -O 9 -N 10 -F 9 -J48 -B -C 0.35 -M 7 -S 
