individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,true,reducedErrorPruning,true,true,0.35,5,false,true,2,2,true,true,null,true,3,2,false,confidenceFactor,true,true,false,weka.attributeSelection.BestFirst,false,true,10,true,false,auc,CompetenceBasedAggregator,false,true,2,6,5,null,false,6,null,false,2,null,null,0.7468123861566485,-DecisionTable -S weka.attributeSelection.BestFirst -E auc -X 5 -I -PART -M 2 -J -C 0.35 -SimpleCart -C 1.0 -S 1 -M 2 -N 10 -Aggregator CompetenceBasedAggregator -BestFirst -N 2 -D 2 -JRip -N 6 -O 3 -F 5 -J48 -J -M 2 -R -Q 1 -N 6 
gen_000_ind_000,true,reducedErrorPruning,true,true,0.35,5,false,true,2,2,true,true,null,true,3,2,false,confidenceFactor,true,true,false,weka.attributeSelection.BestFirst,false,true,10,true,false,auc,CompetenceBasedAggregator,false,true,2,6,5,null,false,6,null,false,2,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -E auc -X 5 -I -PART -M 2 -J -C 0.35 -SimpleCart -C 1.0 -S 1 -M 2 -N 10 -Aggregator CompetenceBasedAggregator -BestFirst -N 2 -D 2 -JRip -N 6 -O 3 -F 5 -J48 -J -M 2 -R -Q 1 -N 6 
gen_000_ind_001,false,unpruned,true,null,0.25,null,true,true,null,null,true,false,null,true,3,8,true,confidenceFactor,null,true,true,null,true,true,9,true,false,null,RuleExtractorAggregator,true,true,10,3,4,null,true,null,null,false,2,null,null,null,-PART -M 8 -doNotMakeSplitPointActualValue -C 0.25 -SimpleCart -C 1.0 -S 1 -M 10 -N 9 -A -Aggregator RuleExtractorAggregator -JRip -N 3 -E -O 3 -F 4 -J48 -A -B -M 2 -U 
gen_000_ind_002,true,reducedErrorPruning,null,false,null,2,false,true,2,5,true,true,null,false,4,null,null,null,false,true,null,weka.attributeSelection.BestFirst,null,false,null,null,null,auc,RuleExtractorAggregator,false,true,null,5,3,null,true,7,null,true,4,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -E auc -X 2 -Aggregator RuleExtractorAggregator -BestFirst -N 5 -D 2 -JRip -N 5 -O 4 -F 3 -J48 -doNotMakeSplitPointActualValue -M 4 -R -Q 1 -N 7 -S 
gen_000_ind_003,true,reducedErrorPruning,null,true,null,7,false,true,null,null,true,true,null,true,7,9,null,unpruned,false,true,false,weka.attributeSelection.GreedyStepwise,false,false,null,null,false,rmse,CompetenceBasedAggregator,true,false,null,3,4,null,true,2,true,true,7,true,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -E rmse -X 7 -GreedyStepwise -B -C -PART -M 9 -J -U -Aggregator CompetenceBasedAggregator -JRip -N 3 -O 7 -F 4 -J48 -A -O -doNotMakeSplitPointActualValue -M 7 -R -Q 1 -N 2 
gen_000_ind_004,false,reducedErrorPruning,true,true,null,1,true,true,1,10,true,true,null,false,null,null,true,null,false,false,null,weka.attributeSelection.BestFirst,null,true,8,true,null,mae,MajorityVotingAggregator,false,true,7,2,null,null,true,3,null,false,7,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -E mae -X 1 -SimpleCart -C 1.0 -S 1 -M 7 -N 8 -A -Aggregator MajorityVotingAggregator -BestFirst -N 10 -D 1 -JRip -P -N 2 -E -J48 -B -M 7 -R -Q 1 -N 3 
gen_000_ind_005,false,confidenceFactor,true,false,0.15,8,false,true,1,8,true,true,0.35,true,10,10,false,confidenceFactor,false,true,false,weka.attributeSelection.BestFirst,true,true,9,true,false,mae,MajorityVotingAggregator,true,false,2,2,3,null,true,null,null,true,8,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -E mae -X 8 -PART -M 10 -J -doNotMakeSplitPointActualValue -C 0.15 -SimpleCart -C 1.0 -S 1 -M 2 -N 9 -Aggregator MajorityVotingAggregator -BestFirst -N 8 -D 1 -JRip -N 2 -E -O 10 -F 3 -J48 -A -O -doNotMakeSplitPointActualValue -M 8 -C 0.35 -S 
gen_000_ind_006,true,confidenceFactor,true,false,null,3,false,true,null,null,true,true,0.45,true,7,3,true,unpruned,true,true,false,weka.attributeSelection.GreedyStepwise,false,true,2,true,true,auc,CompetenceBasedAggregator,false,false,3,3,2,null,true,null,true,false,6,true,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -E auc -X 3 -I -GreedyStepwise -B -C -PART -M 3 -B -J -U -SimpleCart -C 1.0 -S 1 -M 3 -N 2 -A -Aggregator CompetenceBasedAggregator -JRip -N 3 -O 7 -F 2 -J48 -O -M 6 -C 0.45 -S 
gen_000_ind_007,false,unpruned,true,null,0.45,5,true,true,0,3,true,true,null,true,8,10,false,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,7,true,true,auc,CompetenceBasedAggregator,false,false,2,5,6,null,true,null,null,true,2,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -E auc -X 5 -PART -M 10 -B -C 0.45 -SimpleCart -C 1.0 -S 1 -M 2 -N 7 -Aggregator CompetenceBasedAggregator -BestFirst -N 3 -D 0 -JRip -N 5 -E -O 8 -F 6 -J48 -O -doNotMakeSplitPointActualValue -B -M 2 -U 
gen_000_ind_008,null,reducedErrorPruning,null,false,null,5,false,false,1,4,true,true,null,true,null,7,null,reducedErrorPruning,false,null,true,weka.attributeSelection.BestFirst,false,false,null,null,false,auc,MajorityVotingAggregator,false,true,null,null,null,7,false,3,null,true,10,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -E auc -X 5 -PART -M 7 -R -Q 1 -N 7 -Aggregator MajorityVotingAggregator -BestFirst -N 4 -D 1 -J48 -doNotMakeSplitPointActualValue -J -M 10 -R -Q 1 -N 3 -S 
