individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,false,confidenceFactor,false,false,0.25,4,false,true,2,9,true,true,0.05,true,4,6,null,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,false,true,null,true,true,acc,CompetenceBasedAggregator,false,true,8,6,7,null,true,null,null,false,3,null,null,0.9036936625791312,-DecisionTable -E acc -I -X 4 -S weka.attributeSelection.BestFirst -PART -B -C 0.25 -M 6 -SimpleCart -M 8 -U -Aggregator CompetenceBasedAggregator -BestFirst -N 9 -D 2 -JRip -N 6 -O 4 -E -F 7 -J48 -M 3 -C 0.05 -S 
gen_000_ind_000,false,confidenceFactor,false,false,0.25,4,false,true,2,9,true,true,0.05,true,4,6,null,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,false,true,null,true,true,acc,CompetenceBasedAggregator,false,true,8,6,7,null,true,null,null,false,3,null,null,null,-DecisionTable -E acc -I -X 4 -S weka.attributeSelection.BestFirst -PART -B -C 0.25 -M 6 -SimpleCart -M 8 -U -Aggregator CompetenceBasedAggregator -BestFirst -N 9 -D 2 -JRip -N 6 -O 4 -E -F 7 -J48 -M 3 -C 0.05 -S 
gen_000_ind_001,true,reducedErrorPruning,true,false,null,null,true,true,null,null,true,false,null,true,null,3,true,reducedErrorPruning,null,false,false,null,false,true,5,false,true,null,CompetenceBasedAggregator,false,false,5,10,null,7,true,8,null,true,10,null,null,null,-PART -B -J -R -Q 1 -M 3 -N 7 -SimpleCart -M 5 -H -C 1.0 -S 1 -N 5 -A -Aggregator CompetenceBasedAggregator -JRip -N 10 -P -J48 -B -doNotMakeSplitPointActualValue -M 10 -O -R -Q 1 -S -N 8 
gen_000_ind_002,false,reducedErrorPruning,true,false,0.35,10,false,true,null,null,true,true,null,true,7,9,false,confidenceFactor,true,true,false,weka.attributeSelection.GreedyStepwise,true,true,5,true,true,mae,CompetenceBasedAggregator,false,true,5,6,10,null,false,6,false,false,4,true,null,null,-DecisionTable -E mae -I -X 10 -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -B -PART -B -J -doNotMakeSplitPointActualValue -C 0.35 -M 9 -SimpleCart -M 5 -C 1.0 -S 1 -N 5 -Aggregator CompetenceBasedAggregator -JRip -N 6 -O 7 -E -F 10 -J48 -J -M 4 -R -Q 1 -S -N 6 
gen_000_ind_003,true,unpruned,true,null,null,10,false,true,0,5,true,true,null,true,null,8,true,unpruned,true,false,false,weka.attributeSelection.BestFirst,true,true,5,true,false,auc,MajorityVotingAggregator,false,true,7,3,null,null,false,null,null,false,10,null,null,null,-DecisionTable -E auc -I -X 10 -S weka.attributeSelection.BestFirst -PART -J -doNotMakeSplitPointActualValue -U -M 8 -SimpleCart -M 7 -C 1.0 -S 1 -N 5 -A -Aggregator MajorityVotingAggregator -BestFirst -N 5 -D 0 -JRip -N 3 -P -J48 -J -M 10 -U 
gen_000_ind_004,true,confidenceFactor,true,false,0.35,3,false,true,null,null,true,true,0.15,true,null,3,true,confidenceFactor,false,false,false,weka.attributeSelection.GreedyStepwise,true,true,10,false,false,rmse,MajorityVotingAggregator,true,false,5,8,null,null,false,null,false,false,2,true,null,null,-DecisionTable -E rmse -X 3 -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -B -PART -J -doNotMakeSplitPointActualValue -C 0.35 -M 3 -SimpleCart -M 5 -H -C 1.0 -S 1 -N 10 -A -Aggregator MajorityVotingAggregator -JRip -N 8 -P -J48 -J -M 2 -O -C 0.15 -A -S 
gen_000_ind_005,true,confidenceFactor,null,true,null,5,false,true,0,1,true,true,0.45,false,5,null,null,null,false,true,null,weka.attributeSelection.BestFirst,null,false,null,null,null,auc,CompetenceBasedAggregator,false,false,null,8,7,null,true,null,null,false,8,null,null,null,-DecisionTable -E auc -X 5 -S weka.attributeSelection.BestFirst -Aggregator CompetenceBasedAggregator -BestFirst -N 1 -D 0 -JRip -N 8 -O 5 -F 7 -J48 -M 8 -O -C 0.45 
gen_000_ind_006,true,confidenceFactor,true,true,null,7,true,true,0,9,true,true,0.35,true,null,2,false,unpruned,false,false,true,weka.attributeSelection.BestFirst,false,true,3,true,true,rmse,MajorityVotingAggregator,true,false,8,2,null,null,true,null,null,false,2,null,null,null,-DecisionTable -E rmse -X 7 -S weka.attributeSelection.BestFirst -PART -B -U -M 2 -SimpleCart -M 8 -C 1.0 -S 1 -N 3 -Aggregator MajorityVotingAggregator -BestFirst -N 9 -D 0 -JRip -N 2 -P -J48 -B -M 2 -O -C 0.35 -A 
gen_000_ind_007,false,reducedErrorPruning,false,false,0.35,4,true,true,2,4,true,true,null,true,null,7,null,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,true,true,null,true,false,rmse,MajorityVotingAggregator,true,true,3,9,null,null,true,10,null,false,10,null,null,null,-DecisionTable -E rmse -X 4 -S weka.attributeSelection.BestFirst -PART -J -doNotMakeSplitPointActualValue -C 0.35 -M 7 -SimpleCart -M 3 -U -Aggregator MajorityVotingAggregator -BestFirst -N 4 -D 2 -JRip -N 9 -P -E -J48 -B -M 10 -R -Q 1 -A -S -N 10 
gen_000_ind_008,true,reducedErrorPruning,true,true,0.25,1,false,true,null,null,true,true,null,true,4,2,true,confidenceFactor,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,8,true,false,auc,RuleExtractorAggregator,false,false,4,9,9,null,false,4,false,false,7,false,null,null,-DecisionTable -E auc -I -X 1 -S weka.attributeSelection.GreedyStepwise -PART -C 0.25 -M 2 -SimpleCart -M 4 -C 1.0 -S 1 -N 8 -A -Aggregator RuleExtractorAggregator -JRip -N 9 -O 4 -F 9 -J48 -J -M 7 -O -R -Q 1 -N 4 
