individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,true,confidenceFactor,false,true,null,null,true,true,null,null,true,false,0.35,true,1,7,null,unpruned,null,true,true,null,true,true,null,false,false,null,MajorityVotingAggregator,true,true,9,10,5,null,true,null,null,true,2,null,null,1.0,-PART -doNotMakeSplitPointActualValue -U -M 7 -SimpleCart -U -M 9 -H -Aggregator MajorityVotingAggregator -JRip -N 10 -O 1 -F 5 -J48 -B -M 2 -C 0.35 -A -doNotMakeSplitPointActualValue 
gen_000_ind_000,true,confidenceFactor,false,true,null,null,true,true,null,null,true,false,0.35,true,1,7,null,unpruned,null,true,true,null,true,true,null,false,false,null,MajorityVotingAggregator,true,true,9,10,5,null,true,null,null,true,2,null,null,null,-PART -doNotMakeSplitPointActualValue -U -M 7 -SimpleCart -U -M 9 -H -Aggregator MajorityVotingAggregator -JRip -N 10 -O 1 -F 5 -J48 -B -M 2 -C 0.35 -A -doNotMakeSplitPointActualValue 
gen_000_ind_001,true,confidenceFactor,true,false,0.35,null,false,true,null,null,true,false,0.35,true,null,10,true,confidenceFactor,null,false,false,null,false,true,5,false,false,null,CompetenceBasedAggregator,false,true,10,10,null,null,true,null,null,true,5,null,null,null,-PART -J -C 0.35 -M 10 -SimpleCart -C 1.0 -S 1 -M 10 -H -A -N 5 -Aggregator CompetenceBasedAggregator -JRip -P -N 10 -J48 -M 5 -C 0.35 -doNotMakeSplitPointActualValue -S 
gen_000_ind_002,false,confidenceFactor,false,false,0.15,1,false,true,1,5,true,true,0.05,true,5,9,null,confidenceFactor,false,true,false,weka.attributeSelection.BestFirst,false,true,null,false,false,rmse,MajorityVotingAggregator,false,false,3,7,8,null,true,null,null,false,7,null,null,null,-DecisionTable -E rmse -S weka.attributeSelection.BestFirst -X 1 -PART -J -C 0.15 -M 9 -SimpleCart -U -M 3 -H -Aggregator MajorityVotingAggregator -BestFirst -N 5 -D 1 -JRip -E -N 7 -O 5 -F 8 -J48 -O -M 7 -C 0.05 -S 
gen_000_ind_003,false,unpruned,false,null,null,5,false,true,1,5,true,true,null,false,6,null,null,null,false,true,null,weka.attributeSelection.BestFirst,null,true,null,false,null,mae,MajorityVotingAggregator,false,false,3,4,2,null,false,null,null,false,9,null,null,null,-DecisionTable -E mae -S weka.attributeSelection.BestFirst -X 5 -SimpleCart -U -M 3 -H -Aggregator MajorityVotingAggregator -BestFirst -N 5 -D 1 -JRip -E -N 4 -O 6 -F 2 -J48 -O -M 9 -J -U 
gen_000_ind_004,false,null,true,null,0.05,1,null,true,1,1,false,true,null,true,null,10,false,confidenceFactor,true,false,false,weka.attributeSelection.BestFirst,true,true,10,false,false,auc,RuleExtractorAggregator,null,null,3,2,null,null,null,null,null,null,null,null,null,null,-DecisionTable -I -E auc -S weka.attributeSelection.BestFirst -X 1 -PART -J -doNotMakeSplitPointActualValue -C 0.05 -M 10 -SimpleCart -C 1.0 -S 1 -M 3 -H -N 10 -Aggregator RuleExtractorAggregator -BestFirst -N 1 -D 1 -JRip -P -E -N 2 
gen_000_ind_005,null,confidenceFactor,false,false,null,3,false,false,1,8,true,true,0.05,true,null,5,null,reducedErrorPruning,false,null,false,weka.attributeSelection.BestFirst,false,true,null,false,true,auc,CompetenceBasedAggregator,false,true,7,null,null,2,true,null,null,false,3,null,null,null,-DecisionTable -E auc -S weka.attributeSelection.BestFirst -X 3 -PART -B -J -R -Q 1 -M 5 -N 2 -SimpleCart -U -M 7 -H -Aggregator CompetenceBasedAggregator -BestFirst -N 8 -D 1 -J48 -M 3 -C 0.05 -S 
gen_000_ind_006,true,unpruned,false,null,0.45,9,true,true,0,2,true,true,null,true,null,9,null,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,false,true,null,true,false,rmse,RuleExtractorAggregator,true,true,5,5,null,null,true,null,null,false,5,null,null,null,-DecisionTable -E rmse -S weka.attributeSelection.BestFirst -X 9 -PART -J -C 0.45 -M 9 -SimpleCart -U -M 5 -Aggregator RuleExtractorAggregator -BestFirst -N 2 -D 0 -JRip -P -N 5 -J48 -B -M 5 -U -A 
gen_000_ind_007,true,confidenceFactor,true,true,null,7,false,true,2,10,true,true,0.05,true,null,8,true,reducedErrorPruning,false,false,false,weka.attributeSelection.BestFirst,true,true,5,true,false,rmse,MajorityVotingAggregator,false,true,10,10,null,3,true,null,null,true,8,null,null,null,-DecisionTable -E rmse -S weka.attributeSelection.BestFirst -X 7 -PART -J -doNotMakeSplitPointActualValue -R -Q 1 -M 8 -N 3 -SimpleCart -C 1.0 -S 1 -M 10 -A -N 5 -Aggregator MajorityVotingAggregator -BestFirst -N 10 -D 2 -JRip -P -N 10 -J48 -M 8 -C 0.05 -doNotMakeSplitPointActualValue 
gen_000_ind_008,false,confidenceFactor,false,true,0.05,null,false,true,null,null,true,false,0.25,true,null,2,null,confidenceFactor,null,false,true,null,false,true,null,false,false,null,CompetenceBasedAggregator,true,false,9,8,null,null,true,null,null,false,6,null,null,null,-PART -C 0.05 -M 2 -SimpleCart -U -M 9 -H -Aggregator CompetenceBasedAggregator -JRip -P -E -N 8 -J48 -O -M 6 -C 0.25 -A 
