individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,true,reducedErrorPruning,true,false,null,1,false,true,1,3,true,true,null,true,null,3,true,unpruned,false,false,false,weka.attributeSelection.BestFirst,false,true,3,true,false,mae,RuleExtractorAggregator,true,true,2,6,null,null,true,10,null,true,10,null,null,0.8811793966718019,-DecisionTable -S weka.attributeSelection.BestFirst -E mae -X 1 -PART -M 3 -U -J -SimpleCart -M 2 -C 1.0 -S 1 -A -N 3 -Aggregator RuleExtractorAggregator -BestFirst -N 3 -D 1 -JRip -N 6 -P -J48 -A -M 10 -doNotMakeSplitPointActualValue -R -Q 1 -S -N 10 
gen_000_ind_000,true,reducedErrorPruning,true,false,null,1,false,true,1,3,true,true,null,true,null,3,true,unpruned,false,false,false,weka.attributeSelection.BestFirst,false,true,3,true,false,mae,RuleExtractorAggregator,true,true,2,6,null,null,true,10,null,true,10,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -E mae -X 1 -PART -M 3 -U -J -SimpleCart -M 2 -C 1.0 -S 1 -A -N 3 -Aggregator RuleExtractorAggregator -BestFirst -N 3 -D 1 -JRip -N 6 -P -J48 -A -M 10 -doNotMakeSplitPointActualValue -R -Q 1 -S -N 10 
gen_000_ind_001,null,reducedErrorPruning,null,true,0.35,3,false,false,null,null,true,true,null,true,null,5,null,confidenceFactor,false,null,true,weka.attributeSelection.GreedyStepwise,true,false,null,null,false,auc,RuleExtractorAggregator,false,false,null,null,null,null,true,8,true,true,6,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -E auc -X 3 -GreedyStepwise -C -PART -M 5 -C 0.35 -doNotMakeSplitPointActualValue -Aggregator RuleExtractorAggregator -J48 -M 6 -doNotMakeSplitPointActualValue -R -Q 1 -O -N 8 
gen_000_ind_002,null,null,true,null,0.15,null,null,false,null,null,false,false,null,true,null,2,false,confidenceFactor,null,null,true,null,false,true,2,false,false,null,RuleExtractorAggregator,null,null,2,null,null,null,null,null,null,null,null,null,null,null,-PART -M 2 -C 0.15 -SimpleCart -H -M 2 -C 1.0 -S 1 -N 2 -Aggregator RuleExtractorAggregator 
gen_000_ind_003,false,reducedErrorPruning,false,false,0.35,3,false,true,null,null,true,true,null,true,null,7,null,confidenceFactor,true,false,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,true,auc,MajorityVotingAggregator,false,true,6,4,null,null,true,6,true,false,6,true,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -I -E auc -X 3 -GreedyStepwise -B -C -PART -M 7 -C 0.35 -B -SimpleCart -M 6 -U -Aggregator MajorityVotingAggregator -JRip -N 4 -E -P -J48 -M 6 -R -Q 1 -S -N 6 
gen_000_ind_004,false,confidenceFactor,null,true,null,9,true,true,0,5,true,true,0.45,true,7,4,null,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,false,false,null,null,false,auc,CompetenceBasedAggregator,true,false,null,8,7,6,true,null,null,false,3,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -E auc -X 9 -PART -M 4 -R -Q 1 -N 6 -Aggregator CompetenceBasedAggregator -BestFirst -N 5 -D 0 -JRip -N 8 -E -O 7 -F 7 -J48 -A -M 3 -B -C 0.45 -O 
gen_000_ind_005,false,reducedErrorPruning,true,false,0.25,1,true,true,1,7,true,true,null,true,null,9,false,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,false,true,3,false,false,rmse,RuleExtractorAggregator,false,true,7,4,null,null,true,3,null,false,3,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -E rmse -X 1 -PART -M 9 -C 0.25 -SimpleCart -H -M 7 -C 1.0 -S 1 -N 3 -Aggregator RuleExtractorAggregator -BestFirst -N 7 -D 1 -JRip -N 4 -E -P -J48 -M 3 -B -R -Q 1 -S -N 3 
gen_000_ind_006,false,confidenceFactor,true,false,0.35,6,false,true,2,7,true,true,0.35,true,2,8,true,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,false,true,7,true,false,mae,CompetenceBasedAggregator,true,true,2,2,9,null,true,null,null,false,2,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -I -E mae -X 6 -PART -M 8 -C 0.35 -SimpleCart -M 2 -C 1.0 -S 1 -A -N 7 -Aggregator CompetenceBasedAggregator -BestFirst -N 7 -D 2 -JRip -N 2 -E -O 2 -F 9 -J48 -A -M 2 -C 0.35 -S 
gen_000_ind_007,true,confidenceFactor,false,true,null,4,true,true,null,null,true,true,0.35,true,4,8,null,reducedErrorPruning,false,true,true,weka.attributeSelection.GreedyStepwise,true,true,null,true,false,acc,CompetenceBasedAggregator,true,false,4,5,4,7,true,null,true,true,6,true,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -E acc -X 4 -GreedyStepwise -B -C -PART -M 8 -R -Q 1 -N 7 -doNotMakeSplitPointActualValue -SimpleCart -M 4 -U -Aggregator CompetenceBasedAggregator -JRip -N 5 -O 4 -F 4 -J48 -A -M 6 -doNotMakeSplitPointActualValue -B -C 0.35 -O 
gen_000_ind_008,false,unpruned,true,null,null,1,true,true,1,1,true,true,null,true,null,6,true,unpruned,false,false,false,weka.attributeSelection.BestFirst,true,true,3,true,true,rmse,CompetenceBasedAggregator,true,true,3,10,null,null,true,null,null,true,3,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -E rmse -X 1 -PART -M 6 -U -B -J -doNotMakeSplitPointActualValue -SimpleCart -M 3 -C 1.0 -S 1 -A -N 3 -Aggregator CompetenceBasedAggregator -BestFirst -N 1 -D 1 -JRip -N 10 -E -P -J48 -A -M 3 -doNotMakeSplitPointActualValue -B -U 
gen_000_ind_009,true,null,true,null,0.25,7,null,true,null,null,false,true,null,true,7,4,true,confidenceFactor,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,7,false,false,auc,MajorityVotingAggregator,null,null,4,6,10,null,null,null,true,null,null,true,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -I -E auc -X 7 -GreedyStepwise -B -C -PART -M 4 -C 0.25 -SimpleCart -H -M 4 -C 1.0 -S 1 -A -N 7 -Aggregator MajorityVotingAggregator -JRip -N 6 -O 7 -F 10 
