individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,true,confidenceFactor,null,true,0.15,7,true,true,null,null,true,true,0.35,true,null,2,null,confidenceFactor,false,false,true,weka.attributeSelection.GreedyStepwise,true,false,null,null,true,rmse,RuleExtractorAggregator,false,true,null,7,null,null,false,null,true,true,5,true,null,0.6860719494409334,-DecisionTable -E rmse -X 7 -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -B -PART -C 0.15 -M 2 -B -doNotMakeSplitPointActualValue -Aggregator RuleExtractorAggregator -JRip -N 7 -P -J48 -M 5 -B -C 0.35 -doNotMakeSplitPointActualValue -J 
gen_000_ind_000,true,confidenceFactor,null,true,0.15,7,true,true,null,null,true,true,0.35,true,null,2,null,confidenceFactor,false,false,true,weka.attributeSelection.GreedyStepwise,true,false,null,null,true,rmse,RuleExtractorAggregator,false,true,null,7,null,null,false,null,true,true,5,true,null,null,-DecisionTable -E rmse -X 7 -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -B -PART -C 0.15 -M 2 -B -doNotMakeSplitPointActualValue -Aggregator RuleExtractorAggregator -JRip -N 7 -P -J48 -M 5 -B -C 0.35 -doNotMakeSplitPointActualValue -J 
gen_000_ind_001,true,confidenceFactor,false,false,null,null,true,true,null,null,true,false,0.45,true,null,7,null,unpruned,null,false,true,null,false,true,null,true,false,null,RuleExtractorAggregator,false,true,7,5,null,null,true,null,null,true,4,null,null,null,-PART -U -M 7 -SimpleCart -M 7 -U -Aggregator RuleExtractorAggregator -JRip -N 5 -P -J48 -M 4 -B -C 0.45 -doNotMakeSplitPointActualValue -S 
gen_000_ind_002,true,unpruned,false,null,0.15,9,false,true,1,5,true,true,null,true,null,10,null,confidenceFactor,true,false,false,weka.attributeSelection.BestFirst,true,true,null,false,false,auc,RuleExtractorAggregator,false,true,7,4,null,null,true,null,null,true,10,null,null,null,-DecisionTable -E auc -X 9 -S weka.attributeSelection.BestFirst -I -PART -C 0.15 -M 10 -doNotMakeSplitPointActualValue -J -SimpleCart -H -M 7 -U -Aggregator RuleExtractorAggregator -BestFirst -N 5 -D 1 -JRip -N 4 -P -J48 -M 10 -U -doNotMakeSplitPointActualValue 
gen_000_ind_003,null,confidenceFactor,false,true,null,7,true,false,0,1,true,true,0.45,true,null,8,null,reducedErrorPruning,false,null,false,weka.attributeSelection.BestFirst,false,true,null,true,true,rmse,RuleExtractorAggregator,false,true,8,null,null,10,false,null,null,false,5,null,null,null,-DecisionTable -E rmse -X 7 -S weka.attributeSelection.BestFirst -PART -R -Q 1 -N 10 -M 8 -B -J -SimpleCart -M 8 -U -Aggregator RuleExtractorAggregator -BestFirst -N 1 -D 0 -J48 -M 5 -B -C 0.45 -J 
gen_000_ind_004,true,confidenceFactor,false,true,null,1,true,true,1,10,true,true,0.35,true,2,2,null,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,false,true,null,true,false,auc,RuleExtractorAggregator,false,true,4,6,3,8,false,null,null,true,6,null,null,null,-DecisionTable -E auc -X 1 -S weka.attributeSelection.BestFirst -PART -R -Q 1 -N 8 -M 2 -SimpleCart -M 4 -U -Aggregator RuleExtractorAggregator -BestFirst -N 10 -D 1 -JRip -N 6 -O 2 -F 3 -J48 -M 6 -B -C 0.35 -doNotMakeSplitPointActualValue -J 
gen_000_ind_005,false,confidenceFactor,true,false,0.35,4,false,true,null,null,true,true,0.25,true,9,10,true,confidenceFactor,false,true,false,weka.attributeSelection.GreedyStepwise,false,true,10,true,true,acc,RuleExtractorAggregator,true,true,5,4,7,null,false,null,false,false,8,true,null,null,-DecisionTable -E acc -X 4 -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -B -PART -C 0.35 -M 10 -B -J -SimpleCart -M 5 -C 1.0 -S 1 -N 10 -A -Aggregator RuleExtractorAggregator -JRip -N 4 -E -O 9 -F 7 -J48 -M 8 -C 0.25 -A -J -S 
gen_000_ind_006,true,confidenceFactor,true,true,null,null,true,true,null,null,true,false,0.25,false,4,null,true,null,null,true,null,null,null,true,7,true,null,null,MajorityVotingAggregator,true,true,2,2,3,null,true,null,null,true,4,null,null,null,-SimpleCart -M 2 -C 1.0 -S 1 -N 7 -A -Aggregator MajorityVotingAggregator -JRip -N 2 -O 4 -F 3 -J48 -M 4 -B -C 0.25 -doNotMakeSplitPointActualValue -A 
gen_000_ind_007,null,unpruned,true,null,null,4,true,false,null,null,true,true,null,true,null,4,true,unpruned,false,null,true,weka.attributeSelection.GreedyStepwise,false,true,9,false,false,auc,MajorityVotingAggregator,false,false,10,null,null,null,true,null,false,true,7,true,null,null,-DecisionTable -E auc -X 4 -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -B -PART -U -M 4 -SimpleCart -H -M 10 -C 1.0 -S 1 -N 9 -A -Aggregator MajorityVotingAggregator -J48 -M 7 -O -B -U -doNotMakeSplitPointActualValue 
gen_000_ind_008,true,confidenceFactor,true,true,0.45,4,true,true,2,2,true,true,0.05,true,null,7,false,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,true,true,5,true,true,auc,RuleExtractorAggregator,false,false,3,4,null,null,false,null,null,false,6,null,null,null,-DecisionTable -E auc -X 4 -S weka.attributeSelection.BestFirst -PART -C 0.45 -M 7 -B -doNotMakeSplitPointActualValue -SimpleCart -M 3 -C 1.0 -S 1 -N 5 -Aggregator RuleExtractorAggregator -BestFirst -N 2 -D 2 -JRip -N 4 -P -J48 -M 6 -O -B -C 0.05 -J 
