individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,false,confidenceFactor,true,true,null,5,false,true,null,null,true,true,0.05,true,10,4,true,reducedErrorPruning,true,true,false,weka.attributeSelection.GreedyStepwise,true,true,8,true,true,auc,RuleExtractorAggregator,true,false,3,6,7,4,false,null,true,false,6,true,null,0.9730468796584498,-DecisionTable -E auc -I -X 5 -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -B -PART -doNotMakeSplitPointActualValue -J -M 4 -R -Q 1 -B -N 4 -SimpleCart -C 1.0 -S 1 -N 8 -M 3 -A -Aggregator RuleExtractorAggregator -JRip -N 6 -O 10 -F 7 -E -J48 -J -M 6 -C 0.05 -A -O 
gen_000_ind_000,false,confidenceFactor,true,true,null,5,false,true,null,null,true,true,0.05,true,10,4,true,reducedErrorPruning,true,true,false,weka.attributeSelection.GreedyStepwise,true,true,8,true,true,auc,RuleExtractorAggregator,true,false,3,6,7,4,false,null,true,false,6,true,null,null,-DecisionTable -E auc -I -X 5 -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -B -PART -doNotMakeSplitPointActualValue -J -M 4 -R -Q 1 -B -N 4 -SimpleCart -C 1.0 -S 1 -N 8 -M 3 -A -Aggregator RuleExtractorAggregator -JRip -N 6 -O 10 -F 7 -E -J48 -J -M 6 -C 0.05 -A -O 
gen_000_ind_001,true,reducedErrorPruning,true,true,null,8,false,true,null,null,true,true,null,true,8,6,true,unpruned,true,true,false,weka.attributeSelection.GreedyStepwise,true,true,8,true,false,auc,MajorityVotingAggregator,false,false,6,6,3,null,true,6,false,false,4,false,null,null,-DecisionTable -E auc -I -X 8 -S weka.attributeSelection.GreedyStepwise -PART -doNotMakeSplitPointActualValue -J -M 6 -U -SimpleCart -C 1.0 -S 1 -N 8 -M 6 -A -Aggregator MajorityVotingAggregator -JRip -N 6 -O 8 -F 3 -J48 -M 4 -R -Q 1 -O -N 6 
gen_000_ind_002,true,reducedErrorPruning,false,false,0.35,4,false,true,1,10,true,true,null,true,3,3,null,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,null,false,false,rmse,MajorityVotingAggregator,false,false,2,10,5,null,false,4,null,true,10,null,null,null,-DecisionTable -E rmse -X 4 -S weka.attributeSelection.BestFirst -PART -M 3 -C 0.35 -SimpleCart -H -U -M 2 -Aggregator MajorityVotingAggregator -BestFirst -N 10 -D 1 -JRip -N 10 -O 3 -F 5 -J48 -J -M 10 -doNotMakeSplitPointActualValue -R -Q 1 -O -S -N 4 
gen_000_ind_003,null,null,true,null,0.25,6,null,false,null,null,false,true,null,true,null,4,false,confidenceFactor,false,null,true,weka.attributeSelection.GreedyStepwise,true,true,10,true,true,auc,RuleExtractorAggregator,null,null,10,null,null,null,null,null,true,null,null,false,null,null,-DecisionTable -E auc -X 6 -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -PART -doNotMakeSplitPointActualValue -M 4 -C 0.25 -B -SimpleCart -C 1.0 -S 1 -N 10 -M 10 -Aggregator RuleExtractorAggregator 
gen_000_ind_004,false,reducedErrorPruning,false,true,null,3,false,true,2,10,true,true,null,true,9,6,null,unpruned,false,true,true,weka.attributeSelection.BestFirst,false,true,null,true,true,auc,RuleExtractorAggregator,false,true,3,6,8,null,false,7,null,true,4,null,null,null,-DecisionTable -E auc -X 3 -S weka.attributeSelection.BestFirst -PART -M 6 -U -B -SimpleCart -U -M 3 -Aggregator RuleExtractorAggregator -BestFirst -N 10 -D 2 -JRip -N 6 -O 9 -F 8 -E -J48 -J -M 4 -doNotMakeSplitPointActualValue -R -Q 1 -N 7 
gen_000_ind_005,true,unpruned,false,null,null,7,true,true,1,8,true,true,null,true,null,4,null,reducedErrorPruning,false,false,false,weka.attributeSelection.BestFirst,true,true,null,false,false,auc,CompetenceBasedAggregator,false,false,10,3,null,7,true,null,null,true,10,null,null,null,-DecisionTable -E auc -X 7 -S weka.attributeSelection.BestFirst -PART -doNotMakeSplitPointActualValue -J -M 4 -R -Q 1 -N 7 -SimpleCart -H -U -M 10 -Aggregator CompetenceBasedAggregator -BestFirst -N 8 -D 1 -JRip -P -N 3 -J48 -M 10 -B -doNotMakeSplitPointActualValue -U -O 
gen_000_ind_006,true,unpruned,false,null,null,1,true,true,null,null,true,true,null,true,null,7,null,unpruned,true,false,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,true,acc,CompetenceBasedAggregator,false,true,6,5,null,null,true,null,true,false,5,false,null,null,-DecisionTable -E acc -I -X 1 -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -PART -M 7 -U -B -SimpleCart -U -M 6 -Aggregator CompetenceBasedAggregator -JRip -P -N 5 -J48 -M 5 -B -U 
gen_000_ind_007,false,unpruned,true,null,null,8,true,true,null,null,true,true,null,false,6,null,false,null,true,true,null,weka.attributeSelection.GreedyStepwise,null,true,5,true,null,acc,MajorityVotingAggregator,false,true,3,8,3,null,false,null,false,false,5,false,null,null,-DecisionTable -E acc -I -X 8 -S weka.attributeSelection.GreedyStepwise -SimpleCart -C 1.0 -S 1 -N 5 -M 3 -Aggregator MajorityVotingAggregator -JRip -N 8 -O 6 -F 3 -E -J48 -J -M 5 -B -U 
gen_000_ind_008,true,unpruned,true,null,0.35,1,false,true,0,7,true,true,null,true,10,2,true,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,true,true,4,false,false,mae,RuleExtractorAggregator,false,false,8,5,10,null,true,null,null,true,6,null,null,null,-DecisionTable -E mae -I -X 1 -S weka.attributeSelection.BestFirst -PART -doNotMakeSplitPointActualValue -M 2 -C 0.35 -SimpleCart -H -C 1.0 -S 1 -N 4 -M 8 -A -Aggregator RuleExtractorAggregator -BestFirst -N 7 -D 0 -JRip -N 5 -O 10 -F 10 -J48 -M 6 -doNotMakeSplitPointActualValue -U -O 
