individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,true,reducedErrorPruning,true,true,0.35,4,true,true,null,null,true,true,null,true,null,7,true,confidenceFactor,false,false,false,weka.attributeSelection.GreedyStepwise,false,true,2,true,false,mae,CompetenceBasedAggregator,true,true,4,6,null,null,true,3,true,true,2,false,null,1.0,-DecisionTable -E mae -X 4 -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -PART -C 0.35 -J -M 7 -SimpleCart -C 1.0 -S 1 -A -M 4 -N 2 -Aggregator CompetenceBasedAggregator -JRip -N 6 -P -J48 -A -R -Q 1 -B -M 2 -doNotMakeSplitPointActualValue -N 3 
gen_000_ind_000,true,reducedErrorPruning,true,true,0.35,4,true,true,null,null,true,true,null,true,null,7,true,confidenceFactor,false,false,false,weka.attributeSelection.GreedyStepwise,false,true,2,true,false,mae,CompetenceBasedAggregator,true,true,4,6,null,null,true,3,true,true,2,false,null,null,-DecisionTable -E mae -X 4 -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -PART -C 0.35 -J -M 7 -SimpleCart -C 1.0 -S 1 -A -M 4 -N 2 -Aggregator CompetenceBasedAggregator -JRip -N 6 -P -J48 -A -R -Q 1 -B -M 2 -doNotMakeSplitPointActualValue -N 3 
gen_000_ind_001,true,confidenceFactor,true,true,null,1,true,true,0,3,true,true,0.45,true,null,3,false,unpruned,true,false,false,weka.attributeSelection.BestFirst,false,true,7,true,true,auc,CompetenceBasedAggregator,true,false,8,4,null,null,false,null,null,false,6,null,null,null,-DecisionTable -E auc -I -X 1 -S weka.attributeSelection.BestFirst -PART -U -J -B -M 3 -SimpleCart -C 1.0 -S 1 -M 8 -N 7 -Aggregator CompetenceBasedAggregator -BestFirst -D 0 -N 3 -JRip -N 4 -P -J48 -A -C 0.45 -J -B -M 6 -O 
gen_000_ind_002,true,unpruned,false,null,0.05,null,true,true,null,null,true,false,null,true,7,10,null,confidenceFactor,null,true,true,null,false,true,null,true,false,null,CompetenceBasedAggregator,true,true,10,10,2,null,true,null,null,false,6,null,null,null,-PART -C 0.05 -M 10 -SimpleCart -U -M 10 -Aggregator CompetenceBasedAggregator -JRip -N 10 -O 7 -F 2 -J48 -A -U -B -M 6 
gen_000_ind_003,false,null,false,null,0.05,9,null,true,1,2,false,true,null,true,10,4,null,confidenceFactor,true,true,false,weka.attributeSelection.BestFirst,true,true,null,true,false,auc,CompetenceBasedAggregator,null,null,2,5,9,null,null,null,null,null,null,null,null,null,-DecisionTable -E auc -I -X 9 -S weka.attributeSelection.BestFirst -PART -C 0.05 -J -M 4 -doNotMakeSplitPointActualValue -SimpleCart -U -M 2 -Aggregator CompetenceBasedAggregator -BestFirst -D 1 -N 2 -JRip -E -N 5 -O 10 -F 9 
gen_000_ind_004,null,unpruned,true,null,null,3,true,false,1,5,true,true,null,true,null,7,false,reducedErrorPruning,true,null,true,weka.attributeSelection.BestFirst,false,true,3,true,false,auc,RuleExtractorAggregator,false,true,8,null,null,5,true,null,null,true,8,null,null,null,-DecisionTable -E auc -I -X 3 -S weka.attributeSelection.BestFirst -PART -R -Q 1 -N 5 -M 7 -SimpleCart -C 1.0 -S 1 -M 8 -N 3 -Aggregator RuleExtractorAggregator -BestFirst -D 1 -N 5 -J48 -U -B -M 8 -doNotMakeSplitPointActualValue 
gen_000_ind_005,false,null,true,null,null,2,null,true,0,7,false,true,null,true,9,2,false,reducedErrorPruning,true,true,false,weka.attributeSelection.BestFirst,true,true,7,true,true,rmse,MajorityVotingAggregator,null,null,5,2,2,5,null,null,null,null,null,null,null,null,-DecisionTable -E rmse -I -X 2 -S weka.attributeSelection.BestFirst -PART -R -Q 1 -J -N 5 -B -M 2 -doNotMakeSplitPointActualValue -SimpleCart -C 1.0 -S 1 -M 5 -N 7 -Aggregator MajorityVotingAggregator -BestFirst -D 0 -N 7 -JRip -E -N 2 -O 9 -F 2 
gen_000_ind_006,true,confidenceFactor,false,false,0.25,1,true,true,0,9,true,true,0.15,true,2,8,null,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,true,true,null,true,true,acc,RuleExtractorAggregator,false,true,2,9,2,null,true,null,null,true,10,null,null,null,-DecisionTable -E acc -I -X 1 -S weka.attributeSelection.BestFirst -PART -C 0.25 -B -M 8 -doNotMakeSplitPointActualValue -SimpleCart -U -M 2 -Aggregator RuleExtractorAggregator -BestFirst -D 0 -N 9 -JRip -N 9 -O 2 -F 2 -J48 -C 0.15 -B -M 10 -S -doNotMakeSplitPointActualValue 
gen_000_ind_007,true,confidenceFactor,true,false,null,2,true,true,1,5,true,true,0.15,true,null,2,true,unpruned,false,false,false,weka.attributeSelection.BestFirst,true,true,8,true,true,auc,MajorityVotingAggregator,true,true,6,4,null,null,true,null,null,false,3,null,null,null,-DecisionTable -E auc -X 2 -S weka.attributeSelection.BestFirst -PART -U -J -B -M 2 -doNotMakeSplitPointActualValue -SimpleCart -C 1.0 -S 1 -A -M 6 -N 8 -Aggregator MajorityVotingAggregator -BestFirst -D 1 -N 5 -JRip -N 4 -P -J48 -A -C 0.15 -B -M 3 -S 
gen_000_ind_008,true,reducedErrorPruning,null,true,null,10,true,true,null,null,true,true,null,false,5,null,null,null,true,true,null,weka.attributeSelection.GreedyStepwise,null,false,null,null,null,auc,RuleExtractorAggregator,true,false,null,8,7,null,false,10,false,true,6,false,null,null,-DecisionTable -E auc -I -X 10 -S weka.attributeSelection.GreedyStepwise -Aggregator RuleExtractorAggregator -JRip -N 8 -O 5 -F 7 -J48 -A -R -Q 1 -J -B -M 6 -doNotMakeSplitPointActualValue -O -N 10 
gen_000_ind_009,false,confidenceFactor,true,true,0.25,1,false,true,0,5,true,true,0.05,true,null,5,false,confidenceFactor,true,false,true,weka.attributeSelection.BestFirst,false,true,8,true,false,auc,RuleExtractorAggregator,false,true,9,6,null,null,true,null,null,false,5,null,null,null,-DecisionTable -E auc -I -X 1 -S weka.attributeSelection.BestFirst -PART -C 0.25 -M 5 -SimpleCart -C 1.0 -S 1 -M 9 -N 8 -Aggregator RuleExtractorAggregator -BestFirst -D 0 -N 5 -JRip -E -N 6 -P -J48 -C 0.05 -M 5 
gen_000_ind_010,true,confidenceFactor,true,true,null,1,false,true,1,6,true,true,0.35,true,9,5,true,unpruned,true,true,true,weka.attributeSelection.BestFirst,false,true,8,false,true,acc,CompetenceBasedAggregator,false,true,8,5,4,null,true,null,null,true,2,null,null,null,-DecisionTable -E acc -I -X 1 -S weka.attributeSelection.BestFirst -PART -U -B -M 5 -SimpleCart -H -C 1.0 -S 1 -A -M 8 -N 8 -Aggregator CompetenceBasedAggregator -BestFirst -D 1 -N 6 -JRip -N 5 -O 9 -F 4 -J48 -C 0.35 -M 2 -doNotMakeSplitPointActualValue 
gen_000_ind_011,false,reducedErrorPruning,null,true,null,8,false,true,0,6,true,true,null,true,null,2,null,unpruned,false,false,true,weka.attributeSelection.BestFirst,true,false,null,null,true,auc,RuleExtractorAggregator,true,true,null,6,null,null,false,10,null,false,8,null,null,null,-DecisionTable -E auc -X 8 -S weka.attributeSelection.BestFirst -PART -U -B -M 2 -doNotMakeSplitPointActualValue -Aggregator RuleExtractorAggregator -BestFirst -D 0 -N 6 -JRip -E -N 6 -P -J48 -A -R -Q 1 -J -M 8 -N 10 
gen_000_ind_012,null,unpruned,false,null,null,2,false,false,null,null,true,true,null,true,null,6,null,unpruned,false,null,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,false,auc,MajorityVotingAggregator,false,true,3,null,null,null,true,null,false,true,2,false,null,null,-DecisionTable -E auc -X 2 -S weka.attributeSelection.GreedyStepwise -PART -U -M 6 -SimpleCart -U -M 3 -Aggregator MajorityVotingAggregator -J48 -U -M 2 -doNotMakeSplitPointActualValue 
gen_000_ind_013,true,unpruned,true,null,null,10,true,true,null,null,true,true,null,false,null,null,false,null,false,false,null,weka.attributeSelection.GreedyStepwise,null,true,5,true,null,auc,MajorityVotingAggregator,false,false,9,2,null,null,true,null,false,false,8,false,null,null,-DecisionTable -E auc -X 10 -S weka.attributeSelection.GreedyStepwise -SimpleCart -C 1.0 -S 1 -M 9 -N 5 -Aggregator MajorityVotingAggregator -JRip -N 2 -P -J48 -U -B -M 8 -O 
gen_000_ind_014,true,unpruned,true,null,0.45,4,false,true,1,5,true,true,null,true,8,5,false,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,true,true,6,true,true,acc,RuleExtractorAggregator,false,true,3,2,9,null,false,null,null,false,4,null,null,null,-DecisionTable -E acc -I -X 4 -S weka.attributeSelection.BestFirst -PART -C 0.45 -B -M 5 -doNotMakeSplitPointActualValue -SimpleCart -C 1.0 -S 1 -M 3 -N 6 -Aggregator RuleExtractorAggregator -BestFirst -D 1 -N 5 -JRip -N 2 -O 8 -F 9 -J48 -U -J -M 4 
gen_000_ind_015,false,confidenceFactor,true,true,0.45,3,false,true,1,6,true,true,0.25,true,4,7,false,confidenceFactor,true,true,false,weka.attributeSelection.BestFirst,false,true,6,true,true,auc,MajorityVotingAggregator,true,true,9,3,3,null,false,null,null,false,9,null,null,null,-DecisionTable -E auc -I -X 3 -S weka.attributeSelection.BestFirst -PART -C 0.45 -J -B -M 7 -SimpleCart -C 1.0 -S 1 -M 9 -N 6 -Aggregator MajorityVotingAggregator -BestFirst -D 1 -N 6 -JRip -E -N 3 -O 4 -F 3 -J48 -A -C 0.25 -J -M 9 
gen_000_ind_016,true,confidenceFactor,false,true,null,5,true,true,null,null,true,true,0.35,false,null,null,null,null,false,false,null,weka.attributeSelection.GreedyStepwise,null,true,null,false,null,auc,CompetenceBasedAggregator,true,false,6,3,null,null,true,null,true,false,6,false,null,null,-DecisionTable -E auc -X 5 -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -SimpleCart -H -U -M 6 -Aggregator CompetenceBasedAggregator -JRip -N 3 -P -J48 -A -C 0.35 -B -M 6 -O 
gen_000_ind_017,true,reducedErrorPruning,true,false,null,7,false,true,2,7,true,true,null,true,6,6,false,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,false,true,4,true,false,rmse,RuleExtractorAggregator,true,true,2,7,8,3,true,9,null,false,8,null,null,null,-DecisionTable -E rmse -X 7 -S weka.attributeSelection.BestFirst -PART -R -Q 1 -N 3 -M 6 -SimpleCart -C 1.0 -S 1 -M 2 -N 4 -Aggregator RuleExtractorAggregator -BestFirst -D 2 -N 7 -JRip -N 7 -O 6 -F 8 -J48 -A -R -Q 1 -M 8 -S -N 9 
gen_000_ind_018,false,unpruned,true,null,null,9,true,true,2,4,true,true,null,false,5,null,true,null,false,true,null,weka.attributeSelection.BestFirst,null,true,4,false,null,auc,CompetenceBasedAggregator,false,false,7,4,3,null,false,null,null,true,10,null,null,null,-DecisionTable -E auc -X 9 -S weka.attributeSelection.BestFirst -SimpleCart -H -C 1.0 -S 1 -A -M 7 -N 4 -Aggregator CompetenceBasedAggregator -BestFirst -D 2 -N 4 -JRip -E -N 4 -O 5 -F 3 -J48 -U -J -B -M 10 -doNotMakeSplitPointActualValue -O 
