individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,true,unpruned,false,null,0.45,2,true,true,null,null,true,true,null,true,10,6,null,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,true,auc,RuleExtractorAggregator,false,true,5,10,4,null,false,null,false,false,6,true,null,0.975069090909091,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 2 -E auc -GreedyStepwise -B -PART -B -C 0.45 -M 6 -SimpleCart -M 5 -U -Aggregator RuleExtractorAggregator -JRip -F 4 -O 10 -N 10 -J48 -J -U -B -M 6 
gen_000_ind_000,true,unpruned,false,null,0.45,2,true,true,null,null,true,true,null,true,10,6,null,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,true,auc,RuleExtractorAggregator,false,true,5,10,4,null,false,null,false,false,6,true,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 2 -E auc -GreedyStepwise -B -PART -B -C 0.45 -M 6 -SimpleCart -M 5 -U -Aggregator RuleExtractorAggregator -JRip -F 4 -O 10 -N 10 -J48 -J -U -B -M 6 
gen_000_ind_001,null,confidenceFactor,false,false,0.15,4,false,false,2,1,true,true,0.25,true,null,3,null,confidenceFactor,true,null,true,weka.attributeSelection.BestFirst,false,true,null,true,false,mae,RuleExtractorAggregator,false,true,3,null,null,null,true,null,null,true,2,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 4 -I -E mae -PART -C 0.15 -M 3 -SimpleCart -M 3 -U -Aggregator RuleExtractorAggregator -BestFirst -D 2 -N 1 -J48 -C 0.25 -doNotMakeSplitPointActualValue -S -M 2 
gen_000_ind_002,true,confidenceFactor,true,false,null,5,true,true,null,null,true,true,0.15,true,9,2,false,unpruned,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,7,true,false,rmse,MajorityVotingAggregator,false,true,2,5,9,null,false,null,false,false,3,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 5 -I -E rmse -PART -U -M 2 -SimpleCart -M 2 -C 1.0 -S 1 -N 7 -Aggregator MajorityVotingAggregator -JRip -F 9 -O 9 -N 5 -J48 -J -C 0.15 -S -B -M 3 
gen_000_ind_003,false,reducedErrorPruning,true,true,null,9,false,true,null,null,true,true,null,true,null,2,false,unpruned,true,false,true,weka.attributeSelection.GreedyStepwise,true,true,10,false,false,acc,MajorityVotingAggregator,true,true,2,4,null,null,false,2,false,false,3,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 9 -I -E acc -PART -U -M 2 -doNotMakeSplitPointActualValue -SimpleCart -M 2 -C 1.0 -S 1 -H -N 10 -Aggregator MajorityVotingAggregator -JRip -P -E -N 4 -J48 -J -A -R -Q 1 -M 3 -N 2 
gen_000_ind_004,false,confidenceFactor,true,false,null,9,true,true,null,null,true,true,0.25,true,7,10,false,reducedErrorPruning,false,true,false,weka.attributeSelection.GreedyStepwise,false,true,7,false,false,acc,RuleExtractorAggregator,false,true,2,7,5,7,true,null,true,true,7,true,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 9 -E acc -GreedyStepwise -C -B -PART -J -R -Q 1 -M 10 -N 7 -SimpleCart -M 2 -C 1.0 -S 1 -H -N 7 -Aggregator RuleExtractorAggregator -JRip -E -F 5 -O 7 -N 7 -J48 -C 0.25 -doNotMakeSplitPointActualValue -S -B -M 7 
gen_000_ind_005,true,unpruned,true,null,null,null,false,true,null,null,true,false,null,true,null,2,true,unpruned,null,false,false,null,false,true,6,true,false,null,RuleExtractorAggregator,true,true,10,2,null,null,true,null,null,true,10,null,null,null,-PART -J -U -M 2 -SimpleCart -M 10 -C 1.0 -S 1 -N 6 -A -Aggregator RuleExtractorAggregator -JRip -P -N 2 -J48 -A -U -doNotMakeSplitPointActualValue -M 10 
gen_000_ind_006,true,unpruned,false,null,0.45,null,true,true,null,null,true,false,null,true,2,3,null,confidenceFactor,null,true,false,null,false,true,null,false,false,null,MajorityVotingAggregator,false,true,2,2,9,null,true,null,null,false,5,null,null,null,-PART -J -C 0.45 -M 3 -SimpleCart -M 2 -U -H -Aggregator MajorityVotingAggregator -JRip -F 9 -O 2 -N 2 -J48 -U -B -M 5 
gen_000_ind_007,true,unpruned,true,null,null,3,false,true,null,null,true,true,null,true,7,6,true,unpruned,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,4,true,false,mae,MajorityVotingAggregator,true,false,6,9,2,null,true,null,false,false,3,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 3 -I -E mae -PART -U -M 6 -SimpleCart -M 6 -C 1.0 -S 1 -N 4 -A -Aggregator MajorityVotingAggregator -JRip -F 2 -O 7 -N 9 -J48 -A -U -O -M 3 
gen_000_ind_008,true,null,false,null,0.45,5,null,true,null,null,false,true,null,true,7,5,null,confidenceFactor,false,true,false,weka.attributeSelection.GreedyStepwise,false,true,null,false,false,auc,CompetenceBasedAggregator,null,null,6,2,10,null,null,null,false,null,null,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 5 -E auc -PART -J -C 0.45 -M 5 -SimpleCart -M 6 -U -H -Aggregator CompetenceBasedAggregator -JRip -F 10 -O 7 -N 2 
