individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,true,reducedErrorPruning,true,true,0.25,4,false,true,2,1,true,true,null,true,10,7,false,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,3,true,false,auc,MajorityVotingAggregator,true,true,4,9,2,null,false,2,null,false,2,null,null,0.9989784959487306,-DecisionTable -S weka.attributeSelection.BestFirst -X 4 -E auc -PART -M 7 -C 0.25 -SimpleCart -M 4 -C 1.0 -S 1 -N 3 -Aggregator MajorityVotingAggregator -BestFirst -D 2 -N 1 -JRip -F 2 -N 9 -O 10 -J48 -J -M 2 -A -R -Q 1 -N 2 
gen_000_ind_000,true,reducedErrorPruning,true,true,0.25,4,false,true,2,1,true,true,null,true,10,7,false,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,3,true,false,auc,MajorityVotingAggregator,true,true,4,9,2,null,false,2,null,false,2,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 4 -E auc -PART -M 7 -C 0.25 -SimpleCart -M 4 -C 1.0 -S 1 -N 3 -Aggregator MajorityVotingAggregator -BestFirst -D 2 -N 1 -JRip -F 2 -N 9 -O 10 -J48 -J -M 2 -A -R -Q 1 -N 2 
gen_000_ind_001,false,confidenceFactor,false,false,0.45,null,false,true,null,null,true,false,0.25,true,8,10,null,confidenceFactor,null,true,true,null,false,true,null,true,false,null,CompetenceBasedAggregator,true,true,8,6,8,null,true,null,null,true,8,null,null,null,-PART -M 10 -C 0.45 -SimpleCart -M 8 -U -Aggregator CompetenceBasedAggregator -JRip -F 8 -N 6 -E -O 8 -J48 -M 8 -A -doNotMakeSplitPointActualValue -C 0.25 -S 
gen_000_ind_002,true,confidenceFactor,false,true,null,4,false,true,null,null,true,true,0.05,true,1,6,null,reducedErrorPruning,false,true,false,weka.attributeSelection.GreedyStepwise,true,true,null,true,false,auc,CompetenceBasedAggregator,false,false,3,2,10,5,true,null,true,false,5,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 4 -E auc -GreedyStepwise -C -PART -M 6 -R -Q 1 -J -N 5 -doNotMakeSplitPointActualValue -SimpleCart -M 3 -U -Aggregator CompetenceBasedAggregator -JRip -F 10 -N 2 -O 1 -J48 -M 5 -C 0.05 -O 
gen_000_ind_003,true,unpruned,false,null,0.45,9,true,true,0,4,true,true,null,true,null,2,null,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,false,true,null,true,false,acc,CompetenceBasedAggregator,true,false,3,6,null,null,false,null,null,false,2,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 9 -E acc -PART -M 2 -C 0.45 -SimpleCart -M 3 -U -Aggregator CompetenceBasedAggregator -BestFirst -D 0 -N 4 -JRip -P -N 6 -J48 -B -J -M 2 -A -U -O 
gen_000_ind_004,false,confidenceFactor,true,false,0.45,7,false,true,0,5,true,true,0.35,true,1,2,true,confidenceFactor,true,true,false,weka.attributeSelection.BestFirst,true,true,10,false,false,rmse,MajorityVotingAggregator,true,false,6,8,3,null,true,null,null,false,6,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 7 -E rmse -I -PART -M 2 -C 0.45 -J -doNotMakeSplitPointActualValue -SimpleCart -H -M 6 -C 1.0 -S 1 -A -N 10 -Aggregator MajorityVotingAggregator -BestFirst -D 0 -N 5 -JRip -F 3 -N 8 -E -O 1 -J48 -M 6 -A -C 0.35 -S -O 
gen_000_ind_005,false,confidenceFactor,true,false,0.35,1,true,true,null,null,true,true,0.15,true,10,5,false,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,true,true,2,false,false,mae,RuleExtractorAggregator,true,false,9,3,5,null,false,null,true,false,6,true,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 1 -E mae -GreedyStepwise -B -C -PART -M 5 -C 0.35 -doNotMakeSplitPointActualValue -SimpleCart -H -M 9 -C 1.0 -S 1 -N 2 -Aggregator RuleExtractorAggregator -JRip -F 5 -N 3 -E -O 10 -J48 -B -J -M 6 -A -C 0.15 -S -O 
gen_000_ind_006,true,confidenceFactor,true,true,0.35,null,false,true,null,null,true,false,0.25,true,7,4,false,confidenceFactor,null,true,false,null,false,true,6,false,false,null,MajorityVotingAggregator,true,true,3,6,8,null,false,null,null,false,2,null,null,null,-PART -M 4 -C 0.35 -J -SimpleCart -H -M 3 -C 1.0 -S 1 -N 6 -Aggregator MajorityVotingAggregator -JRip -F 8 -N 6 -O 7 -J48 -J -M 2 -A -C 0.25 
gen_000_ind_007,true,unpruned,true,null,null,null,false,true,null,null,true,false,null,true,null,7,false,reducedErrorPruning,null,false,false,null,true,true,3,false,false,null,CompetenceBasedAggregator,false,true,2,8,null,6,true,null,null,true,2,null,null,null,-PART -M 7 -R -Q 1 -J -N 6 -doNotMakeSplitPointActualValue -SimpleCart -H -M 2 -C 1.0 -S 1 -N 3 -Aggregator CompetenceBasedAggregator -JRip -P -N 8 -J48 -M 2 -doNotMakeSplitPointActualValue -U 
gen_000_ind_008,false,confidenceFactor,true,false,null,4,false,true,1,2,true,true,0.45,true,null,10,true,reducedErrorPruning,false,false,false,weka.attributeSelection.BestFirst,false,true,6,true,false,auc,RuleExtractorAggregator,true,false,2,2,null,10,false,null,null,false,2,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 4 -E auc -PART -M 10 -R -Q 1 -J -N 10 -SimpleCart -M 2 -C 1.0 -S 1 -A -N 6 -Aggregator RuleExtractorAggregator -BestFirst -D 1 -N 2 -JRip -P -N 2 -E -J48 -J -M 2 -A -C 0.45 -S -O 
gen_000_ind_009,false,confidenceFactor,true,true,0.25,8,true,true,2,8,true,true,0.15,true,7,3,false,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,7,false,true,auc,CompetenceBasedAggregator,false,false,6,4,9,null,false,null,null,false,2,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 8 -E auc -PART -M 3 -C 0.25 -B -SimpleCart -H -M 6 -C 1.0 -S 1 -N 7 -Aggregator CompetenceBasedAggregator -BestFirst -D 2 -N 8 -JRip -F 9 -N 4 -E -O 7 -J48 -B -J -M 2 -C 0.15 -O 
gen_000_ind_010,null,unpruned,true,null,null,10,true,false,2,3,true,true,null,false,null,null,true,null,false,null,null,weka.attributeSelection.BestFirst,null,true,6,false,null,auc,MajorityVotingAggregator,false,true,8,null,null,null,false,null,null,false,3,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 10 -E auc -SimpleCart -H -M 8 -C 1.0 -S 1 -A -N 6 -Aggregator MajorityVotingAggregator -BestFirst -D 2 -N 3 -J48 -B -J -M 3 -U 
gen_000_ind_011,false,confidenceFactor,true,true,null,3,false,true,null,null,true,true,0.35,true,6,4,false,reducedErrorPruning,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,4,true,true,acc,MajorityVotingAggregator,true,false,9,5,10,3,false,null,false,false,2,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 3 -E acc -PART -M 4 -R -Q 1 -B -N 3 -SimpleCart -M 9 -C 1.0 -S 1 -N 4 -Aggregator MajorityVotingAggregator -JRip -F 10 -N 5 -E -O 6 -J48 -J -M 2 -A -C 0.35 -O 
gen_000_ind_012,false,confidenceFactor,true,false,null,8,true,true,null,null,true,true,0.45,false,3,null,false,null,true,true,null,weka.attributeSelection.GreedyStepwise,null,true,6,false,null,auc,CompetenceBasedAggregator,true,false,10,6,2,null,false,null,false,false,9,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 8 -E auc -I -SimpleCart -H -M 10 -C 1.0 -S 1 -N 6 -Aggregator CompetenceBasedAggregator -JRip -F 2 -N 6 -E -O 3 -J48 -B -J -M 9 -A -C 0.45 -S -O 
gen_000_ind_013,false,confidenceFactor,true,false,0.25,1,false,true,1,5,true,true,0.45,true,10,2,false,confidenceFactor,false,true,false,weka.attributeSelection.BestFirst,false,true,2,false,true,mae,RuleExtractorAggregator,true,true,6,2,3,null,true,null,null,false,6,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 1 -E mae -PART -M 2 -C 0.25 -B -J -SimpleCart -H -M 6 -C 1.0 -S 1 -N 2 -Aggregator RuleExtractorAggregator -BestFirst -D 1 -N 5 -JRip -F 3 -N 2 -E -O 10 -J48 -M 6 -A -C 0.45 -S 
gen_000_ind_014,true,reducedErrorPruning,null,false,0.15,null,true,true,null,null,true,false,null,true,2,2,null,confidenceFactor,null,true,true,null,false,false,null,null,true,null,RuleExtractorAggregator,false,true,null,10,5,null,false,3,null,false,4,null,null,null,-PART -M 2 -C 0.15 -B -Aggregator RuleExtractorAggregator -JRip -F 5 -N 10 -O 2 -J48 -B -J -M 4 -R -Q 1 -S -N 3 
gen_000_ind_015,true,confidenceFactor,null,false,0.15,null,true,true,null,null,true,false,0.05,true,4,5,null,confidenceFactor,null,true,false,null,false,false,null,null,false,null,MajorityVotingAggregator,true,false,null,8,5,null,true,null,null,false,3,null,null,null,-PART -M 5 -C 0.15 -J -Aggregator MajorityVotingAggregator -JRip -F 5 -N 8 -O 4 -J48 -B -M 3 -A -C 0.05 -S -O 
gen_000_ind_016,true,confidenceFactor,true,false,null,5,false,true,null,null,true,true,0.05,true,2,10,true,unpruned,false,true,true,weka.attributeSelection.GreedyStepwise,true,true,6,true,true,mae,CompetenceBasedAggregator,false,false,9,4,3,null,true,null,true,true,8,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 5 -E mae -GreedyStepwise -C -PART -M 10 -U -B -doNotMakeSplitPointActualValue -SimpleCart -M 9 -C 1.0 -S 1 -A -N 6 -Aggregator CompetenceBasedAggregator -JRip -F 3 -N 4 -O 2 -J48 -M 8 -doNotMakeSplitPointActualValue -C 0.05 -S -O 
gen_000_ind_017,true,confidenceFactor,false,false,0.45,3,true,true,null,null,true,true,0.45,true,2,8,null,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,true,true,null,false,false,acc,CompetenceBasedAggregator,false,false,3,9,4,null,true,null,true,false,7,true,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 3 -E acc -GreedyStepwise -B -C -PART -M 8 -C 0.45 -doNotMakeSplitPointActualValue -SimpleCart -H -M 3 -U -Aggregator CompetenceBasedAggregator -JRip -F 4 -N 9 -O 2 -J48 -B -M 7 -C 0.45 -S -O 
gen_000_ind_018,true,confidenceFactor,false,false,null,5,false,true,1,8,true,true,0.25,true,null,5,null,reducedErrorPruning,false,false,true,weka.attributeSelection.BestFirst,false,true,null,false,true,acc,MajorityVotingAggregator,true,true,6,2,null,4,false,null,null,true,7,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 5 -E acc -PART -M 5 -R -Q 1 -B -N 4 -SimpleCart -H -M 6 -U -Aggregator MajorityVotingAggregator -BestFirst -D 1 -N 8 -JRip -P -N 2 -J48 -J -M 7 -A -doNotMakeSplitPointActualValue -C 0.25 -S 
