individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,false,reducedErrorPruning,true,true,null,7,false,true,1,2,true,true,null,true,4,9,false,unpruned,false,true,false,weka.attributeSelection.BestFirst,true,true,9,true,true,mae,MajorityVotingAggregator,false,false,5,7,9,null,true,6,null,false,6,null,null,0.7677946875886189,-DecisionTable -X 7 -E mae -S weka.attributeSelection.BestFirst -PART -doNotMakeSplitPointActualValue -U -M 9 -J -B -SimpleCart -M 5 -C 1.0 -S 1 -N 9 -Aggregator MajorityVotingAggregator -BestFirst -D 1 -N 2 -JRip -E -N 7 -F 9 -O 4 -J48 -R -Q 1 -M 6 -N 6 -O 
gen_000_ind_000,false,reducedErrorPruning,true,true,null,7,false,true,1,2,true,true,null,true,4,9,false,unpruned,false,true,false,weka.attributeSelection.BestFirst,true,true,9,true,true,mae,MajorityVotingAggregator,false,false,5,7,9,null,true,6,null,false,6,null,null,null,-DecisionTable -X 7 -E mae -S weka.attributeSelection.BestFirst -PART -doNotMakeSplitPointActualValue -U -M 9 -J -B -SimpleCart -M 5 -C 1.0 -S 1 -N 9 -Aggregator MajorityVotingAggregator -BestFirst -D 1 -N 2 -JRip -E -N 7 -F 9 -O 4 -J48 -R -Q 1 -M 6 -N 6 -O 
gen_000_ind_001,true,reducedErrorPruning,false,true,0.45,null,true,true,null,null,true,false,null,true,4,6,null,confidenceFactor,null,true,false,null,true,true,null,false,false,null,MajorityVotingAggregator,false,false,6,3,3,null,false,10,null,false,7,null,null,null,-PART -doNotMakeSplitPointActualValue -C 0.45 -M 6 -J -SimpleCart -M 6 -U -H -Aggregator MajorityVotingAggregator -JRip -N 3 -F 3 -O 4 -J48 -B -R -Q 1 -M 7 -N 10 -J -O 
gen_000_ind_002,true,unpruned,false,null,null,7,true,true,2,10,true,true,null,true,2,9,null,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,true,true,null,true,false,mae,RuleExtractorAggregator,false,true,6,7,3,3,true,null,null,false,4,null,null,null,-DecisionTable -X 7 -E mae -S weka.attributeSelection.BestFirst -PART -doNotMakeSplitPointActualValue -R -Q 1 -M 9 -N 3 -SimpleCart -M 6 -U -Aggregator RuleExtractorAggregator -BestFirst -D 2 -N 10 -JRip -N 7 -F 3 -O 2 -J48 -B -U -M 4 
gen_000_ind_003,false,reducedErrorPruning,true,true,0.05,null,false,true,null,null,true,false,null,true,null,3,false,confidenceFactor,null,false,true,null,false,true,5,true,false,null,MajorityVotingAggregator,false,false,9,10,null,null,false,10,null,true,9,null,null,null,-PART -C 0.05 -M 3 -SimpleCart -M 9 -C 1.0 -S 1 -N 5 -Aggregator MajorityVotingAggregator -JRip -P -E -N 10 -J48 -doNotMakeSplitPointActualValue -R -Q 1 -M 9 -N 10 -J -O 
gen_000_ind_004,true,unpruned,null,null,0.05,null,false,true,null,null,true,false,null,true,7,3,null,confidenceFactor,null,true,true,null,false,false,null,null,true,null,MajorityVotingAggregator,false,true,null,7,8,null,false,null,null,false,10,null,null,null,-PART -C 0.05 -M 3 -B -Aggregator MajorityVotingAggregator -JRip -N 7 -F 8 -O 7 -J48 -U -M 10 -J 
gen_000_ind_005,false,confidenceFactor,true,false,null,9,false,true,2,8,true,true,0.45,true,2,2,true,reducedErrorPruning,true,true,false,weka.attributeSelection.BestFirst,true,true,7,true,false,mae,RuleExtractorAggregator,false,false,5,2,4,6,false,null,null,false,4,null,null,null,-DecisionTable -X 9 -I -E mae -S weka.attributeSelection.BestFirst -PART -doNotMakeSplitPointActualValue -R -Q 1 -M 2 -N 6 -J -SimpleCart -M 5 -C 1.0 -S 1 -N 7 -A -Aggregator RuleExtractorAggregator -BestFirst -D 2 -N 8 -JRip -E -N 2 -F 4 -O 2 -J48 -C 0.45 -M 4 -J -O -S 
gen_000_ind_006,true,confidenceFactor,false,true,null,null,true,true,null,null,true,false,0.25,true,null,3,null,reducedErrorPruning,null,false,false,null,true,true,null,true,true,null,RuleExtractorAggregator,false,true,2,2,null,4,true,null,null,false,4,null,null,null,-PART -doNotMakeSplitPointActualValue -R -Q 1 -M 3 -N 4 -J -B -SimpleCart -M 2 -U -Aggregator RuleExtractorAggregator -JRip -P -N 2 -J48 -B -C 0.25 -M 4 
gen_000_ind_007,true,confidenceFactor,false,true,0.35,3,false,true,null,null,true,true,0.35,true,null,2,null,confidenceFactor,false,false,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,true,rmse,RuleExtractorAggregator,false,true,3,6,null,null,true,null,false,false,6,true,null,null,-DecisionTable -X 3 -E rmse -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -B -PART -C 0.35 -M 2 -B -SimpleCart -M 3 -U -Aggregator RuleExtractorAggregator -JRip -P -N 6 -J48 -C 0.35 -M 6 
gen_000_ind_008,true,confidenceFactor,null,true,null,1,true,true,null,null,true,true,0.35,true,7,6,null,unpruned,true,true,true,weka.attributeSelection.GreedyStepwise,false,false,null,null,true,acc,MajorityVotingAggregator,false,false,null,2,3,null,true,null,false,false,2,false,null,null,-DecisionTable -X 1 -I -E acc -S weka.attributeSelection.GreedyStepwise -PART -U -M 6 -B -Aggregator MajorityVotingAggregator -JRip -N 2 -F 3 -O 7 -J48 -B -C 0.35 -M 2 -O 
gen_000_ind_009,true,unpruned,false,null,null,8,true,true,null,null,true,true,null,true,null,4,null,reducedErrorPruning,false,false,false,weka.attributeSelection.GreedyStepwise,false,true,null,false,false,acc,RuleExtractorAggregator,false,true,2,6,null,3,true,null,true,false,4,true,null,null,-DecisionTable -X 8 -E acc -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -B -C -PART -R -Q 1 -M 4 -N 3 -J -SimpleCart -M 2 -U -H -Aggregator RuleExtractorAggregator -JRip -P -N 6 -J48 -B -U -M 4 
gen_000_ind_010,false,confidenceFactor,true,true,null,null,false,true,null,null,true,false,0.35,true,8,9,false,unpruned,null,true,false,null,true,true,8,false,false,null,MajorityVotingAggregator,true,true,5,6,10,null,false,null,null,true,8,null,null,null,-PART -doNotMakeSplitPointActualValue -U -M 9 -J -SimpleCart -M 5 -C 1.0 -S 1 -H -N 8 -Aggregator MajorityVotingAggregator -JRip -E -N 6 -F 10 -O 8 -J48 -doNotMakeSplitPointActualValue -C 0.35 -A -M 8 -J 
gen_000_ind_011,null,unpruned,false,null,null,8,false,false,0,5,true,true,null,true,null,4,null,unpruned,true,null,true,weka.attributeSelection.BestFirst,false,true,null,false,false,auc,CompetenceBasedAggregator,false,true,3,null,null,null,false,null,null,false,9,null,null,null,-DecisionTable -X 8 -I -E auc -S weka.attributeSelection.BestFirst -PART -U -M 4 -SimpleCart -M 3 -U -H -Aggregator CompetenceBasedAggregator -BestFirst -D 0 -N 5 -J48 -U -M 9 -J 
gen_000_ind_012,false,reducedErrorPruning,false,false,0.15,8,true,true,null,null,true,true,null,true,9,4,null,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,false,rmse,MajorityVotingAggregator,false,true,2,7,5,null,true,10,true,true,2,true,null,null,-DecisionTable -X 8 -E rmse -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -B -C -PART -C 0.15 -M 4 -SimpleCart -M 2 -U -Aggregator MajorityVotingAggregator -JRip -E -N 7 -F 5 -O 9 -J48 -B -doNotMakeSplitPointActualValue -R -Q 1 -M 2 -N 10 -S 
gen_000_ind_013,true,confidenceFactor,false,false,null,1,false,true,null,null,true,true,0.45,true,2,3,null,reducedErrorPruning,false,true,false,weka.attributeSelection.GreedyStepwise,true,true,null,true,false,auc,MajorityVotingAggregator,false,true,9,5,3,3,true,null,true,true,4,false,null,null,-DecisionTable -X 1 -E auc -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -PART -doNotMakeSplitPointActualValue -R -Q 1 -M 3 -N 3 -J -SimpleCart -M 9 -U -Aggregator MajorityVotingAggregator -JRip -N 5 -F 3 -O 2 -J48 -doNotMakeSplitPointActualValue -C 0.45 -M 4 -S 
gen_000_ind_014,true,confidenceFactor,true,false,0.05,9,false,true,0,5,true,true,0.35,true,null,4,false,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,false,true,3,true,false,auc,CompetenceBasedAggregator,false,true,7,5,null,null,false,null,null,false,10,null,null,null,-DecisionTable -X 9 -E auc -S weka.attributeSelection.BestFirst -PART -C 0.05 -M 4 -SimpleCart -M 7 -C 1.0 -S 1 -N 3 -Aggregator CompetenceBasedAggregator -BestFirst -D 0 -N 5 -JRip -P -N 5 -J48 -C 0.35 -M 10 -J -S 
gen_000_ind_015,true,unpruned,false,null,0.45,9,false,true,2,2,true,true,null,true,null,6,null,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,true,true,null,true,false,mae,RuleExtractorAggregator,true,true,3,2,null,null,false,null,null,true,8,null,null,null,-DecisionTable -X 9 -E mae -S weka.attributeSelection.BestFirst -PART -doNotMakeSplitPointActualValue -C 0.45 -M 6 -SimpleCart -M 3 -U -Aggregator RuleExtractorAggregator -BestFirst -D 2 -N 2 -JRip -P -N 2 -J48 -doNotMakeSplitPointActualValue -U -A -M 8 -J 
gen_000_ind_016,false,confidenceFactor,true,true,null,7,true,true,null,null,true,true,0.25,true,10,8,true,unpruned,false,true,false,weka.attributeSelection.GreedyStepwise,true,true,5,true,true,rmse,CompetenceBasedAggregator,false,true,8,2,10,null,false,null,false,false,2,false,null,null,-DecisionTable -X 7 -E rmse -S weka.attributeSelection.GreedyStepwise -PART -doNotMakeSplitPointActualValue -U -M 8 -J -B -SimpleCart -M 8 -C 1.0 -S 1 -N 5 -A -Aggregator CompetenceBasedAggregator -JRip -E -N 2 -F 10 -O 10 -J48 -B -C 0.25 -M 2 -J 
gen_000_ind_017,false,reducedErrorPruning,false,true,0.15,10,false,true,null,null,true,true,null,true,null,2,null,confidenceFactor,false,false,true,weka.attributeSelection.GreedyStepwise,true,true,null,true,false,auc,RuleExtractorAggregator,false,true,10,2,null,null,true,3,true,false,5,true,null,null,-DecisionTable -X 10 -E auc -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -B -C -PART -doNotMakeSplitPointActualValue -C 0.15 -M 2 -SimpleCart -M 10 -U -Aggregator RuleExtractorAggregator -JRip -P -E -N 2 -J48 -R -Q 1 -M 5 -N 3 
gen_000_ind_018,null,confidenceFactor,false,true,null,1,false,false,null,null,true,true,0.45,true,null,4,null,unpruned,true,null,false,weka.attributeSelection.GreedyStepwise,true,true,null,true,false,acc,RuleExtractorAggregator,true,false,5,null,null,null,true,null,false,true,9,true,null,null,-DecisionTable -X 1 -I -E acc -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -B -PART -doNotMakeSplitPointActualValue -U -M 4 -J -SimpleCart -M 5 -U -Aggregator RuleExtractorAggregator -J48 -doNotMakeSplitPointActualValue -C 0.45 -A -M 9 -O 
