individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,true,reducedErrorPruning,true,true,null,5,false,true,null,null,true,true,null,false,2,null,false,null,false,true,null,weka.attributeSelection.GreedyStepwise,null,true,9,true,null,auc,MajorityVotingAggregator,false,false,10,2,5,null,true,2,false,true,8,false,null,0.8466467135628262,-DecisionTable -E auc -X 5 -S weka.attributeSelection.GreedyStepwise -SimpleCart -M 10 -C 1.0 -S 1 -N 9 -Aggregator MajorityVotingAggregator -JRip -N 2 -O 2 -F 5 -J48 -M 8 -O -doNotMakeSplitPointActualValue -R -Q 1 -N 2 
gen_000_ind_000,true,reducedErrorPruning,true,true,null,5,false,true,null,null,true,true,null,false,2,null,false,null,false,true,null,weka.attributeSelection.GreedyStepwise,null,true,9,true,null,auc,MajorityVotingAggregator,false,false,10,2,5,null,true,2,false,true,8,false,null,null,-DecisionTable -E auc -X 5 -S weka.attributeSelection.GreedyStepwise -SimpleCart -M 10 -C 1.0 -S 1 -N 9 -Aggregator MajorityVotingAggregator -JRip -N 2 -O 2 -F 5 -J48 -M 8 -O -doNotMakeSplitPointActualValue -R -Q 1 -N 2 
gen_000_ind_001,false,confidenceFactor,true,true,null,1,true,true,0,3,true,true,0.15,true,null,8,false,reducedErrorPruning,true,false,true,weka.attributeSelection.BestFirst,true,true,7,true,false,acc,CompetenceBasedAggregator,false,true,10,2,null,8,false,null,null,false,10,null,null,null,-DecisionTable -E acc -X 1 -S weka.attributeSelection.BestFirst -I -PART -R -Q 1 -doNotMakeSplitPointActualValue -M 8 -N 8 -SimpleCart -M 10 -C 1.0 -S 1 -N 7 -Aggregator CompetenceBasedAggregator -BestFirst -D 0 -N 3 -JRip -N 2 -P -E -J48 -B -J -M 10 -C 0.15 
gen_000_ind_002,true,confidenceFactor,true,true,null,2,false,true,1,10,true,true,0.15,true,null,7,false,unpruned,false,false,false,weka.attributeSelection.BestFirst,true,true,2,false,false,auc,RuleExtractorAggregator,false,true,2,7,null,null,false,null,null,false,8,null,null,null,-DecisionTable -E auc -X 2 -S weka.attributeSelection.BestFirst -PART -J -U -doNotMakeSplitPointActualValue -M 7 -SimpleCart -H -M 2 -C 1.0 -S 1 -N 2 -Aggregator RuleExtractorAggregator -BestFirst -D 1 -N 10 -JRip -N 7 -P -J48 -J -M 8 -C 0.15 
gen_000_ind_003,true,reducedErrorPruning,false,true,0.35,null,true,true,null,null,true,false,null,true,6,3,null,confidenceFactor,null,true,false,null,true,true,null,false,true,null,MajorityVotingAggregator,true,true,10,3,8,null,true,2,null,true,5,null,null,null,-PART -J -C 0.35 -doNotMakeSplitPointActualValue -M 3 -B -SimpleCart -H -M 10 -U -Aggregator MajorityVotingAggregator -JRip -N 3 -O 6 -F 8 -J48 -B -M 5 -doNotMakeSplitPointActualValue -R -Q 1 -A -N 2 
gen_000_ind_004,null,confidenceFactor,null,false,null,8,false,false,1,5,true,true,0.35,true,null,9,null,reducedErrorPruning,false,null,false,weka.attributeSelection.BestFirst,false,false,null,null,false,acc,CompetenceBasedAggregator,false,true,null,null,null,10,false,null,null,true,10,null,null,null,-DecisionTable -E acc -X 8 -S weka.attributeSelection.BestFirst -PART -J -R -Q 1 -M 9 -N 10 -Aggregator CompetenceBasedAggregator -BestFirst -D 1 -N 5 -J48 -J -M 10 -doNotMakeSplitPointActualValue -C 0.35 -S 
gen_000_ind_005,false,confidenceFactor,true,true,null,10,false,true,null,null,true,true,0.25,false,8,null,true,null,false,true,null,weka.attributeSelection.GreedyStepwise,null,true,7,true,null,auc,CompetenceBasedAggregator,false,true,6,7,3,null,false,null,true,false,4,false,null,null,-DecisionTable -E auc -X 10 -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -SimpleCart -M 6 -C 1.0 -S 1 -A -N 7 -Aggregator CompetenceBasedAggregator -JRip -N 7 -O 8 -E -F 3 -J48 -J -M 4 -C 0.25 
gen_000_ind_006,null,confidenceFactor,true,false,null,1,false,false,0,4,true,true,0.05,false,null,null,true,null,false,null,null,weka.attributeSelection.BestFirst,null,true,5,true,null,mae,RuleExtractorAggregator,true,true,8,null,null,null,true,null,null,false,2,null,null,null,-DecisionTable -E mae -X 1 -S weka.attributeSelection.BestFirst -SimpleCart -M 8 -C 1.0 -S 1 -A -N 5 -Aggregator RuleExtractorAggregator -BestFirst -D 0 -N 4 -J48 -M 2 -C 0.05 -A -S 
gen_000_ind_007,null,confidenceFactor,true,false,null,5,false,false,null,null,true,true,0.15,false,null,null,false,null,false,null,null,weka.attributeSelection.GreedyStepwise,null,true,4,true,null,auc,RuleExtractorAggregator,true,true,6,null,null,null,true,null,false,true,6,false,null,null,-DecisionTable -E auc -X 5 -S weka.attributeSelection.GreedyStepwise -SimpleCart -M 6 -C 1.0 -S 1 -N 4 -Aggregator RuleExtractorAggregator -J48 -M 6 -doNotMakeSplitPointActualValue -C 0.15 -A -S 
gen_000_ind_008,true,confidenceFactor,true,false,null,null,false,true,null,null,true,false,0.05,true,null,2,false,unpruned,null,false,true,null,false,true,10,false,true,null,RuleExtractorAggregator,false,true,4,8,null,null,false,null,null,false,6,null,null,null,-PART -U -M 2 -B -SimpleCart -H -M 4 -C 1.0 -S 1 -N 10 -Aggregator RuleExtractorAggregator -JRip -N 8 -P -J48 -J -M 6 -C 0.05 -S 
