individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,true,reducedErrorPruning,true,true,null,8,false,true,0,7,true,true,null,true,4,7,true,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,true,true,5,false,false,auc,RuleExtractorAggregator,false,false,4,8,3,9,true,5,null,false,7,null,null,0.9739481373265158,-DecisionTable -X 8 -E auc -S weka.attributeSelection.BestFirst -PART -doNotMakeSplitPointActualValue -M 7 -R -Q 1 -N 9 -SimpleCart -M 4 -C 1.0 -S 1 -H -A -N 5 -Aggregator RuleExtractorAggregator -BestFirst -D 0 -N 7 -JRip -O 4 -N 8 -F 3 -J48 -O -M 7 -R -Q 1 -N 5 
gen_000_ind_000,true,reducedErrorPruning,true,true,null,8,false,true,0,7,true,true,null,true,4,7,true,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,true,true,5,false,false,auc,RuleExtractorAggregator,false,false,4,8,3,9,true,5,null,false,7,null,null,null,-DecisionTable -X 8 -E auc -S weka.attributeSelection.BestFirst -PART -doNotMakeSplitPointActualValue -M 7 -R -Q 1 -N 9 -SimpleCart -M 4 -C 1.0 -S 1 -H -A -N 5 -Aggregator RuleExtractorAggregator -BestFirst -D 0 -N 7 -JRip -O 4 -N 8 -F 3 -J48 -O -M 7 -R -Q 1 -N 5 
gen_000_ind_001,false,null,true,null,0.35,9,null,true,null,null,false,true,null,true,null,2,false,confidenceFactor,true,false,true,weka.attributeSelection.GreedyStepwise,false,true,2,true,false,auc,CompetenceBasedAggregator,null,null,8,2,null,null,null,null,false,null,null,true,null,null,-DecisionTable -X 9 -E auc -I -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -B -PART -M 2 -C 0.35 -SimpleCart -M 8 -C 1.0 -S 1 -N 2 -Aggregator CompetenceBasedAggregator -JRip -P -N 2 -E 
gen_000_ind_002,true,unpruned,true,null,null,null,false,true,null,null,true,false,null,true,null,7,false,unpruned,null,false,true,null,false,true,10,true,true,null,RuleExtractorAggregator,false,true,6,10,null,null,true,null,null,true,4,null,null,null,-PART -B -M 7 -U -SimpleCart -M 6 -C 1.0 -S 1 -N 10 -Aggregator RuleExtractorAggregator -JRip -P -N 10 -J48 -M 4 -doNotMakeSplitPointActualValue -U 
gen_000_ind_003,true,null,false,null,0.15,2,null,true,2,2,false,true,null,true,null,6,null,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,false,true,null,true,false,auc,CompetenceBasedAggregator,null,null,6,7,null,null,null,null,null,null,null,null,null,null,-DecisionTable -X 2 -E auc -S weka.attributeSelection.BestFirst -PART -M 6 -C 0.15 -SimpleCart -M 6 -U -Aggregator CompetenceBasedAggregator -BestFirst -D 2 -N 2 -JRip -P -N 7 
gen_000_ind_004,true,confidenceFactor,true,false,0.25,10,false,true,null,null,true,true,0.25,true,null,2,true,confidenceFactor,false,false,true,weka.attributeSelection.GreedyStepwise,false,true,9,true,true,auc,MajorityVotingAggregator,false,false,2,3,null,null,true,null,true,false,6,true,null,null,-DecisionTable -X 10 -E auc -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -B -C -PART -B -M 2 -C 0.25 -SimpleCart -M 2 -C 1.0 -S 1 -A -N 9 -Aggregator MajorityVotingAggregator -JRip -P -N 3 -J48 -O -M 6 -C 0.25 -S 
gen_000_ind_005,false,confidenceFactor,true,false,null,10,true,true,1,4,true,true,0.35,true,null,10,true,unpruned,true,false,false,weka.attributeSelection.BestFirst,true,true,4,true,false,mae,CompetenceBasedAggregator,true,true,5,5,null,null,true,null,null,true,2,null,null,null,-DecisionTable -X 10 -E mae -I -S weka.attributeSelection.BestFirst -PART -doNotMakeSplitPointActualValue -J -M 10 -U -SimpleCart -M 5 -C 1.0 -S 1 -A -N 4 -Aggregator CompetenceBasedAggregator -BestFirst -D 1 -N 4 -JRip -P -N 5 -E -J48 -M 2 -doNotMakeSplitPointActualValue -A -B -C 0.35 -S 
gen_000_ind_006,true,confidenceFactor,false,true,null,8,false,true,null,null,true,true,0.05,true,9,6,null,unpruned,false,true,false,weka.attributeSelection.GreedyStepwise,true,true,null,true,false,acc,MajorityVotingAggregator,false,true,7,2,3,null,false,null,false,false,6,true,null,null,-DecisionTable -X 8 -E acc -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -B -PART -doNotMakeSplitPointActualValue -J -M 6 -U -SimpleCart -M 7 -U -Aggregator MajorityVotingAggregator -JRip -O 9 -N 2 -F 3 -J48 -J -M 6 -C 0.05 
gen_000_ind_007,null,null,false,null,null,null,null,false,null,null,false,false,null,false,null,null,null,null,null,null,null,null,null,true,null,true,null,null,MajorityVotingAggregator,null,null,10,null,null,null,null,null,null,null,null,null,null,null,-SimpleCart -M 10 -U -Aggregator MajorityVotingAggregator 
gen_000_ind_008,true,confidenceFactor,true,true,0.15,null,false,true,null,null,true,false,0.35,true,9,7,true,confidenceFactor,null,true,true,null,false,true,4,true,false,null,RuleExtractorAggregator,true,true,10,10,2,null,false,null,null,true,3,null,null,null,-PART -M 7 -C 0.15 -SimpleCart -M 10 -C 1.0 -S 1 -A -N 4 -Aggregator RuleExtractorAggregator -JRip -O 9 -N 10 -F 2 -J48 -J -M 3 -doNotMakeSplitPointActualValue -A -C 0.35 
