individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,true,reducedErrorPruning,true,false,0.15,10,true,true,0,5,true,true,null,true,null,6,true,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,false,true,3,true,true,rmse,RuleExtractorAggregator,false,true,6,9,null,null,false,8,null,true,5,null,null,0.8616714708844335,-DecisionTable -X 10 -S weka.attributeSelection.BestFirst -E rmse -PART -M 6 -C 0.15 -B -J -SimpleCart -M 6 -C 1.0 -S 1 -A -N 3 -Aggregator RuleExtractorAggregator -BestFirst -N 5 -D 0 -JRip -N 9 -P -J48 -doNotMakeSplitPointActualValue -J -R -Q 1 -M 5 -B -S -N 8 
gen_000_ind_000,true,reducedErrorPruning,true,false,0.15,10,true,true,0,5,true,true,null,true,null,6,true,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,false,true,3,true,true,rmse,RuleExtractorAggregator,false,true,6,9,null,null,false,8,null,true,5,null,null,null,-DecisionTable -X 10 -S weka.attributeSelection.BestFirst -E rmse -PART -M 6 -C 0.15 -B -J -SimpleCart -M 6 -C 1.0 -S 1 -A -N 3 -Aggregator RuleExtractorAggregator -BestFirst -N 5 -D 0 -JRip -N 9 -P -J48 -doNotMakeSplitPointActualValue -J -R -Q 1 -M 5 -B -S -N 8 
gen_000_ind_001,true,unpruned,false,null,null,null,false,true,null,null,true,false,null,false,4,null,null,null,null,true,null,null,null,true,null,false,null,null,RuleExtractorAggregator,true,true,7,3,3,null,false,null,null,false,9,null,null,null,-SimpleCart -M 7 -H -U -Aggregator RuleExtractorAggregator -JRip -N 3 -O 4 -F 3 -J48 -J -U -M 9 -A 
gen_000_ind_002,true,confidenceFactor,true,false,null,6,true,true,0,1,true,true,0.45,true,9,9,true,unpruned,false,true,true,weka.attributeSelection.BestFirst,true,true,2,true,true,auc,RuleExtractorAggregator,true,false,2,4,9,null,true,null,null,false,7,null,null,null,-DecisionTable -X 6 -S weka.attributeSelection.BestFirst -E auc -PART -M 9 -U -doNotMakeSplitPointActualValue -B -SimpleCart -M 2 -C 1.0 -S 1 -A -N 2 -Aggregator RuleExtractorAggregator -BestFirst -N 1 -D 0 -JRip -N 4 -O 9 -F 9 -J48 -O -C 0.45 -M 7 -A -B -S 
gen_000_ind_003,false,reducedErrorPruning,true,true,null,8,false,true,null,null,true,true,null,true,7,6,false,reducedErrorPruning,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,6,false,true,auc,MajorityVotingAggregator,true,true,9,10,5,6,false,2,false,false,8,false,null,null,-DecisionTable -X 8 -S weka.attributeSelection.GreedyStepwise -E auc -PART -M 6 -R -Q 1 -N 6 -B -SimpleCart -M 9 -H -C 1.0 -S 1 -N 6 -Aggregator MajorityVotingAggregator -JRip -E -N 10 -O 7 -F 5 -J48 -J -R -Q 1 -M 8 -A -N 2 
gen_000_ind_004,true,confidenceFactor,true,false,null,5,true,true,1,9,true,true,0.45,true,10,6,true,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,false,true,5,true,false,auc,MajorityVotingAggregator,false,true,4,6,3,3,true,null,null,true,8,null,null,null,-DecisionTable -X 5 -S weka.attributeSelection.BestFirst -E auc -PART -M 6 -R -Q 1 -N 3 -SimpleCart -M 4 -C 1.0 -S 1 -A -N 5 -Aggregator MajorityVotingAggregator -BestFirst -N 9 -D 1 -JRip -N 6 -O 10 -F 3 -J48 -doNotMakeSplitPointActualValue -C 0.45 -M 8 -B -S 
gen_000_ind_005,true,confidenceFactor,true,true,0.35,3,false,true,null,null,true,true,0.35,true,null,9,false,confidenceFactor,false,false,true,weka.attributeSelection.GreedyStepwise,false,true,9,true,false,acc,RuleExtractorAggregator,true,false,9,4,null,null,true,null,false,false,10,false,null,null,-DecisionTable -X 3 -S weka.attributeSelection.GreedyStepwise -E acc -PART -M 9 -C 0.35 -SimpleCart -M 9 -C 1.0 -S 1 -N 9 -Aggregator RuleExtractorAggregator -JRip -N 4 -P -J48 -O -C 0.35 -M 10 -A 
gen_000_ind_006,false,confidenceFactor,true,false,null,5,false,true,1,2,true,true,0.35,true,null,5,false,unpruned,false,false,false,weka.attributeSelection.BestFirst,false,true,7,true,false,auc,MajorityVotingAggregator,true,false,7,3,null,null,false,null,null,true,2,null,null,null,-DecisionTable -X 5 -S weka.attributeSelection.BestFirst -E auc -PART -M 5 -U -J -SimpleCart -M 7 -C 1.0 -S 1 -N 7 -Aggregator MajorityVotingAggregator -BestFirst -N 2 -D 1 -JRip -E -N 3 -P -J48 -O -doNotMakeSplitPointActualValue -J -C 0.35 -M 2 -A -S 
gen_000_ind_007,null,confidenceFactor,false,true,null,1,false,false,0,6,true,true,0.45,true,null,2,null,reducedErrorPruning,false,null,false,weka.attributeSelection.BestFirst,false,true,null,true,true,acc,MajorityVotingAggregator,false,true,7,null,null,5,false,null,null,false,8,null,null,null,-DecisionTable -X 1 -S weka.attributeSelection.BestFirst -E acc -PART -M 2 -R -Q 1 -N 5 -B -J -SimpleCart -M 7 -U -Aggregator MajorityVotingAggregator -BestFirst -N 6 -D 0 -J48 -J -C 0.45 -M 8 
gen_000_ind_008,true,unpruned,true,null,0.25,4,false,true,null,null,true,true,null,true,2,8,false,confidenceFactor,false,true,false,weka.attributeSelection.GreedyStepwise,true,true,3,false,false,auc,RuleExtractorAggregator,false,true,6,2,6,null,false,null,true,false,2,false,null,null,-DecisionTable -X 4 -S weka.attributeSelection.GreedyStepwise -E auc -GreedyStepwise -C -PART -M 8 -C 0.25 -doNotMakeSplitPointActualValue -J -SimpleCart -M 6 -H -C 1.0 -S 1 -N 3 -Aggregator RuleExtractorAggregator -JRip -N 2 -O 2 -F 6 -J48 -J -U -M 2 
gen_000_ind_009,true,confidenceFactor,true,true,0.05,1,false,true,2,10,true,true,0.15,true,10,3,true,confidenceFactor,false,true,false,weka.attributeSelection.BestFirst,true,true,4,false,false,auc,CompetenceBasedAggregator,true,false,7,8,8,null,false,null,null,true,6,null,null,null,-DecisionTable -X 1 -S weka.attributeSelection.BestFirst -E auc -PART -M 3 -C 0.05 -doNotMakeSplitPointActualValue -J -SimpleCart -M 7 -H -C 1.0 -S 1 -A -N 4 -Aggregator CompetenceBasedAggregator -BestFirst -N 10 -D 2 -JRip -N 8 -O 10 -F 8 -J48 -O -doNotMakeSplitPointActualValue -J -C 0.15 -M 6 -A 
gen_000_ind_010,true,confidenceFactor,true,true,null,null,true,true,null,null,true,false,0.25,true,null,4,false,unpruned,null,false,true,null,true,true,9,false,false,null,MajorityVotingAggregator,true,false,10,2,null,null,true,null,null,true,5,null,null,null,-PART -M 4 -U -doNotMakeSplitPointActualValue -SimpleCart -M 10 -H -C 1.0 -S 1 -N 9 -Aggregator MajorityVotingAggregator -JRip -N 2 -P -J48 -O -doNotMakeSplitPointActualValue -C 0.25 -M 5 -A -B 
gen_000_ind_011,false,reducedErrorPruning,false,false,0.15,4,true,true,1,5,true,true,null,true,4,3,null,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,null,true,false,auc,MajorityVotingAggregator,false,false,8,5,3,null,true,3,null,false,5,null,null,null,-DecisionTable -X 4 -S weka.attributeSelection.BestFirst -E auc -PART -M 3 -C 0.15 -SimpleCart -M 8 -U -Aggregator MajorityVotingAggregator -BestFirst -N 5 -D 1 -JRip -E -N 5 -O 4 -F 3 -J48 -O -R -Q 1 -M 5 -B -S -N 3 
gen_000_ind_012,false,null,true,null,0.35,4,null,true,0,5,false,true,null,true,null,5,false,confidenceFactor,true,false,true,weka.attributeSelection.BestFirst,true,true,2,true,true,rmse,CompetenceBasedAggregator,null,null,6,10,null,null,null,null,null,null,null,null,null,null,-DecisionTable -X 4 -S weka.attributeSelection.BestFirst -I -E rmse -PART -M 5 -C 0.35 -doNotMakeSplitPointActualValue -B -SimpleCart -M 6 -C 1.0 -S 1 -N 2 -Aggregator CompetenceBasedAggregator -BestFirst -N 5 -D 0 -JRip -E -N 10 -P 
gen_000_ind_013,true,confidenceFactor,true,true,0.05,4,true,true,1,9,true,true,0.25,true,5,9,false,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,8,true,true,auc,RuleExtractorAggregator,true,true,8,10,3,null,false,null,null,true,10,null,null,null,-DecisionTable -X 4 -S weka.attributeSelection.BestFirst -E auc -PART -M 9 -C 0.05 -B -SimpleCart -M 8 -C 1.0 -S 1 -N 8 -Aggregator RuleExtractorAggregator -BestFirst -N 9 -D 1 -JRip -N 10 -O 5 -F 3 -J48 -doNotMakeSplitPointActualValue -J -C 0.25 -M 10 -A -B 
gen_000_ind_014,false,reducedErrorPruning,null,false,null,7,true,true,null,null,true,true,null,true,null,2,null,reducedErrorPruning,false,false,false,weka.attributeSelection.GreedyStepwise,false,false,null,null,false,auc,CompetenceBasedAggregator,false,true,null,2,null,6,true,2,false,true,8,false,null,null,-DecisionTable -X 7 -S weka.attributeSelection.GreedyStepwise -E auc -PART -M 2 -R -Q 1 -N 6 -J -Aggregator CompetenceBasedAggregator -JRip -E -N 2 -P -J48 -doNotMakeSplitPointActualValue -R -Q 1 -M 8 -B -S -N 2 
