classifier,someClassifier-Individual,someClassifier-Individual
metric,mean,std
banana,0.9528875018999848,0.0
banknotes,0.9980347231186265,0.0
car,0.9958732917255657,0.0
chess,0.9992868530226642,0.0
contraceptive,0.7278131317425661,0.0
diabetic,0.7187503788567619,0.0
flare,0.9217590361681749,0.0
german,0.7444333333333333,0.0
krvskp,0.9986413912467536,0.0
page-blocks,0.9884788885572583,0.0
penbased,0.9992178244052428,0.0
phoneme,0.9373794041234293,0.0
ring,0.9823595243201986,0.0
seismicbumps,0.6692821287587114,0.0
splice,0.9876215640124265,0.0
steelfaults,1.0,0.0
texture,0.9984135090909092,0.0
thyroid,0.9996553721542519,0.0
titanic,0.7565556593888936,0.0
turkiye,0.8482222016204066,0.0
twonorm,0.98252712510914,0.0
waveform,0.9508355818040934,0.0
