classifier,someClassifier-Individual,someClassifier-Individual
metric,mean,std
banana,0.9581578006466858,0.0
banknotes,0.9966922679746999,0.0
car,0.9939008987016712,0.0
contraceptive,0.7280035047722437,0.0
diabetic,0.730220646178093,0.0
flare,0.9236152892233367,0.0
krvskp,0.9989317509514185,0.0
page-blocks,0.9909544966917444,0.0
penbased,0.9987988918158971,0.0
phoneme,0.9349187693258918,0.0
ring,0.9816201007779846,0.0
seismicbumps,0.7666601686242019,0.0
splice,0.987119734378064,0.0
steelfaults,1.0,0.0
texture,0.9979337272727272,0.0
thyroid,0.9995881958604506,0.0
titanic,0.7587540943373073,0.0
turkiye,0.8521311164250908,0.0
twonorm,0.9811551738784927,0.0
waveform,0.9489254764060098,0.0
