classifier,someClassifier-RandomForest,someClassifier-RandomForest
metric,mean,std
banana,0.9636877279981759,0.0
banknotes,0.9999139451830816,0.0
car,0.9921486334388786,0.0
contraceptive,0.7045398001961253,0.0
diabetic,0.7715448263320603,0.0
flare,0.9089793803993804,0.0
krvskp,0.9987763692716248,0.0
page-blocks,0.9929997116879244,0.0
penbased,0.9997163452576731,0.0
phoneme,0.9671103130654093,0.0
ring,0.9940041073282029,0.0
seismicbumps,0.7542947999415176,0.0
splice,0.9956521699276809,0.0
steelfaults,1.0,0.0
texture,0.9996975272727272,0.0
thyroid,0.9998708392293612,0.0
titanic,0.7549717290138664,0.0
twonorm,0.9964535769234618,0.0
waveform,0.968443304382101,0.0
