classifier,someClassifier-RandomForestRulesClassifier,someClassifier-RandomForestRulesClassifier
metric,mean,std
banana,0.9308251518836335,0.0
banknotes,0.9940853448646788,0.0
car,0.9473940540137671,0.0
chess,0.9972319695451908,0.0
contraceptive,0.6491673764868087,0.0
diabetic,0.6929472025216706,0.0
flare,0.8508159706150624,0.0
german,0.6898345238095238,0.0
krvskp,0.9962878100325556,0.0
page-blocks,0.9488354582010976,0.0
penbased,0.9916415568470753,0.0
phoneme,0.9059424000073983,0.0
ring,0.9712355530516257,0.0
seismicbumps,0.6098835225888202,0.0
splice,0.9504000688276969,0.0
steelfaults,1.0,0.0
texture,0.9889037454545455,0.0
thyroid,0.8557961958212902,0.0
titanic,0.7234148897006768,0.0
twonorm,0.9665951570019293,0.0
waveform,0.9100964790006388,0.0
