classifier,someClassifier-DecisionTable,someClassifier-DecisionTable
metric,mean,std
banana,0.8077326214723616,0.0
banknotes,0.9824856933866873,0.0
car,0.9742315032497542,0.0
contraceptive,0.7126058555389481,0.0
diabetic,0.7000697096441777,0.0
flare,0.9192582974656506,0.0
krvskp,0.9903343570474813,0.0
page-blocks,0.9772912560683634,0.0
penbased,0.964595425574195,0.0
phoneme,0.8734745715688017,0.0
ring,0.8388851859167968,0.0
seismicbumps,0.7600687167990643,0.0
splice,0.9628573043502217,0.0
steelfaults,1.0,0.0
texture,0.9718689090909092,0.0
thyroid,0.9981821011517704,0.0
titanic,0.7388794494945204,0.0
turkiye,0.8324864684458391,0.0
twonorm,0.8537596555030605,0.0
waveform,0.892441679181426,0.0
