classifier,someClassifier-J48,someClassifier-J48
metric,mean,std
banana,0.942303435057368,0.0
banknotes,0.9875543221031797,0.0
car,0.972365082517327,0.0
contraceptive,0.7040332818785672,0.0
diabetic,0.713317572892041,0.0
flare,0.9108916262649792,0.0
krvskp,0.9975001598940265,0.0
page-blocks,0.957638099907957,0.0
penbased,0.9896853870484786,0.0
phoneme,0.906148085956414,0.0
ring,0.940233458185669,0.0
seismicbumps,0.7248330815341878,0.0
splice,0.9682562647096665,0.0
steelfaults,1.0,0.0
texture,0.9813938363636363,0.0
thyroid,0.9976601778009964,0.0
titanic,0.7100312443953596,0.0
turkiye,0.8182190382356078,0.0
twonorm,0.8894648287204864,0.0
waveform,0.8939736095182979,0.0
