classifier,someClassifier-JRip,someClassifier-JRip
metric,mean,std
banana,0.8950482941591013,0.0
banknotes,0.9803870315390903,0.0
car,0.9533015379547899,0.0
contraceptive,0.6373279867887103,0.0
diabetic,0.6407589258653088,0.0
flare,0.8629393231371703,0.0
krvskp,0.9947201619108493,0.0
page-blocks,0.9056503885461561,0.0
penbased,0.9872992367206923,0.0
phoneme,0.828239433968122,0.0
ring,0.9401878731543907,0.0
seismicbumps,0.5252059067206004,0.0
splice,0.9585858812095894,0.0
steelfaults,1.0,0.0
texture,0.9795889818181819,0.0
thyroid,0.9948078581031589,0.0
titanic,0.6755071314624453,0.0
turkiye,0.7383767992870092,0.0
twonorm,0.9216243823681112,0.0
waveform,0.8842485922951867,0.0
