classifier,someClassifier-PART,someClassifier-PART
metric,mean,std
banana,0.9452756877944977,0.0
banknotes,0.9911707757841746,0.0
car,0.9907359633057226,0.0
contraceptive,0.7014268004556995,0.0
diabetic,0.695537067345578,0.0
flare,0.9088569305116881,0.0
krvskp,0.9959975484223855,0.0
page-blocks,0.955265583694969,0.0
penbased,0.9883237333274572,0.0
phoneme,0.903659872231951,0.0
ring,0.9613858258605051,0.0
seismicbumps,0.7207125103562552,0.0
splice,0.9755909592751598,0.0
steelfaults,1.0,0.0
texture,0.9818778545454546,0.0
thyroid,0.9961913952606564,0.0
titanic,0.7549273638603348,0.0
turkiye,0.8344804327830789,0.0
twonorm,0.9398108077645924,0.0
waveform,0.9117442270517442,0.0
