,numIterations_-I 295,numIterations_-I 336,numIterations_-I 418,numIterations_-I 459,numIterations_-I 500,numIterations_-I 50,numIterations_-I 173,numIterations_-I 214,numIterations_-I 91,numIterations_-I 132,numIterations_-I 255,numIterations_-I 377
banana,0,0,0,0,0,10.0,,,,,,
banknotes,0,0,0,0,0,4.0,1.0,2.0,2.0,1.0,,
car,0,0,0,0,0,10.0,,,,,,
contraceptive,0,0,0,0,0,10.0,,,,,,
diabetic,1,0,0,0,0,1.0,2.0,1.0,1.0,4.0,,
flare,0,0,0,0,0,10.0,,,,,,
krvskp,0,0,0,0,0,4.0,1.0,1.0,2.0,1.0,1.0,
page-blocks,0,0,0,0,0,10.0,,,,,,
penbased,0,0,0,0,0,,3.0,,4.0,3.0,,
phoneme,0,0,0,0,0,,,,2.0,8.0,,
ring,0,0,0,0,0,10.0,,,,,,
seismicbumps,0,1,0,1,4,2.0,,,,1.0,,1.0
splice,0,0,0,0,0,9.0,,,1.0,,,
steelfaults,0,0,0,0,0,10.0,,,,,,
texture,0,0,0,0,0,,5.0,1.0,,4.0,,
thyroid,0,0,0,0,0,10.0,,,,,,
titanic,0,0,0,0,0,10.0,,,,,,
turkiye,0,0,0,0,0,10.0,,,,,,
twonorm,0,0,0,0,0,,3.0,1.0,,5.0,1.0,
waveform,1,1,4,3,1,,,,,,,
