classifier,someClassifier-AdaBoostM1,someClassifier-AdaBoostM1
metric,mean,std
banana,0.956420178184029,0.0
banknotes,0.9990125209758616,0.0
car,0.9967050859269256,0.0
contraceptive,0.6865851595864436,0.0
diabetic,0.7273208765230041,0.0
flare,0.8991712466810015,0.0
krvskp,0.9980877459179938,0.0
page-blocks,0.9856632011900928,0.0
penbased,0.9993779809634157,0.0
phoneme,0.9511481421051275,0.0
ring,0.9893899561273295,0.0
seismicbumps,0.5865070178858618,0.0
splice,0.9828885800613438,0.0
steelfaults,1.0,0.0
texture,0.9994213272727273,0.0
thyroid,0.998873777081568,0.0
titanic,0.7571479813855143,0.0
turkiye,0.6624864558890072,0.0
twonorm,0.9909876310364265,0.0
waveform,0.9556002046952322,0.0
