,numIterations_-I 255,numIterations_-I 50,numIterations_-I 132,numIterations_-I 173,numIterations_-I 377,numIterations_-I 295,numIterations_-I 91,numIterations_-I 418,numIterations_-I 214
banana,0,10,,,,,,,
banknotes,0,3,2.0,1.0,1.0,2.0,1.0,,
car,0,9,,,,,1.0,,
contraceptive,0,10,,,,,,,
diabetic,0,0,1.0,2.0,,,5.0,1.0,1.0
flare,0,10,,,,,,,
krvskp,0,9,1.0,,,,,,
page-blocks,0,5,,,,,5.0,,
seismicbumps,0,9,,,,,1.0,,
splice,0,9,,,,,1.0,,
steelfaults,0,10,,,,,,,
thyroid,0,7,,1.0,,,2.0,,
titanic,0,10,,,,,,,
turkiye,0,10,,,,,,,
twonorm,0,10,,,,,,,
waveform,0,9,,,,,1.0,,
phoneme,0,10,,,,,,,
texture,0,8,,,,,2.0,,
ring,0,10,,,,,,,
penbased,1,9,,,,,,,
