classifier,someClassifier-RandomForest,someClassifier-RandomForest
metric,mean,std
banana,0.9388509323743592,0.0
banknotes,0.9982498601609225,0.0
car,0.9757920887606804,0.0
contraceptive,0.6606273631691847,0.0
diabetic,0.7073316360550403,0.0
flare,0.8819571398175112,0.0
krvskp,0.9973587076324972,0.0
page-blocks,0.9600261562593477,0.0
penbased,0.9983788326423282,0.0
phoneme,0.9350479113669438,0.0
ring,0.9758875639359285,0.0
seismicbumps,0.6719479506798577,0.0
splice,0.9801761926240782,0.0
steelfaults,0.9999390646898627,0.0
texture,0.9964586909090911,0.0
thyroid,0.9996028614311077,0.0
titanic,0.759000462530324,0.0
twonorm,0.9720079070906621,0.0
waveform,0.9305335544211149,0.0
turkiye,0.7790021062072386,0.0
