dataset_name,n_sample,n_fold,unweighted_area_under_roc,classifier size,elapsed time (seconds),characteristics,options
hayes-roth,1,1,0.760847,12,0,"DecisionTable_evaluationMeasure=auc;DecisionTable_useIBk=false;DecisionTable_search=weka.attributeSelection.GreedyStepwise;DecisionTable_crossVal=10;BestFirst_searchTermination=null;BestFirst_direction=null;GreedyStepwise_searchBackwards=false;GreedyStepwise_conservativeForwardSelection=false;","-DecisionTable -E auc -S weka.attributeSelection.GreedyStepwise -X 10"
hayes-roth,2,1,0.760847,12,0,"DecisionTable_evaluationMeasure=auc;DecisionTable_useIBk=false;DecisionTable_search=weka.attributeSelection.GreedyStepwise;DecisionTable_crossVal=10;BestFirst_searchTermination=null;BestFirst_direction=null;GreedyStepwise_searchBackwards=false;GreedyStepwise_conservativeForwardSelection=false;","-DecisionTable -E auc -S weka.attributeSelection.GreedyStepwise -X 10"
hayes-roth,3,1,0.760847,12,0,"DecisionTable_evaluationMeasure=auc;DecisionTable_useIBk=false;DecisionTable_search=weka.attributeSelection.GreedyStepwise;DecisionTable_crossVal=10;BestFirst_searchTermination=null;BestFirst_direction=null;GreedyStepwise_searchBackwards=false;GreedyStepwise_conservativeForwardSelection=false;","-DecisionTable -E auc -S weka.attributeSelection.GreedyStepwise -X 10"
hayes-roth,4,1,0.760847,12,0,"DecisionTable_evaluationMeasure=auc;DecisionTable_useIBk=false;DecisionTable_search=weka.attributeSelection.GreedyStepwise;DecisionTable_crossVal=10;BestFirst_searchTermination=null;BestFirst_direction=null;GreedyStepwise_searchBackwards=false;GreedyStepwise_conservativeForwardSelection=false;","-DecisionTable -E auc -S weka.attributeSelection.GreedyStepwise -X 10"
hayes-roth,5,1,0.760847,12,0,"DecisionTable_evaluationMeasure=auc;DecisionTable_useIBk=false;DecisionTable_search=weka.attributeSelection.GreedyStepwise;DecisionTable_crossVal=10;BestFirst_searchTermination=null;BestFirst_direction=null;GreedyStepwise_searchBackwards=false;GreedyStepwise_conservativeForwardSelection=false;","-DecisionTable -E auc -S weka.attributeSelection.GreedyStepwise -X 10"
hayes-roth,6,1,0.760847,12,0,"DecisionTable_evaluationMeasure=auc;DecisionTable_useIBk=false;DecisionTable_search=weka.attributeSelection.GreedyStepwise;DecisionTable_crossVal=10;BestFirst_searchTermination=null;BestFirst_direction=null;GreedyStepwise_searchBackwards=false;GreedyStepwise_conservativeForwardSelection=false;","-DecisionTable -E auc -S weka.attributeSelection.GreedyStepwise -X 10"
hayes-roth,7,1,0.760847,12,0,"DecisionTable_evaluationMeasure=auc;DecisionTable_useIBk=false;DecisionTable_search=weka.attributeSelection.GreedyStepwise;DecisionTable_crossVal=10;BestFirst_searchTermination=null;BestFirst_direction=null;GreedyStepwise_searchBackwards=false;GreedyStepwise_conservativeForwardSelection=false;","-DecisionTable -E auc -S weka.attributeSelection.GreedyStepwise -X 10"
hayes-roth,8,1,0.760847,12,0,"DecisionTable_evaluationMeasure=auc;DecisionTable_useIBk=false;DecisionTable_search=weka.attributeSelection.GreedyStepwise;DecisionTable_crossVal=10;BestFirst_searchTermination=null;BestFirst_direction=null;GreedyStepwise_searchBackwards=false;GreedyStepwise_conservativeForwardSelection=false;","-DecisionTable -E auc -S weka.attributeSelection.GreedyStepwise -X 10"
hayes-roth,9,1,0.760847,12,0,"DecisionTable_evaluationMeasure=auc;DecisionTable_useIBk=false;DecisionTable_search=weka.attributeSelection.GreedyStepwise;DecisionTable_crossVal=10;BestFirst_searchTermination=null;BestFirst_direction=null;GreedyStepwise_searchBackwards=false;GreedyStepwise_conservativeForwardSelection=false;","-DecisionTable -E auc -S weka.attributeSelection.GreedyStepwise -X 10"
hayes-roth,10,1,0.760847,12,0,"DecisionTable_evaluationMeasure=auc;DecisionTable_useIBk=false;DecisionTable_search=weka.attributeSelection.GreedyStepwise;DecisionTable_crossVal=10;BestFirst_searchTermination=null;BestFirst_direction=null;GreedyStepwise_searchBackwards=false;GreedyStepwise_conservativeForwardSelection=false;","-DecisionTable -E auc -S weka.attributeSelection.GreedyStepwise -X 10"
hayes-roth,1,2,0.761376,12,0,"DecisionTable_evaluationMeasure=auc;DecisionTable_useIBk=false;DecisionTable_search=weka.attributeSelection.GreedyStepwise;DecisionTable_crossVal=10;BestFirst_searchTermination=null;BestFirst_direction=null;GreedyStepwise_searchBackwards=false;GreedyStepwise_conservativeForwardSelection=false;","-DecisionTable -E auc -S weka.attributeSelection.GreedyStepwise -X 10"
hayes-roth,2,2,0.761376,12,0,"DecisionTable_evaluationMeasure=auc;DecisionTable_useIBk=false;DecisionTable_search=weka.attributeSelection.GreedyStepwise;DecisionTable_crossVal=10;BestFirst_searchTermination=null;BestFirst_direction=null;GreedyStepwise_searchBackwards=false;GreedyStepwise_conservativeForwardSelection=false;","-DecisionTable -E auc -S weka.attributeSelection.GreedyStepwise -X 10"
hayes-roth,3,2,0.761376,12,0,"DecisionTable_evaluationMeasure=auc;DecisionTable_useIBk=false;DecisionTable_search=weka.attributeSelection.GreedyStepwise;DecisionTable_crossVal=10;BestFirst_searchTermination=null;BestFirst_direction=null;GreedyStepwise_searchBackwards=false;GreedyStepwise_conservativeForwardSelection=false;","-DecisionTable -E auc -S weka.attributeSelection.GreedyStepwise -X 10"
