dataset_name,n_sample,n_fold,unweighted_area_under_roc,classifier size,elapsed time (seconds),characteristics,options
tae,1,1,0.468182,12,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-J48 -U -O -M 10"
tae,2,1,0.468182,12,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-J48 -U -O -M 10"
tae,3,1,0.468182,12,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-J48 -U -O -M 10"
tae,4,1,0.468182,12,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-J48 -U -O -M 10"
tae,5,1,0.468182,12,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-J48 -U -O -M 10"
tae,6,1,0.468182,12,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-J48 -U -O -M 10"
tae,7,1,0.468182,12,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-J48 -U -O -M 10"
tae,8,1,0.468182,12,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-J48 -U -O -M 10"
tae,9,1,0.468182,12,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-J48 -U -O -M 10"
tae,10,1,0.468182,12,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-J48 -U -O -M 10"
tae,1,2,0.683333,10,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-J48 -U -O -M 10"
tae,2,2,0.683333,10,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-J48 -U -O -M 10"
tae,3,2,0.683333,10,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-J48 -U -O -M 10"
tae,4,2,0.683333,10,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-J48 -U -O -M 10"
tae,5,2,0.683333,10,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-J48 -U -O -M 10"
tae,6,2,0.683333,10,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-J48 -U -O -M 10"
tae,7,2,0.683333,10,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-J48 -U -O -M 10"
tae,8,2,0.683333,10,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-J48 -U -O -M 10"
tae,9,2,0.683333,10,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-J48 -U -O -M 10"
tae,10,2,0.683333,10,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-J48 -U -O -M 10"
tae,1,3,0.623333,11,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-J48 -U -O -M 10"
tae,2,3,0.623333,11,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-J48 -U -O -M 10"
tae,3,3,0.623333,11,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-J48 -U -O -M 10"
tae,4,3,0.623333,11,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-J48 -U -O -M 10"
tae,5,3,0.623333,11,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-J48 -U -O -M 10"
tae,6,3,0.623333,11,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-J48 -U -O -M 10"
tae,7,3,0.623333,11,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-J48 -U -O -M 10"
tae,8,3,0.623333,11,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-J48 -U -O -M 10"
tae,9,3,0.623333,11,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-J48 -U -O -M 10"
tae,10,3,0.623333,11,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-J48 -U -O -M 10"
tae,1,4,0.693333,8,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-J48 -U -O -M 10"
tae,2,4,0.693333,8,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-J48 -U -O -M 10"
tae,3,4,0.693333,8,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-J48 -U -O -M 10"
tae,4,4,0.693333,8,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-J48 -U -O -M 10"
tae,5,4,0.693333,8,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-J48 -U -O -M 10"
tae,6,4,0.693333,8,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-J48 -U -O -M 10"
tae,7,4,0.693333,8,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-J48 -U -O -M 10"
