dataset_name,n_sample,n_fold,unweighted_area_under_roc,classifier size,elapsed time (seconds),characteristics,options
tae,1,1,0.700000,9,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,2,1,0.700000,9,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,3,1,0.700000,9,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,4,1,0.700000,9,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,5,1,0.700000,9,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,6,1,0.700000,9,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,7,1,0.700000,9,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,8,1,0.700000,9,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,9,1,0.700000,9,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,10,1,0.700000,9,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,1,2,0.660000,9,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,2,2,0.660000,9,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,3,2,0.660000,9,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,4,2,0.660000,9,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,5,2,0.660000,9,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,6,2,0.660000,9,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,7,2,0.660000,9,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,8,2,0.660000,9,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,9,2,0.660000,9,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,10,2,0.660000,9,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,1,3,0.746667,12,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,2,3,0.746667,12,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,3,3,0.746667,12,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,4,3,0.746667,12,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,5,3,0.746667,12,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,6,3,0.746667,12,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,7,3,0.746667,12,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,8,3,0.746667,12,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,9,3,0.746667,12,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,10,3,0.746667,12,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,1,4,0.753333,13,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,2,4,0.753333,13,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,3,4,0.753333,13,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,4,4,0.753333,13,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,5,4,0.753333,13,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,6,4,0.753333,13,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,7,4,0.753333,13,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,8,4,0.753333,13,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,9,4,0.753333,13,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,10,4,0.753333,13,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,1,5,0.826667,9,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,2,5,0.826667,9,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,3,5,0.826667,9,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,4,5,0.826667,9,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,5,5,0.826667,9,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,6,5,0.826667,9,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,7,5,0.826667,9,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,8,5,0.826667,9,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,9,5,0.826667,9,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,10,5,0.826667,9,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,1,6,0.626667,7,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,2,6,0.626667,7,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,3,6,0.626667,7,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,4,6,0.626667,7,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,5,6,0.626667,7,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,6,6,0.626667,7,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,7,6,0.626667,7,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,8,6,0.626667,7,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,9,6,0.626667,7,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,10,6,0.626667,7,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
tae,1,7,0.650000,10,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-SimpleCart -H -U -M 6"
