gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.00000000,0.00000000,0.00000000,0.95608276,0036,0100,0035,0.00000000,"J48,J48_useMDLcorrection,J48_pruning,SimpleCart,PART,JRip,J48_minNumObj,PART_minNumObj,J48_doNotMakeSplitPointActualValue,Aggregator,J48_collapseTree,SimpleCart_usePrune,J48_subtreeRaising,DecisionTable,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,JRip_usePruning,J48_numFolds,SimpleCart_useOneSE,J48_useLaplace,SimpleCart_heuristic,JRip_optimizations,J48_binarySplits,J48_confidenceFactorValue,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,DecisionTable_search,BestFirst_searchTermination,JRip_folds,DecisionTable_evaluationMeasure,PART_useMDLcorrection,PART_binarySplits,JRip_checkErrorRate,PART_pruning,JRip_minNo,GreedyStepwise_searchBackwards,DecisionTable_useIBk,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,PART_confidenceFactorValue,PART_numFolds"
1,99,0.00000000,0.00000000,0.00000000,0.95699113,0027,0100,0035,0.00000000,"DecisionTable,J48,J48_pruning,J48_binarySplits,DecisionTable_search,SimpleCart,BestFirst_direction,GreedyStepwise_searchBackwards,J48_doNotMakeSplitPointActualValue,DecisionTable_crossVal,J48_collapseTree,J48_confidenceFactorValue,Aggregator,DecisionTable_evaluationMeasure,SimpleCart_usePrune,GreedyStepwise_conservativeForwardSelection,J48_useLaplace,JRip,J48_useMDLcorrection,JRip_checkErrorRate,SimpleCart_heuristic,DecisionTable_useIBk,J48_numFolds,SimpleCart_minNumObj,JRip_minNo,BestFirst_searchTermination,PART,J48_subtreeRaising,PART_minNumObj,SimpleCart_useOneSE,J48_minNumObj,SimpleCart_numFoldsPruning,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,JRip_usePruning,JRip_optimizations,JRip_folds,PART_pruning,PART_binarySplits,PART_numFolds,PART_confidenceFactorValue"
2,99,0.00000000,0.00000000,0.00000000,0.95822377,0030,0100,0035,0.00000000,"Aggregator,SimpleCart,PART,DecisionTable,DecisionTable_useIBk,DecisionTable_crossVal,PART_binarySplits,PART_pruning,PART_minNumObj,SimpleCart_heuristic,PART_numFolds,DecisionTable_evaluationMeasure,J48,JRip,SimpleCart_usePrune,J48_minNumObj,PART_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,PART_useMDLcorrection,J48_useLaplace,DecisionTable_search,J48_doNotMakeSplitPointActualValue,JRip_minNo,JRip_checkErrorRate,JRip_usePruning,J48_binarySplits,J48_collapseTree,SimpleCart_numFoldsPruning,J48_useMDLcorrection,JRip_folds,J48_pruning,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,BestFirst_direction,J48_subtreeRaising,SimpleCart_useOneSE,J48_numFolds,GreedyStepwise_searchBackwards,J48_confidenceFactorValue,JRip_optimizations"
3,99,0.00000000,0.00000000,0.00000000,0.95822377,0028,0100,0035,0.00000000,"DecisionTable,DecisionTable_evaluationMeasure,JRip,DecisionTable_crossVal,J48,JRip_checkErrorRate,DecisionTable_useIBk,JRip_usePruning,DecisionTable_search,J48_binarySplits,PART,Aggregator,BestFirst_searchTermination,SimpleCart,JRip_minNo,J48_pruning,J48_collapseTree,J48_useLaplace,GreedyStepwise_searchBackwards,J48_minNumObj,JRip_folds,PART_binarySplits,J48_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,PART_pruning,J48_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,PART_useMDLcorrection,J48_doNotMakeSplitPointActualValue,JRip_optimizations,PART_minNumObj,J48_subtreeRaising,BestFirst_direction,SimpleCart_minNumObj,SimpleCart_heuristic,J48_numFolds,SimpleCart_usePrune,PART_numFolds,SimpleCart_numFoldsPruning,PART_confidenceFactorValue,SimpleCart_useOneSE"
4,99,0.00000000,0.00000000,0.00000000,0.95870571,0028,0100,0035,0.00000000,"PART,PART_minNumObj,PART_binarySplits,JRip,PART_useMDLcorrection,PART_pruning,DecisionTable,PART_doNotMakeSplitPointActualValue,JRip_usePruning,SimpleCart,SimpleCart_heuristic,JRip_optimizations,PART_confidenceFactorValue,Aggregator,DecisionTable_crossVal,DecisionTable_useIBk,J48,JRip_checkErrorRate,JRip_minNo,J48_minNumObj,DecisionTable_search,SimpleCart_minNumObj,JRip_folds,SimpleCart_usePrune,BestFirst_direction,DecisionTable_evaluationMeasure,PART_numFolds,J48_useMDLcorrection,J48_pruning,J48_doNotMakeSplitPointActualValue,J48_useLaplace,J48_numFolds,J48_collapseTree,GreedyStepwise_searchBackwards,J48_binarySplits,SimpleCart_numFoldsPruning,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,J48_subtreeRaising,J48_confidenceFactorValue,SimpleCart_useOneSE"
5,99,0.00000000,0.00000000,0.00000000,0.95870571,0029,0100,0035,0.00000000,"SimpleCart,J48,DecisionTable,Aggregator,JRip,J48_binarySplits,J48_useLaplace,J48_useMDLcorrection,DecisionTable_crossVal,PART,SimpleCart_minNumObj,DecisionTable_search,SimpleCart_usePrune,SimpleCart_heuristic,JRip_usePruning,DecisionTable_useIBk,BestFirst_searchTermination,DecisionTable_evaluationMeasure,PART_doNotMakeSplitPointActualValue,JRip_minNo,JRip_checkErrorRate,PART_pruning,J48_minNumObj,J48_pruning,J48_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,PART_useMDLcorrection,J48_collapseTree,JRip_optimizations,GreedyStepwise_searchBackwards,SimpleCart_useOneSE,J48_numFolds,JRip_folds,J48_subtreeRaising,PART_numFolds,PART_minNumObj,PART_binarySplits,J48_confidenceFactorValue,SimpleCart_numFoldsPruning,BestFirst_direction,PART_confidenceFactorValue"
6,99,0.00000000,0.00000000,0.00000000,0.95870571,0057,0100,0055,0.22972475,"Aggregator,JRip,JRip_usePruning,SimpleCart,DecisionTable,J48,PART,DecisionTable_evaluationMeasure,SimpleCart_heuristic,PART_doNotMakeSplitPointActualValue,J48_useLaplace,J48_doNotMakeSplitPointActualValue,JRip_checkErrorRate,SimpleCart_usePrune,J48_binarySplits,PART_useMDLcorrection,J48_pruning,PART_pruning,J48_collapseTree,J48_useMDLcorrection,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_search,DecisionTable_useIBk,GreedyStepwise_searchBackwards,DecisionTable_crossVal,J48_confidenceFactorValue,PART_minNumObj,SimpleCart_useOneSE,PART_binarySplits,BestFirst_searchTermination,JRip_folds,JRip_optimizations,SimpleCart_numFoldsPruning,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,J48_minNumObj,PART_numFolds,JRip_minNo,J48_numFolds,SimpleCart_minNumObj"
7,99,0.00000000,0.00000000,0.00000000,0.95870571,0028,0100,0055,0.22972475,"Aggregator,JRip,J48,J48_doNotMakeSplitPointActualValue,DecisionTable,JRip_checkErrorRate,JRip_usePruning,SimpleCart,PART,J48_collapseTree,PART_pruning,J48_useLaplace,SimpleCart_usePrune,J48_pruning,J48_useMDLcorrection,J48_binarySplits,PART_useMDLcorrection,SimpleCart_heuristic,DecisionTable_evaluationMeasure,J48_subtreeRaising,PART_doNotMakeSplitPointActualValue,JRip_optimizations,SimpleCart_numFoldsPruning,J48_numFolds,PART_minNumObj,SimpleCart_useOneSE,SimpleCart_minNumObj,PART_confidenceFactorValue,DecisionTable_crossVal,DecisionTable_useIBk,DecisionTable_search,J48_confidenceFactorValue,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,JRip_folds,PART_binarySplits,JRip_minNo,J48_minNumObj,PART_numFolds,BestFirst_direction"
8,99,0.00000000,0.00000000,0.00000000,0.95870571,0029,0100,0055,0.22972475,"Aggregator,PART,PART_doNotMakeSplitPointActualValue,JRip,J48,SimpleCart,DecisionTable,PART_pruning,JRip_usePruning,PART_useMDLcorrection,SimpleCart_heuristic,JRip_checkErrorRate,J48_useLaplace,J48_pruning,J48_binarySplits,DecisionTable_evaluationMeasure,J48_subtreeRaising,J48_collapseTree,SimpleCart_usePrune,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,PART_numFolds,JRip_minNo,J48_minNumObj,PART_binarySplits,JRip_optimizations,SimpleCart_numFoldsPruning,DecisionTable_crossVal,J48_confidenceFactorValue,DecisionTable_search,BestFirst_direction,SimpleCart_useOneSE,PART_confidenceFactorValue,GreedyStepwise_searchBackwards,DecisionTable_useIBk,BestFirst_searchTermination,JRip_folds,SimpleCart_minNumObj,J48_numFolds,PART_minNumObj,GreedyStepwise_conservativeForwardSelection"
9,99,0.00000000,0.00000000,0.00000000,0.95918100,0026,0100,0055,0.22972475,"JRip,DecisionTable,JRip_usePruning,JRip_checkErrorRate,J48,J48_doNotMakeSplitPointActualValue,J48_pruning,PART,J48_useMDLcorrection,DecisionTable_evaluationMeasure,SimpleCart,Aggregator,PART_doNotMakeSplitPointActualValue,J48_useLaplace,J48_collapseTree,J48_binarySplits,PART_useMDLcorrection,SimpleCart_usePrune,PART_pruning,J48_subtreeRaising,SimpleCart_heuristic,PART_minNumObj,JRip_optimizations,SimpleCart_numFoldsPruning,J48_numFolds,SimpleCart_useOneSE,DecisionTable_search,GreedyStepwise_searchBackwards,PART_confidenceFactorValue,DecisionTable_crossVal,SimpleCart_minNumObj,DecisionTable_useIBk,J48_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,JRip_folds,BestFirst_searchTermination,PART_numFolds,JRip_minNo,J48_minNumObj,PART_binarySplits,BestFirst_direction"
