gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.00000000,0.00000000,0.00000000,1.00000000,0004,0100,0035,0.00000000,"Aggregator,JRip,JRip_minNo,J48,SimpleCart,J48_doNotMakeSplitPointActualValue,DecisionTable,J48_useMDLcorrection,JRip_checkErrorRate,PART,J48_pruning,PART_useMDLcorrection,SimpleCart_minNumObj,J48_useLaplace,JRip_usePruning,PART_binarySplits,PART_doNotMakeSplitPointActualValue,PART_pruning,DecisionTable_useIBk,JRip_optimizations,J48_confidenceFactorValue,J48_collapseTree,PART_minNumObj,SimpleCart_heuristic,DecisionTable_search,DecisionTable_crossVal,J48_subtreeRaising,J48_binarySplits,J48_minNumObj,DecisionTable_evaluationMeasure,SimpleCart_usePrune,J48_numFolds,BestFirst_searchTermination,PART_numFolds,GreedyStepwise_conservativeForwardSelection,PART_confidenceFactorValue,JRip_folds,GreedyStepwise_searchBackwards,BestFirst_direction,SimpleCart_useOneSE,SimpleCart_numFoldsPruning"
1,99,0.00000000,0.00000000,0.00000000,1.00000000,0004,0100,0035,0.00000000,"SimpleCart,SimpleCart_minNumObj,DecisionTable,J48,DecisionTable_search,GreedyStepwise_searchBackwards,J48_doNotMakeSplitPointActualValue,SimpleCart_heuristic,Aggregator,JRip,J48_binarySplits,DecisionTable_evaluationMeasure,JRip_checkErrorRate,PART,J48_useMDLcorrection,PART_binarySplits,DecisionTable_useIBk,DecisionTable_crossVal,SimpleCart_usePrune,J48_useLaplace,PART_doNotMakeSplitPointActualValue,BestFirst_searchTermination,J48_pruning,GreedyStepwise_conservativeForwardSelection,PART_minNumObj,J48_subtreeRaising,SimpleCart_numFoldsPruning,PART_useMDLcorrection,BestFirst_direction,J48_collapseTree,J48_minNumObj,JRip_minNo,JRip_usePruning,PART_pruning,J48_numFolds,SimpleCart_useOneSE,J48_confidenceFactorValue,JRip_folds,JRip_optimizations,PART_confidenceFactorValue,PART_numFolds"
2,99,0.00000000,0.00000000,0.00000000,1.00000000,0003,0100,0035,0.00000000,"DecisionTable,JRip,DecisionTable_useIBk,J48,JRip_checkErrorRate,DecisionTable_crossVal,J48_binarySplits,PART,J48_useMDLcorrection,PART_pruning,DecisionTable_evaluationMeasure,PART_minNumObj,PART_numFolds,J48_pruning,JRip_minNo,J48_minNumObj,Aggregator,SimpleCart,J48_numFolds,DecisionTable_search,JRip_usePruning,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,J48_collapseTree,PART_useMDLcorrection,J48_subtreeRaising,J48_doNotMakeSplitPointActualValue,J48_useLaplace,PART_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,SimpleCart_heuristic,PART_binarySplits,BestFirst_searchTermination,JRip_folds,PART_confidenceFactorValue,J48_confidenceFactorValue,JRip_optimizations,GreedyStepwise_searchBackwards,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning"
3,99,0.00000000,0.00000000,0.00000000,1.00000000,0004,0100,0035,0.00000000,"Aggregator,J48,J48_useLaplace,J48_doNotMakeSplitPointActualValue,SimpleCart,J48_minNumObj,J48_binarySplits,J48_pruning,DecisionTable,J48_useMDLcorrection,J48_collapseTree,JRip,SimpleCart_heuristic,SimpleCart_usePrune,DecisionTable_useIBk,J48_subtreeRaising,PART,SimpleCart_minNumObj,PART_doNotMakeSplitPointActualValue,J48_numFolds,JRip_minNo,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,JRip_folds,DecisionTable_crossVal,J48_confidenceFactorValue,DecisionTable_evaluationMeasure,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,JRip_checkErrorRate,JRip_optimizations,PART_pruning,PART_numFolds,PART_minNumObj,PART_binarySplits,BestFirst_direction,GreedyStepwise_searchBackwards,PART_confidenceFactorValue"
4,99,0.00000000,0.00000000,0.00000000,1.00000000,0004,0100,0035,0.00000000,"JRip,PART,JRip_usePruning,JRip_checkErrorRate,PART_minNumObj,DecisionTable,DecisionTable_useIBk,PART_binarySplits,J48,PART_doNotMakeSplitPointActualValue,DecisionTable_evaluationMeasure,J48_pruning,J48_numFolds,J48_confidenceFactorValue,J48_useLaplace,Aggregator,DecisionTable_crossVal,J48_minNumObj,SimpleCart,PART_useMDLcorrection,JRip_folds,J48_binarySplits,JRip_minNo,PART_pruning,JRip_optimizations,J48_collapseTree,J48_subtreeRaising,DecisionTable_search,GreedyStepwise_searchBackwards,J48_useMDLcorrection,PART_confidenceFactorValue,SimpleCart_usePrune,J48_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,PART_numFolds,GreedyStepwise_conservativeForwardSelection,SimpleCart_heuristic,SimpleCart_minNumObj,BestFirst_searchTermination,BestFirst_direction,SimpleCart_numFoldsPruning"
5,99,0.00000000,0.00000000,0.00000000,1.00000000,0004,0100,0035,0.00000000,"DecisionTable,J48,DecisionTable_useIBk,J48_pruning,DecisionTable_crossVal,DecisionTable_search,DecisionTable_evaluationMeasure,JRip,Aggregator,JRip_checkErrorRate,SimpleCart,PART,BestFirst_searchTermination,J48_subtreeRaising,BestFirst_direction,J48_collapseTree,J48_minNumObj,PART_useMDLcorrection,SimpleCart_heuristic,JRip_usePruning,J48_useLaplace,PART_doNotMakeSplitPointActualValue,PART_pruning,SimpleCart_minNumObj,J48_binarySplits,JRip_folds,GreedyStepwise_searchBackwards,PART_confidenceFactorValue,J48_useMDLcorrection,PART_numFolds,PART_binarySplits,J48_doNotMakeSplitPointActualValue,JRip_minNo,J48_numFolds,J48_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,SimpleCart_usePrune,PART_minNumObj,JRip_optimizations,SimpleCart_useOneSE,SimpleCart_numFoldsPruning"
6,99,0.00000000,0.00000000,0.00000000,1.00000000,0004,0100,0035,0.00000000,"DecisionTable,SimpleCart,SimpleCart_minNumObj,PART,J48,SimpleCart_usePrune,DecisionTable_evaluationMeasure,J48_useMDLcorrection,SimpleCart_useOneSE,J48_useLaplace,SimpleCart_heuristic,DecisionTable_crossVal,J48_doNotMakeSplitPointActualValue,JRip,J48_minNumObj,PART_doNotMakeSplitPointActualValue,DecisionTable_search,Aggregator,DecisionTable_useIBk,J48_binarySplits,J48_collapseTree,PART_binarySplits,J48_pruning,PART_useMDLcorrection,SimpleCart_numFoldsPruning,PART_pruning,JRip_checkErrorRate,JRip_minNo,PART_minNumObj,GreedyStepwise_conservativeForwardSelection,J48_subtreeRaising,BestFirst_searchTermination,JRip_usePruning,BestFirst_direction,PART_confidenceFactorValue,GreedyStepwise_searchBackwards,J48_confidenceFactorValue,J48_numFolds,PART_numFolds,JRip_folds,JRip_optimizations"
7,99,0.00000000,0.00000000,0.00000000,1.00000000,0004,0100,0035,0.00000000,"J48,DecisionTable,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,DecisionTable_crossVal,J48_minNumObj,JRip,J48_useLaplace,DecisionTable_search,JRip_usePruning,SimpleCart,Aggregator,BestFirst_searchTermination,J48_pruning,DecisionTable_useIBk,DecisionTable_evaluationMeasure,JRip_checkErrorRate,J48_subtreeRaising,GreedyStepwise_searchBackwards,PART,J48_collapseTree,J48_binarySplits,JRip_optimizations,J48_confidenceFactorValue,SimpleCart_heuristic,SimpleCart_minNumObj,SimpleCart_usePrune,SimpleCart_numFoldsPruning,JRip_minNo,BestFirst_direction,PART_pruning,PART_minNumObj,GreedyStepwise_conservativeForwardSelection,JRip_folds,PART_useMDLcorrection,J48_numFolds,PART_binarySplits,PART_numFolds,PART_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,SimpleCart_useOneSE"
8,99,0.00000000,0.00000000,0.00000000,1.00000000,0003,0100,0035,0.00000000,"JRip,PART,JRip_minNo,PART_binarySplits,PART_useMDLcorrection,Aggregator,JRip_checkErrorRate,J48,PART_minNumObj,SimpleCart,J48_useMDLcorrection,PART_doNotMakeSplitPointActualValue,DecisionTable,DecisionTable_crossVal,PART_pruning,JRip_usePruning,SimpleCart_minNumObj,J48_collapseTree,J48_minNumObj,J48_binarySplits,PART_numFolds,DecisionTable_useIBk,PART_confidenceFactorValue,J48_useLaplace,DecisionTable_search,GreedyStepwise_searchBackwards,J48_pruning,SimpleCart_usePrune,J48_doNotMakeSplitPointActualValue,SimpleCart_heuristic,SimpleCart_useOneSE,GreedyStepwise_conservativeForwardSelection,JRip_folds,JRip_optimizations,J48_confidenceFactorValue,DecisionTable_evaluationMeasure,BestFirst_searchTermination,SimpleCart_numFoldsPruning,J48_numFolds,BestFirst_direction,J48_subtreeRaising"
9,99,0.00000000,0.00000000,0.00000000,1.00000000,0003,0100,0035,0.00000000,"DecisionTable,J48,JRip,JRip_usePruning,J48_useMDLcorrection,JRip_folds,PART,J48_minNumObj,JRip_minNo,DecisionTable_useIBk,J48_binarySplits,PART_useMDLcorrection,SimpleCart,J48_collapseTree,JRip_optimizations,J48_pruning,DecisionTable_evaluationMeasure,DecisionTable_crossVal,DecisionTable_search,Aggregator,J48_subtreeRaising,J48_useLaplace,BestFirst_searchTermination,J48_doNotMakeSplitPointActualValue,PART_minNumObj,PART_pruning,JRip_checkErrorRate,GreedyStepwise_searchBackwards,PART_binarySplits,PART_doNotMakeSplitPointActualValue,J48_numFolds,SimpleCart_usePrune,SimpleCart_minNumObj,BestFirst_direction,SimpleCart_heuristic,J48_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,PART_numFolds,SimpleCart_useOneSE"
