gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.00000000,0.00000000,0.00000000,0.99889826,0014,0100,0035,0.00000000,"J48,J48_binarySplits,J48_useLaplace,J48_doNotMakeSplitPointActualValue,JRip,J48_useMDLcorrection,Aggregator,J48_pruning,SimpleCart,JRip_minNo,DecisionTable,PART,DecisionTable_evaluationMeasure,PART_useMDLcorrection,PART_binarySplits,J48_confidenceFactorValue,SimpleCart_minNumObj,J48_subtreeRaising,PART_minNumObj,J48_minNumObj,J48_collapseTree,DecisionTable_crossVal,JRip_usePruning,DecisionTable_useIBk,JRip_checkErrorRate,PART_doNotMakeSplitPointActualValue,JRip_optimizations,SimpleCart_usePrune,DecisionTable_search,PART_pruning,J48_numFolds,JRip_folds,SimpleCart_heuristic,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,SimpleCart_numFoldsPruning,BestFirst_direction,PART_confidenceFactorValue,PART_numFolds,SimpleCart_useOneSE,GreedyStepwise_searchBackwards"
1,99,0.00000000,0.00000000,0.00000000,0.99889826,0014,0100,0035,0.00000000,"Aggregator,JRip,PART,DecisionTable,PART_pruning,JRip_checkErrorRate,J48,J48_useMDLcorrection,PART_numFolds,SimpleCart,JRip_usePruning,PART_binarySplits,SimpleCart_heuristic,JRip_folds,J48_binarySplits,PART_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,DecisionTable_useIBk,JRip_minNo,J48_minNumObj,PART_useMDLcorrection,DecisionTable_search,DecisionTable_evaluationMeasure,PART_minNumObj,DecisionTable_crossVal,SimpleCart_usePrune,J48_pruning,JRip_optimizations,J48_confidenceFactorValue,SimpleCart_minNumObj,J48_collapseTree,SimpleCart_numFoldsPruning,J48_useLaplace,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,BestFirst_searchTermination,J48_subtreeRaising,J48_numFolds,GreedyStepwise_searchBackwards,BestFirst_direction,SimpleCart_useOneSE"
2,99,0.00000000,0.00000000,0.00000000,0.99889826,0011,0100,0035,0.00000000,"SimpleCart,Aggregator,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,JRip,SimpleCart_minNumObj,PART,JRip_usePruning,JRip_folds,J48,DecisionTable,J48_doNotMakeSplitPointActualValue,JRip_checkErrorRate,SimpleCart_heuristic,PART_useMDLcorrection,JRip_optimizations,DecisionTable_useIBk,DecisionTable_evaluationMeasure,DecisionTable_crossVal,PART_pruning,J48_useMDLcorrection,DecisionTable_search,PART_confidenceFactorValue,J48_pruning,J48_useLaplace,JRip_minNo,PART_minNumObj,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,PART_doNotMakeSplitPointActualValue,J48_minNumObj,J48_binarySplits,BestFirst_searchTermination,PART_binarySplits,J48_numFolds,J48_collapseTree,PART_numFolds,J48_confidenceFactorValue,GreedyStepwise_searchBackwards,J48_subtreeRaising"
3,99,0.00000000,0.00000000,0.00000000,0.99889826,0010,0100,0035,0.00000000,"PART,J48,PART_binarySplits,Aggregator,PART_doNotMakeSplitPointActualValue,J48_binarySplits,DecisionTable,PART_minNumObj,DecisionTable_evaluationMeasure,J48_pruning,J48_minNumObj,J48_useMDLcorrection,J48_confidenceFactorValue,SimpleCart,J48_useLaplace,SimpleCart_minNumObj,JRip,JRip_checkErrorRate,DecisionTable_search,JRip_minNo,PART_useMDLcorrection,PART_pruning,J48_collapseTree,SimpleCart_heuristic,DecisionTable_useIBk,GreedyStepwise_searchBackwards,J48_doNotMakeSplitPointActualValue,J48_numFolds,J48_subtreeRaising,BestFirst_searchTermination,DecisionTable_crossVal,GreedyStepwise_conservativeForwardSelection,PART_numFolds,SimpleCart_usePrune,SimpleCart_useOneSE,PART_confidenceFactorValue,JRip_usePruning,BestFirst_direction,SimpleCart_numFoldsPruning,JRip_optimizations,JRip_folds"
4,99,0.00000000,0.00000000,0.00000000,0.99889826,0008,0100,0035,0.00000000,"SimpleCart,DecisionTable,DecisionTable_crossVal,JRip,SimpleCart_heuristic,JRip_checkErrorRate,JRip_minNo,DecisionTable_evaluationMeasure,DecisionTable_useIBk,PART,PART_minNumObj,SimpleCart_minNumObj,JRip_usePruning,PART_doNotMakeSplitPointActualValue,SimpleCart_usePrune,SimpleCart_useOneSE,Aggregator,SimpleCart_numFoldsPruning,PART_useMDLcorrection,DecisionTable_search,BestFirst_searchTermination,J48,J48_collapseTree,GreedyStepwise_conservativeForwardSelection,PART_binarySplits,JRip_optimizations,J48_minNumObj,J48_useLaplace,PART_pruning,GreedyStepwise_searchBackwards,J48_useMDLcorrection,JRip_folds,BestFirst_direction,J48_doNotMakeSplitPointActualValue,PART_numFolds,J48_pruning,J48_confidenceFactorValue,J48_binarySplits,J48_subtreeRaising,PART_confidenceFactorValue,J48_numFolds"
5,99,0.00000000,0.00000000,0.00000000,0.99889826,0011,0100,0035,0.00000000,"JRip,JRip_minNo,J48,PART,J48_binarySplits,PART_useMDLcorrection,JRip_checkErrorRate,J48_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_usePrune,SimpleCart_useOneSE,DecisionTable,DecisionTable_crossVal,SimpleCart_heuristic,SimpleCart_minNumObj,J48_collapseTree,Aggregator,J48_pruning,PART_pruning,PART_binarySplits,DecisionTable_search,J48_useMDLcorrection,J48_minNumObj,J48_numFolds,JRip_usePruning,GreedyStepwise_conservativeForwardSelection,J48_useLaplace,PART_minNumObj,DecisionTable_useIBk,PART_doNotMakeSplitPointActualValue,SimpleCart_numFoldsPruning,DecisionTable_evaluationMeasure,PART_numFolds,J48_subtreeRaising,JRip_optimizations,BestFirst_searchTermination,GreedyStepwise_searchBackwards,JRip_folds,BestFirst_direction,J48_confidenceFactorValue,PART_confidenceFactorValue"
6,99,0.00000000,0.00000000,0.00000000,0.99889826,0034,0100,0050,0.27956334,"JRip,JRip_usePruning,PART,PART_useMDLcorrection,PART_binarySplits,SimpleCart,Aggregator,J48,J48_doNotMakeSplitPointActualValue,DecisionTable,J48_useMDLcorrection,J48_collapseTree,DecisionTable_useIBk,JRip_checkErrorRate,DecisionTable_search,J48_binarySplits,J48_useLaplace,PART_doNotMakeSplitPointActualValue,J48_pruning,SimpleCart_usePrune,SimpleCart_heuristic,DecisionTable_evaluationMeasure,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,SimpleCart_useOneSE,J48_subtreeRaising,PART_pruning,BestFirst_searchTermination,JRip_optimizations,PART_numFolds,SimpleCart_numFoldsPruning,JRip_minNo,J48_minNumObj,PART_confidenceFactorValue,DecisionTable_crossVal,J48_numFolds,PART_minNumObj,SimpleCart_minNumObj,BestFirst_direction,J48_confidenceFactorValue,JRip_folds"
7,99,0.00000000,0.00000000,0.00000000,0.99889826,0012,0100,0050,0.27956334,"J48,PART,PART_binarySplits,SimpleCart,PART_useMDLcorrection,J48_useMDLcorrection,SimpleCart_usePrune,J48_pruning,SimpleCart_useOneSE,J48_useLaplace,Aggregator,DecisionTable,J48_binarySplits,DecisionTable_useIBk,DecisionTable_search,J48_collapseTree,JRip,J48_doNotMakeSplitPointActualValue,PART_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,DecisionTable_evaluationMeasure,JRip_usePruning,SimpleCart_heuristic,J48_subtreeRaising,GreedyStepwise_searchBackwards,JRip_checkErrorRate,JRip_optimizations,JRip_folds,J48_confidenceFactorValue,BestFirst_direction,J48_minNumObj,PART_minNumObj,PART_pruning,PART_numFolds,BestFirst_searchTermination,JRip_minNo,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,J48_numFolds,DecisionTable_crossVal,PART_confidenceFactorValue"
8,99,0.00000000,0.00000000,0.00000000,0.99889826,0011,0100,0050,0.27956334,"JRip,JRip_usePruning,PART,DecisionTable,PART_useMDLcorrection,Aggregator,PART_binarySplits,DecisionTable_evaluationMeasure,SimpleCart,DecisionTable_search,PART_doNotMakeSplitPointActualValue,JRip_checkErrorRate,J48,J48_pruning,SimpleCart_heuristic,J48_useLaplace,GreedyStepwise_conservativeForwardSelection,J48_useMDLcorrection,DecisionTable_useIBk,J48_doNotMakeSplitPointActualValue,SimpleCart_usePrune,J48_subtreeRaising,GreedyStepwise_searchBackwards,J48_collapseTree,J48_binarySplits,SimpleCart_useOneSE,JRip_minNo,J48_minNumObj,SimpleCart_minNumObj,BestFirst_searchTermination,JRip_optimizations,SimpleCart_numFoldsPruning,DecisionTable_crossVal,J48_numFolds,PART_pruning,PART_minNumObj,PART_confidenceFactorValue,PART_numFolds,JRip_folds,J48_confidenceFactorValue,BestFirst_direction"
9,99,0.00000000,0.00000000,0.00000000,0.99889826,0010,0100,0050,0.27956334,"J48,J48_pruning,SimpleCart,J48_subtreeRaising,PART,J48_collapseTree,DecisionTable,Aggregator,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,JRip,SimpleCart_heuristic,JRip_checkErrorRate,PART_binarySplits,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,J48_doNotMakeSplitPointActualValue,J48_useLaplace,DecisionTable_useIBk,J48_binarySplits,SimpleCart_usePrune,SimpleCart_useOneSE,J48_useMDLcorrection,DecisionTable_evaluationMeasure,GreedyStepwise_searchBackwards,JRip_usePruning,J48_minNumObj,SimpleCart_numFoldsPruning,JRip_folds,BestFirst_direction,J48_confidenceFactorValue,SimpleCart_minNumObj,JRip_minNo,DecisionTable_crossVal,J48_numFolds,PART_minNumObj,PART_pruning,PART_confidenceFactorValue,PART_numFolds,BestFirst_searchTermination,JRip_optimizations"
