gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.00000000,0.00000000,0.00000000,0.74284990,0019,0100,0035,0.00000000,"Aggregator,J48,J48_useMDLcorrection,SimpleCart,JRip,PART,J48_minNumObj,JRip_usePruning,SimpleCart_usePrune,SimpleCart_minNumObj,SimpleCart_numFoldsPruning,JRip_minNo,DecisionTable,J48_binarySplits,J48_pruning,SimpleCart_heuristic,J48_useLaplace,J48_collapseTree,JRip_optimizations,JRip_folds,J48_doNotMakeSplitPointActualValue,PART_binarySplits,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,PART_minNumObj,SimpleCart_useOneSE,DecisionTable_crossVal,JRip_checkErrorRate,PART_pruning,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_evaluationMeasure,DecisionTable_search,DecisionTable_useIBk,J48_confidenceFactorValue,J48_numFolds,GreedyStepwise_searchBackwards,BestFirst_direction,PART_numFolds,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination"
1,99,0.00000000,0.00000000,0.00000000,0.74661456,0017,0100,0035,0.00000000,"JRip,J48,J48_useLaplace,Aggregator,J48_binarySplits,PART,JRip_minNo,J48_doNotMakeSplitPointActualValue,DecisionTable,PART_doNotMakeSplitPointActualValue,DecisionTable_search,BestFirst_searchTermination,J48_minNumObj,PART_pruning,JRip_usePruning,J48_collapseTree,SimpleCart,BestFirst_direction,J48_pruning,JRip_optimizations,JRip_checkErrorRate,J48_useMDLcorrection,PART_binarySplits,J48_numFolds,GreedyStepwise_conservativeForwardSelection,DecisionTable_useIBk,JRip_folds,PART_minNumObj,DecisionTable_evaluationMeasure,PART_useMDLcorrection,PART_confidenceFactorValue,PART_numFolds,GreedyStepwise_searchBackwards,SimpleCart_usePrune,DecisionTable_crossVal,J48_confidenceFactorValue,J48_subtreeRaising,SimpleCart_minNumObj,SimpleCart_heuristic,SimpleCart_useOneSE,SimpleCart_numFoldsPruning"
2,99,0.00000000,0.00000000,0.00000000,0.74661456,0015,0100,0035,0.00000000,"PART,JRip,JRip_usePruning,JRip_minNo,PART_pruning,JRip_checkErrorRate,SimpleCart,PART_binarySplits,J48,JRip_optimizations,PART_useMDLcorrection,JRip_folds,Aggregator,SimpleCart_usePrune,DecisionTable,SimpleCart_minNumObj,PART_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,PART_minNumObj,DecisionTable_useIBk,J48_useMDLcorrection,DecisionTable_crossVal,J48_minNumObj,SimpleCart_useOneSE,J48_collapseTree,PART_numFolds,J48_doNotMakeSplitPointActualValue,SimpleCart_heuristic,DecisionTable_search,J48_useLaplace,J48_pruning,BestFirst_searchTermination,J48_binarySplits,J48_subtreeRaising,SimpleCart_numFoldsPruning,GreedyStepwise_conservativeForwardSelection,DecisionTable_evaluationMeasure,BestFirst_direction,J48_confidenceFactorValue,GreedyStepwise_searchBackwards,J48_numFolds"
3,99,0.00000000,0.00000000,0.00000000,0.74661456,0016,0100,0035,0.00000000,"DecisionTable,J48,J48_useMDLcorrection,Aggregator,JRip,PART,PART_binarySplits,J48_binarySplits,DecisionTable_crossVal,J48_minNumObj,DecisionTable_search,BestFirst_searchTermination,SimpleCart,JRip_checkErrorRate,JRip_minNo,SimpleCart_usePrune,DecisionTable_useIBk,GreedyStepwise_searchBackwards,DecisionTable_evaluationMeasure,J48_doNotMakeSplitPointActualValue,J48_useLaplace,SimpleCart_minNumObj,SimpleCart_numFoldsPruning,SimpleCart_heuristic,JRip_usePruning,J48_pruning,GreedyStepwise_conservativeForwardSelection,PART_minNumObj,PART_doNotMakeSplitPointActualValue,J48_collapseTree,J48_subtreeRaising,PART_useMDLcorrection,BestFirst_direction,JRip_optimizations,SimpleCart_useOneSE,PART_pruning,J48_confidenceFactorValue,PART_numFolds,JRip_folds,J48_numFolds,PART_confidenceFactorValue"
4,99,0.00000000,0.00000000,0.00000000,0.74661456,0014,0100,0035,0.00000000,"Aggregator,SimpleCart,JRip,JRip_minNo,DecisionTable,PART,JRip_checkErrorRate,DecisionTable_useIBk,PART_pruning,J48,J48_minNumObj,PART_binarySplits,SimpleCart_usePrune,J48_useMDLcorrection,SimpleCart_minNumObj,JRip_usePruning,JRip_optimizations,SimpleCart_useOneSE,DecisionTable_evaluationMeasure,J48_useLaplace,SimpleCart_heuristic,PART_confidenceFactorValue,PART_useMDLcorrection,J48_collapseTree,DecisionTable_crossVal,PART_minNumObj,PART_doNotMakeSplitPointActualValue,JRip_folds,DecisionTable_search,PART_numFolds,SimpleCart_numFoldsPruning,J48_pruning,J48_doNotMakeSplitPointActualValue,J48_binarySplits,J48_numFolds,J48_confidenceFactorValue,BestFirst_direction,GreedyStepwise_searchBackwards,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,J48_subtreeRaising"
5,99,0.00000000,0.00000000,0.00000000,0.74661456,0016,0100,0035,0.00000000,"J48,PART,PART_binarySplits,PART_pruning,J48_binarySplits,PART_confidenceFactorValue,PART_useMDLcorrection,DecisionTable,SimpleCart,JRip,PART_minNumObj,JRip_checkErrorRate,Aggregator,SimpleCart_minNumObj,DecisionTable_useIBk,DecisionTable_evaluationMeasure,J48_pruning,J48_useMDLcorrection,JRip_usePruning,J48_useLaplace,J48_minNumObj,J48_collapseTree,DecisionTable_search,J48_numFolds,J48_doNotMakeSplitPointActualValue,PART_doNotMakeSplitPointActualValue,SimpleCart_usePrune,GreedyStepwise_conservativeForwardSelection,PART_numFolds,BestFirst_searchTermination,J48_subtreeRaising,GreedyStepwise_searchBackwards,DecisionTable_crossVal,JRip_minNo,SimpleCart_heuristic,JRip_folds,JRip_optimizations,SimpleCart_numFoldsPruning,J48_confidenceFactorValue,BestFirst_direction,SimpleCart_useOneSE"
6,99,0.00000000,0.00000000,0.00000000,0.74661456,0052,0100,0050,0.28606787,"DecisionTable,DecisionTable_useIBk,JRip,SimpleCart,J48,J48_doNotMakeSplitPointActualValue,Aggregator,DecisionTable_search,PART,J48_collapseTree,JRip_checkErrorRate,SimpleCart_heuristic,JRip_usePruning,PART_useMDLcorrection,J48_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,PART_doNotMakeSplitPointActualValue,PART_pruning,PART_binarySplits,SimpleCart_usePrune,GreedyStepwise_searchBackwards,SimpleCart_useOneSE,J48_useLaplace,J48_pruning,J48_binarySplits,J48_subtreeRaising,J48_numFolds,SimpleCart_numFoldsPruning,PART_minNumObj,J48_confidenceFactorValue,JRip_folds,J48_minNumObj,JRip_optimizations,PART_numFolds,BestFirst_direction,BestFirst_searchTermination,DecisionTable_crossVal,DecisionTable_evaluationMeasure,JRip_minNo,PART_confidenceFactorValue,SimpleCart_minNumObj"
7,99,0.00000000,0.00000000,0.00000000,0.74661456,0016,0100,0050,0.28606787,"DecisionTable,DecisionTable_search,PART,PART_binarySplits,Aggregator,PART_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,JRip,JRip_checkErrorRate,GreedyStepwise_searchBackwards,DecisionTable_useIBk,SimpleCart,SimpleCart_usePrune,J48,PART_pruning,J48_doNotMakeSplitPointActualValue,J48_collapseTree,PART_doNotMakeSplitPointActualValue,J48_binarySplits,SimpleCart_useOneSE,J48_pruning,JRip_usePruning,SimpleCart_heuristic,J48_useMDLcorrection,J48_subtreeRaising,J48_useLaplace,J48_confidenceFactorValue,J48_numFolds,SimpleCart_numFoldsPruning,PART_numFolds,J48_minNumObj,BestFirst_direction,DecisionTable_evaluationMeasure,DecisionTable_crossVal,PART_minNumObj,JRip_optimizations,BestFirst_searchTermination,SimpleCart_minNumObj,PART_confidenceFactorValue,JRip_minNo,JRip_folds"
8,99,0.00000000,0.00000000,0.00000000,0.74661456,0015,0100,0050,0.28606787,"DecisionTable,PART,SimpleCart,PART_binarySplits,DecisionTable_useIBk,PART_useMDLcorrection,Aggregator,PART_doNotMakeSplitPointActualValue,PART_pruning,JRip,SimpleCart_usePrune,JRip_usePruning,J48,DecisionTable_search,SimpleCart_heuristic,J48_binarySplits,GreedyStepwise_searchBackwards,SimpleCart_useOneSE,JRip_checkErrorRate,J48_useLaplace,GreedyStepwise_conservativeForwardSelection,J48_pruning,J48_doNotMakeSplitPointActualValue,J48_collapseTree,J48_useMDLcorrection,J48_subtreeRaising,JRip_optimizations,PART_numFolds,BestFirst_searchTermination,BestFirst_direction,J48_confidenceFactorValue,J48_minNumObj,JRip_folds,DecisionTable_evaluationMeasure,DecisionTable_crossVal,JRip_minNo,PART_confidenceFactorValue,SimpleCart_minNumObj,PART_minNumObj,SimpleCart_numFoldsPruning,J48_numFolds"
9,99,0.00000000,0.00000000,0.00000000,0.74661456,0015,0100,0050,0.28606787,"Aggregator,SimpleCart,DecisionTable,JRip,PART,J48,JRip_checkErrorRate,SimpleCart_heuristic,J48_pruning,DecisionTable_useIBk,SimpleCart_usePrune,J48_binarySplits,J48_useMDLcorrection,DecisionTable_search,SimpleCart_useOneSE,PART_binarySplits,PART_useMDLcorrection,JRip_usePruning,J48_doNotMakeSplitPointActualValue,J48_collapseTree,GreedyStepwise_conservativeForwardSelection,J48_subtreeRaising,PART_doNotMakeSplitPointActualValue,J48_useLaplace,PART_pruning,GreedyStepwise_searchBackwards,PART_numFolds,J48_minNumObj,DecisionTable_crossVal,BestFirst_direction,DecisionTable_evaluationMeasure,J48_confidenceFactorValue,JRip_folds,PART_confidenceFactorValue,BestFirst_searchTermination,SimpleCart_minNumObj,JRip_optimizations,JRip_minNo,PART_minNumObj,J48_numFolds,SimpleCart_numFoldsPruning"
