gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.00000000,0.00000000,0.00000000,0.80645010,0024,0100,0035,0.00000000,"JRip,SimpleCart,Aggregator,SimpleCart_heuristic,J48,J48_pruning,PART,J48_doNotMakeSplitPointActualValue,DecisionTable,SimpleCart_minNumObj,J48_minNumObj,J48_subtreeRaising,J48_numFolds,J48_useLaplace,JRip_minNo,PART_binarySplits,JRip_checkErrorRate,DecisionTable_search,J48_useMDLcorrection,BestFirst_searchTermination,DecisionTable_evaluationMeasure,PART_useMDLcorrection,J48_binarySplits,BestFirst_direction,PART_pruning,JRip_usePruning,SimpleCart_usePrune,SimpleCart_useOneSE,J48_confidenceFactorValue,DecisionTable_useIBk,J48_collapseTree,PART_minNumObj,GreedyStepwise_searchBackwards,JRip_optimizations,DecisionTable_crossVal,PART_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,SimpleCart_numFoldsPruning,JRip_folds,PART_numFolds"
1,99,0.00000000,0.00000000,0.00000000,0.80645010,0021,0100,0035,0.00000000,"SimpleCart,Aggregator,DecisionTable,SimpleCart_minNumObj,PART,PART_binarySplits,PART_pruning,PART_numFolds,DecisionTable_crossVal,DecisionTable_search,J48,PART_doNotMakeSplitPointActualValue,DecisionTable_evaluationMeasure,SimpleCart_usePrune,SimpleCart_heuristic,J48_useLaplace,JRip,PART_useMDLcorrection,PART_minNumObj,JRip_checkErrorRate,J48_minNumObj,DecisionTable_useIBk,J48_collapseTree,J48_binarySplits,BestFirst_searchTermination,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,JRip_usePruning,BestFirst_direction,J48_useMDLcorrection,J48_pruning,J48_subtreeRaising,JRip_minNo,GreedyStepwise_searchBackwards,SimpleCart_numFoldsPruning,J48_doNotMakeSplitPointActualValue,JRip_folds,SimpleCart_useOneSE,J48_numFolds,JRip_optimizations,J48_confidenceFactorValue"
2,99,0.00000000,0.00000000,0.00000000,0.80645010,0020,0100,0035,0.00000000,"J48,PART,J48_pruning,J48_binarySplits,J48_doNotMakeSplitPointActualValue,J48_collapseTree,PART_minNumObj,J48_minNumObj,SimpleCart,SimpleCart_usePrune,PART_pruning,PART_useMDLcorrection,J48_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,Aggregator,J48_useLaplace,DecisionTable,DecisionTable_useIBk,SimpleCart_heuristic,JRip,DecisionTable_search,J48_numFolds,PART_numFolds,GreedyStepwise_searchBackwards,J48_useMDLcorrection,JRip_minNo,BestFirst_direction,SimpleCart_useOneSE,DecisionTable_crossVal,BestFirst_searchTermination,PART_binarySplits,PART_confidenceFactorValue,J48_subtreeRaising,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,GreedyStepwise_conservativeForwardSelection,DecisionTable_evaluationMeasure,JRip_usePruning,JRip_checkErrorRate,JRip_folds,JRip_optimizations"
3,99,0.00000000,0.00000000,0.00000000,0.80645010,0021,0100,0035,0.00000000,"J48,SimpleCart,JRip,JRip_minNo,PART,J48_binarySplits,JRip_checkErrorRate,J48_pruning,PART_useMDLcorrection,J48_collapseTree,JRip_usePruning,DecisionTable,PART_pruning,PART_binarySplits,J48_subtreeRaising,DecisionTable_useIBk,PART_confidenceFactorValue,Aggregator,J48_minNumObj,PART_numFolds,J48_doNotMakeSplitPointActualValue,JRip_optimizations,PART_minNumObj,J48_useLaplace,SimpleCart_minNumObj,DecisionTable_search,J48_useMDLcorrection,JRip_folds,SimpleCart_usePrune,J48_confidenceFactorValue,SimpleCart_heuristic,GreedyStepwise_searchBackwards,DecisionTable_evaluationMeasure,PART_doNotMakeSplitPointActualValue,J48_numFolds,DecisionTable_crossVal,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination"
4,99,0.00000000,0.00000000,0.00000000,0.80645010,0021,0100,0035,0.00000000,"JRip,JRip_checkErrorRate,Aggregator,DecisionTable,DecisionTable_crossVal,J48,J48_minNumObj,SimpleCart,DecisionTable_evaluationMeasure,SimpleCart_heuristic,JRip_usePruning,PART,JRip_minNo,PART_useMDLcorrection,SimpleCart_usePrune,SimpleCart_minNumObj,J48_collapseTree,J48_useLaplace,PART_binarySplits,J48_doNotMakeSplitPointActualValue,DecisionTable_search,PART_doNotMakeSplitPointActualValue,GreedyStepwise_searchBackwards,JRip_folds,J48_useMDLcorrection,J48_pruning,DecisionTable_useIBk,PART_minNumObj,JRip_optimizations,GreedyStepwise_conservativeForwardSelection,SimpleCart_numFoldsPruning,J48_subtreeRaising,J48_binarySplits,J48_numFolds,SimpleCart_useOneSE,PART_pruning,BestFirst_searchTermination,BestFirst_direction,J48_confidenceFactorValue,PART_numFolds,PART_confidenceFactorValue"
5,99,0.00000000,0.00000000,0.00000000,0.80645010,0020,0100,0035,0.00000000,"SimpleCart,SimpleCart_usePrune,DecisionTable,J48,J48_pruning,PART,SimpleCart_minNumObj,DecisionTable_useIBk,SimpleCart_heuristic,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,Aggregator,JRip,J48_numFolds,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,J48_useLaplace,DecisionTable_evaluationMeasure,J48_minNumObj,J48_subtreeRaising,DecisionTable_crossVal,JRip_checkErrorRate,PART_pruning,J48_binarySplits,J48_useMDLcorrection,DecisionTable_search,PART_binarySplits,J48_doNotMakeSplitPointActualValue,J48_collapseTree,GreedyStepwise_conservativeForwardSelection,JRip_usePruning,BestFirst_direction,J48_confidenceFactorValue,PART_minNumObj,JRip_minNo,BestFirst_searchTermination,PART_numFolds,PART_confidenceFactorValue,JRip_optimizations,GreedyStepwise_searchBackwards,JRip_folds"
6,99,0.00000000,0.00000000,0.00000000,0.80645010,0046,0100,0052,0.26391857,"Aggregator,DecisionTable,SimpleCart,DecisionTable_useIBk,JRip,PART,PART_useMDLcorrection,J48,DecisionTable_search,SimpleCart_heuristic,J48_doNotMakeSplitPointActualValue,J48_collapseTree,SimpleCart_usePrune,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,J48_useLaplace,SimpleCart_useOneSE,J48_binarySplits,J48_useMDLcorrection,JRip_checkErrorRate,JRip_usePruning,PART_doNotMakeSplitPointActualValue,PART_binarySplits,J48_pruning,J48_subtreeRaising,JRip_folds,JRip_minNo,PART_minNumObj,J48_numFolds,PART_pruning,PART_confidenceFactorValue,J48_confidenceFactorValue,DecisionTable_crossVal,PART_numFolds,BestFirst_direction,SimpleCart_numFoldsPruning,BestFirst_searchTermination,DecisionTable_evaluationMeasure,SimpleCart_minNumObj,JRip_optimizations,J48_minNumObj"
7,99,0.00000000,0.00000000,0.00000000,0.80645010,0020,0100,0052,0.26391857,"SimpleCart,SimpleCart_usePrune,PART,PART_useMDLcorrection,SimpleCart_useOneSE,JRip,Aggregator,J48,J48_collapseTree,DecisionTable,DecisionTable_useIBk,JRip_checkErrorRate,JRip_usePruning,SimpleCart_heuristic,J48_binarySplits,J48_useMDLcorrection,PART_binarySplits,PART_doNotMakeSplitPointActualValue,J48_doNotMakeSplitPointActualValue,DecisionTable_search,J48_useLaplace,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_searchTermination,JRip_optimizations,JRip_folds,JRip_minNo,PART_minNumObj,J48_minNumObj,PART_pruning,PART_numFolds,SimpleCart_numFoldsPruning,BestFirst_direction,DecisionTable_crossVal,DecisionTable_evaluationMeasure,J48_pruning,SimpleCart_minNumObj,J48_subtreeRaising,J48_confidenceFactorValue,PART_confidenceFactorValue,J48_numFolds"
8,99,0.00000000,0.00000000,0.00000000,0.80645010,0021,0100,0052,0.26391857,"Aggregator,J48,PART,DecisionTable,J48_doNotMakeSplitPointActualValue,J48_binarySplits,DecisionTable_useIBk,JRip,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,J48_useLaplace,JRip_checkErrorRate,GreedyStepwise_conservativeForwardSelection,J48_collapseTree,GreedyStepwise_searchBackwards,J48_useMDLcorrection,PART_useMDLcorrection,PART_binarySplits,JRip_usePruning,SimpleCart_heuristic,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,J48_pruning,J48_subtreeRaising,JRip_optimizations,J48_minNumObj,DecisionTable_crossVal,BestFirst_direction,BestFirst_searchTermination,JRip_folds,J48_confidenceFactorValue,PART_minNumObj,JRip_minNo,J48_numFolds,PART_pruning,PART_confidenceFactorValue,PART_numFolds,DecisionTable_evaluationMeasure,SimpleCart_minNumObj"
9,99,0.00000000,0.00000000,0.00000000,0.80645010,0020,0100,0052,0.26391857,"JRip,DecisionTable,J48,Aggregator,J48_useMDLcorrection,J48_binarySplits,DecisionTable_search,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,J48_useLaplace,SimpleCart,JRip_checkErrorRate,J48_collapseTree,PART,DecisionTable_useIBk,J48_doNotMakeSplitPointActualValue,PART_binarySplits,JRip_usePruning,PART_doNotMakeSplitPointActualValue,SimpleCart_heuristic,PART_useMDLcorrection,SimpleCart_usePrune,SimpleCart_useOneSE,BestFirst_searchTermination,JRip_optimizations,JRip_folds,J48_minNumObj,JRip_minNo,PART_minNumObj,PART_pruning,PART_numFolds,SimpleCart_minNumObj,DecisionTable_evaluationMeasure,SimpleCart_numFoldsPruning,BestFirst_direction,DecisionTable_crossVal,J48_pruning,J48_confidenceFactorValue,PART_confidenceFactorValue,J48_numFolds,J48_subtreeRaising"
