gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.00000000,0.00000000,0.00000000,0.93718898,0019,0100,0035,0.00000000,"DecisionTable,DecisionTable_crossVal,JRip,PART,JRip_usePruning,PART_doNotMakeSplitPointActualValue,PART_pruning,PART_confidenceFactorValue,PART_binarySplits,DecisionTable_evaluationMeasure,JRip_folds,JRip_checkErrorRate,SimpleCart,Aggregator,J48,J48_pruning,J48_useLaplace,JRip_optimizations,J48_subtreeRaising,PART_useMDLcorrection,JRip_minNo,DecisionTable_useIBk,J48_confidenceFactorValue,DecisionTable_search,PART_numFolds,J48_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,SimpleCart_heuristic,PART_minNumObj,J48_collapseTree,GreedyStepwise_searchBackwards,SimpleCart_usePrune,BestFirst_searchTermination,J48_numFolds,J48_minNumObj,BestFirst_direction,J48_binarySplits,SimpleCart_numFoldsPruning,J48_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,SimpleCart_useOneSE"
1,99,0.00000000,0.00000000,0.00000000,0.93771704,0014,0100,0035,0.00000000,"J48,J48_pruning,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,PART,SimpleCart,PART_binarySplits,PART_pruning,Aggregator,DecisionTable,J48_collapseTree,DecisionTable_evaluationMeasure,SimpleCart_minNumObj,DecisionTable_search,J48_confidenceFactorValue,BestFirst_searchTermination,J48_useLaplace,JRip,J48_numFolds,J48_binarySplits,BestFirst_direction,GreedyStepwise_searchBackwards,J48_minNumObj,JRip_usePruning,PART_minNumObj,GreedyStepwise_conservativeForwardSelection,J48_subtreeRaising,PART_confidenceFactorValue,SimpleCart_usePrune,DecisionTable_crossVal,JRip_minNo,PART_numFolds,SimpleCart_heuristic,PART_doNotMakeSplitPointActualValue,DecisionTable_useIBk,PART_useMDLcorrection,JRip_checkErrorRate,JRip_folds,SimpleCart_useOneSE,JRip_optimizations,SimpleCart_numFoldsPruning"
2,99,0.00000000,0.00000000,0.00000000,0.93906977,0013,0100,0035,0.00000000,"PART,DecisionTable,J48,PART_doNotMakeSplitPointActualValue,J48_collapseTree,DecisionTable_evaluationMeasure,DecisionTable_useIBk,PART_binarySplits,PART_minNumObj,Aggregator,J48_minNumObj,JRip,J48_doNotMakeSplitPointActualValue,SimpleCart,DecisionTable_search,PART_useMDLcorrection,BestFirst_direction,JRip_checkErrorRate,PART_pruning,J48_useMDLcorrection,J48_binarySplits,J48_pruning,DecisionTable_crossVal,J48_useLaplace,JRip_minNo,SimpleCart_minNumObj,BestFirst_searchTermination,SimpleCart_heuristic,JRip_usePruning,J48_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,PART_numFolds,GreedyStepwise_searchBackwards,SimpleCart_usePrune,PART_confidenceFactorValue,J48_subtreeRaising,SimpleCart_numFoldsPruning,J48_numFolds,JRip_optimizations,SimpleCart_useOneSE,JRip_folds"
3,99,0.00000000,0.00000000,0.00000000,0.93906977,0012,0100,0035,0.00000000,"J48,SimpleCart,DecisionTable,J48_binarySplits,J48_doNotMakeSplitPointActualValue,DecisionTable_evaluationMeasure,SimpleCart_minNumObj,Aggregator,J48_useLaplace,DecisionTable_crossVal,J48_minNumObj,JRip,PART,DecisionTable_search,SimpleCart_usePrune,PART_useMDLcorrection,PART_binarySplits,BestFirst_direction,J48_useMDLcorrection,PART_pruning,JRip_minNo,SimpleCart_heuristic,J48_pruning,J48_confidenceFactorValue,BestFirst_searchTermination,SimpleCart_useOneSE,J48_collapseTree,J48_numFolds,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,J48_subtreeRaising,DecisionTable_useIBk,PART_doNotMakeSplitPointActualValue,JRip_checkErrorRate,PART_numFolds,PART_minNumObj,JRip_usePruning,GreedyStepwise_conservativeForwardSelection,JRip_optimizations,JRip_folds,PART_confidenceFactorValue"
4,99,0.00000000,0.00000000,0.00000000,0.93906977,0014,0100,0035,0.00000000,"J48,Aggregator,SimpleCart,DecisionTable,J48_pruning,DecisionTable_evaluationMeasure,J48_numFolds,J48_binarySplits,DecisionTable_useIBk,J48_confidenceFactorValue,JRip,SimpleCart_heuristic,PART,PART_minNumObj,J48_collapseTree,SimpleCart_minNumObj,PART_doNotMakeSplitPointActualValue,J48_useMDLcorrection,J48_useLaplace,DecisionTable_search,J48_minNumObj,J48_doNotMakeSplitPointActualValue,J48_subtreeRaising,PART_useMDLcorrection,BestFirst_searchTermination,SimpleCart_usePrune,JRip_checkErrorRate,BestFirst_direction,DecisionTable_crossVal,JRip_usePruning,GreedyStepwise_conservativeForwardSelection,PART_pruning,JRip_folds,PART_binarySplits,JRip_minNo,GreedyStepwise_searchBackwards,PART_numFolds,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,JRip_optimizations,PART_confidenceFactorValue"
5,99,0.00000000,0.00000000,0.00000000,0.93906977,0015,0100,0035,0.00000000,"DecisionTable,PART,DecisionTable_crossVal,J48,DecisionTable_evaluationMeasure,DecisionTable_search,PART_minNumObj,J48_pruning,JRip,JRip_minNo,Aggregator,BestFirst_searchTermination,DecisionTable_useIBk,JRip_usePruning,SimpleCart,J48_doNotMakeSplitPointActualValue,PART_pruning,J48_minNumObj,JRip_optimizations,PART_useMDLcorrection,J48_binarySplits,J48_collapseTree,J48_useMDLcorrection,BestFirst_direction,J48_useLaplace,JRip_folds,PART_binarySplits,SimpleCart_minNumObj,PART_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,J48_confidenceFactorValue,JRip_checkErrorRate,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,SimpleCart_usePrune,SimpleCart_heuristic,SimpleCart_useOneSE,PART_numFolds,J48_subtreeRaising,J48_numFolds,SimpleCart_numFoldsPruning"
6,99,0.00000000,0.00000000,0.00000000,0.93906977,0044,0100,0053,0.25287258,"SimpleCart,PART,DecisionTable,Aggregator,J48,PART_useMDLcorrection,PART_pruning,SimpleCart_usePrune,J48_doNotMakeSplitPointActualValue,DecisionTable_search,JRip,DecisionTable_useIBk,SimpleCart_useOneSE,SimpleCart_heuristic,PART_binarySplits,J48_useLaplace,PART_doNotMakeSplitPointActualValue,JRip_usePruning,J48_collapseTree,JRip_checkErrorRate,J48_binarySplits,J48_pruning,J48_subtreeRaising,DecisionTable_crossVal,J48_useMDLcorrection,J48_numFolds,DecisionTable_evaluationMeasure,SimpleCart_minNumObj,BestFirst_direction,PART_minNumObj,SimpleCart_numFoldsPruning,PART_confidenceFactorValue,JRip_minNo,J48_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,PART_numFolds,JRip_optimizations,J48_minNumObj,BestFirst_searchTermination,JRip_folds"
7,99,0.00000000,0.00000000,0.00000000,0.93906977,0014,0100,0053,0.25287258,"J48,J48_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_heuristic,J48_useLaplace,DecisionTable,J48_pruning,DecisionTable_useIBk,J48_collapseTree,Aggregator,JRip,PART,SimpleCart_usePrune,J48_binarySplits,PART_binarySplits,J48_subtreeRaising,JRip_usePruning,DecisionTable_search,SimpleCart_useOneSE,PART_pruning,PART_useMDLcorrection,JRip_checkErrorRate,PART_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,SimpleCart_minNumObj,J48_useMDLcorrection,PART_numFolds,JRip_minNo,BestFirst_direction,GreedyStepwise_searchBackwards,J48_numFolds,JRip_optimizations,BestFirst_searchTermination,J48_confidenceFactorValue,DecisionTable_evaluationMeasure,J48_minNumObj,JRip_folds,PART_minNumObj,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,DecisionTable_crossVal"
8,99,0.00000000,0.00000000,0.00000000,0.93906977,0016,0100,0053,0.25287258,"DecisionTable,J48,DecisionTable_useIBk,Aggregator,J48_binarySplits,J48_useLaplace,J48_collapseTree,JRip,PART,SimpleCart,PART_useMDLcorrection,J48_doNotMakeSplitPointActualValue,JRip_checkErrorRate,DecisionTable_search,J48_pruning,PART_binarySplits,J48_subtreeRaising,JRip_usePruning,SimpleCart_heuristic,SimpleCart_usePrune,PART_doNotMakeSplitPointActualValue,PART_pruning,SimpleCart_useOneSE,JRip_folds,PART_minNumObj,JRip_minNo,GreedyStepwise_conservativeForwardSelection,J48_minNumObj,J48_useMDLcorrection,GreedyStepwise_searchBackwards,J48_confidenceFactorValue,J48_numFolds,DecisionTable_evaluationMeasure,SimpleCart_minNumObj,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,DecisionTable_crossVal,BestFirst_searchTermination,JRip_optimizations,PART_numFolds,BestFirst_direction"
9,99,0.00000000,0.00000000,0.00000000,0.93906977,0014,0100,0053,0.25287258,"DecisionTable,JRip,SimpleCart,DecisionTable_useIBk,JRip_checkErrorRate,Aggregator,SimpleCart_usePrune,SimpleCart_useOneSE,J48,DecisionTable_search,SimpleCart_heuristic,JRip_usePruning,J48_pruning,PART,J48_doNotMakeSplitPointActualValue,J48_binarySplits,PART_useMDLcorrection,PART_binarySplits,J48_subtreeRaising,PART_pruning,J48_useLaplace,PART_doNotMakeSplitPointActualValue,J48_collapseTree,PART_numFolds,J48_numFolds,SimpleCart_minNumObj,BestFirst_direction,J48_useMDLcorrection,DecisionTable_evaluationMeasure,JRip_optimizations,JRip_minNo,GreedyStepwise_searchBackwards,BestFirst_searchTermination,J48_minNumObj,J48_confidenceFactorValue,JRip_folds,GreedyStepwise_conservativeForwardSelection,PART_minNumObj,SimpleCart_numFoldsPruning,PART_confidenceFactorValue,DecisionTable_crossVal"
