individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,false,reducedErrorPruning,true,false,0.15,null,false,true,null,null,true,false,null,true,null,4,false,confidenceFactor,null,false,false,null,false,true,8,true,false,null,CompetenceBasedAggregator,false,false,2,2,null,null,true,7,null,false,9,null,null,0.9997847442370161,-PART -J -C 0.15 -M 4 -SimpleCart -C 1.0 -S 1 -M 2 -N 8 -Aggregator CompetenceBasedAggregator -JRip -P -E -N 2 -J48 -O -R -Q 1 -S -M 9 -N 7 
gen_000_ind_000,null,confidenceFactor,true,true,null,null,true,false,null,null,true,false,0.15,true,null,5,false,reducedErrorPruning,null,null,true,null,false,true,9,false,true,null,RuleExtractorAggregator,false,false,9,null,null,2,true,null,null,false,8,null,null,null,-PART -B -M 5 -R -Q 1 -N 2 -SimpleCart -H -C 1.0 -S 1 -N 9 -M 9 -Aggregator RuleExtractorAggregator -J48 -O -C 0.15 -M 8 -B 
gen_000_ind_001,true,confidenceFactor,false,true,null,9,true,true,0,4,true,true,0.25,true,null,3,null,unpruned,false,false,true,weka.attributeSelection.BestFirst,false,true,null,true,false,acc,RuleExtractorAggregator,true,false,10,4,null,null,true,null,null,false,2,null,null,null,-DecisionTable -X 9 -E acc -S weka.attributeSelection.BestFirst -PART -M 3 -U -SimpleCart -U -M 10 -Aggregator RuleExtractorAggregator -BestFirst -N 4 -D 0 -JRip -P -N 4 -J48 -A -O -C 0.25 -M 2 -B 
gen_000_ind_002,true,confidenceFactor,true,true,null,9,false,true,1,10,true,true,0.25,true,9,4,true,reducedErrorPruning,false,true,false,weka.attributeSelection.BestFirst,true,true,9,true,true,acc,CompetenceBasedAggregator,false,true,6,5,2,10,true,null,null,false,4,null,null,null,-DecisionTable -X 9 -E acc -S weka.attributeSelection.BestFirst -PART -doNotMakeSplitPointActualValue -J -B -M 4 -R -Q 1 -N 10 -SimpleCart -C 1.0 -S 1 -N 9 -A -M 6 -Aggregator CompetenceBasedAggregator -BestFirst -N 10 -D 1 -JRip -N 5 -O 9 -F 2 -J48 -C 0.25 -M 4 
gen_000_ind_003,false,confidenceFactor,true,false,null,1,false,true,null,null,true,true,0.05,true,6,4,true,unpruned,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,10,true,false,acc,CompetenceBasedAggregator,false,false,4,7,2,null,false,null,false,false,2,false,null,null,-DecisionTable -I -X 1 -E acc -S weka.attributeSelection.GreedyStepwise -PART -M 4 -U -SimpleCart -C 1.0 -S 1 -N 10 -A -M 4 -Aggregator CompetenceBasedAggregator -JRip -E -N 7 -O 6 -F 2 -J48 -J -O -C 0.05 -M 2 -S 
gen_000_ind_004,false,unpruned,true,null,0.45,3,true,true,1,7,true,true,null,true,null,5,true,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,true,true,6,true,false,mae,RuleExtractorAggregator,true,false,2,9,null,null,true,null,null,true,5,null,null,null,-DecisionTable -X 3 -E mae -S weka.attributeSelection.BestFirst -PART -doNotMakeSplitPointActualValue -J -M 5 -C 0.45 -SimpleCart -C 1.0 -S 1 -N 6 -A -M 2 -Aggregator RuleExtractorAggregator -BestFirst -N 7 -D 1 -JRip -E -P -N 9 -J48 -A -doNotMakeSplitPointActualValue -O -U -M 5 -B 
gen_000_ind_005,true,confidenceFactor,false,false,null,2,false,true,null,null,true,true,0.15,true,null,9,null,reducedErrorPruning,false,false,false,weka.attributeSelection.GreedyStepwise,true,true,null,true,true,rmse,CompetenceBasedAggregator,true,true,3,4,null,9,true,null,true,true,3,true,null,null,-DecisionTable -X 2 -E rmse -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -B -C -PART -doNotMakeSplitPointActualValue -J -B -M 9 -R -Q 1 -N 9 -SimpleCart -U -M 3 -Aggregator CompetenceBasedAggregator -JRip -P -N 4 -J48 -A -doNotMakeSplitPointActualValue -C 0.15 -M 3 -S 
gen_000_ind_006,true,confidenceFactor,null,false,0.25,null,false,true,null,null,true,false,0.45,true,4,4,null,confidenceFactor,null,true,true,null,false,false,null,null,false,null,MajorityVotingAggregator,true,true,null,6,6,null,true,null,null,false,4,null,null,null,-PART -M 4 -C 0.25 -Aggregator MajorityVotingAggregator -JRip -N 6 -O 4 -F 6 -J48 -A -C 0.45 -M 4 -S 
gen_000_ind_007,false,confidenceFactor,true,true,null,5,false,true,0,2,true,true,0.15,true,null,10,false,reducedErrorPruning,false,false,true,weka.attributeSelection.BestFirst,false,true,3,false,true,mae,CompetenceBasedAggregator,false,false,4,7,null,10,true,null,null,false,3,null,null,null,-DecisionTable -X 5 -E mae -S weka.attributeSelection.BestFirst -PART -B -M 10 -R -Q 1 -N 10 -SimpleCart -H -C 1.0 -S 1 -N 3 -M 4 -Aggregator CompetenceBasedAggregator -BestFirst -N 2 -D 0 -JRip -E -P -N 7 -J48 -O -C 0.15 -M 3 
gen_000_ind_008,true,confidenceFactor,true,true,null,3,false,true,1,7,true,true,0.45,true,null,6,false,unpruned,true,false,true,weka.attributeSelection.BestFirst,true,true,7,true,false,mae,MajorityVotingAggregator,false,true,2,7,null,null,true,null,null,false,7,null,null,null,-DecisionTable -I -X 3 -E mae -S weka.attributeSelection.BestFirst -PART -doNotMakeSplitPointActualValue -M 6 -U -SimpleCart -C 1.0 -S 1 -N 7 -M 2 -Aggregator MajorityVotingAggregator -BestFirst -N 7 -D 1 -JRip -P -N 7 -J48 -C 0.45 -M 7 
gen_000_ind_009,null,unpruned,true,null,null,10,true,false,null,null,true,true,null,true,null,9,false,reducedErrorPruning,false,null,true,weka.attributeSelection.GreedyStepwise,false,true,5,false,false,auc,RuleExtractorAggregator,false,true,4,null,null,3,true,null,true,false,8,true,null,null,-DecisionTable -X 10 -E auc -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -B -C -PART -M 9 -R -Q 1 -N 3 -SimpleCart -H -C 1.0 -S 1 -N 5 -M 4 -Aggregator RuleExtractorAggregator -J48 -U -M 8 -B 
gen_000_ind_010,false,reducedErrorPruning,null,true,null,7,true,true,null,null,true,true,null,true,null,7,null,unpruned,false,false,true,weka.attributeSelection.GreedyStepwise,true,false,null,null,false,rmse,MajorityVotingAggregator,true,true,null,6,null,null,true,3,true,true,9,false,null,null,-DecisionTable -X 7 -E rmse -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -PART -doNotMakeSplitPointActualValue -M 7 -U -Aggregator MajorityVotingAggregator -JRip -E -P -N 6 -J48 -A -doNotMakeSplitPointActualValue -R -Q 1 -M 9 -B -N 3 
gen_000_ind_011,true,confidenceFactor,true,false,null,1,true,true,null,null,true,true,0.25,true,2,3,false,unpruned,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,5,true,false,auc,RuleExtractorAggregator,true,true,2,10,3,null,true,null,true,true,8,false,null,null,-DecisionTable -I -X 1 -E auc -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -PART -M 3 -U -SimpleCart -C 1.0 -S 1 -N 5 -M 2 -Aggregator RuleExtractorAggregator -JRip -N 10 -O 2 -F 3 -J48 -A -doNotMakeSplitPointActualValue -C 0.25 -M 8 -B -S 
gen_000_ind_012,false,confidenceFactor,null,true,null,4,false,true,1,5,true,true,0.25,true,2,5,null,reducedErrorPruning,false,true,false,weka.attributeSelection.BestFirst,true,false,null,null,false,auc,MajorityVotingAggregator,false,true,null,10,5,4,false,null,null,true,8,null,null,null,-DecisionTable -X 4 -E auc -S weka.attributeSelection.BestFirst -PART -doNotMakeSplitPointActualValue -J -M 5 -R -Q 1 -N 4 -Aggregator MajorityVotingAggregator -BestFirst -N 5 -D 1 -JRip -E -N 10 -O 2 -F 5 -J48 -J -doNotMakeSplitPointActualValue -C 0.25 -M 8 
gen_000_ind_013,false,reducedErrorPruning,true,true,null,8,false,true,null,null,true,true,null,false,5,null,false,null,false,true,null,weka.attributeSelection.GreedyStepwise,null,true,7,true,null,auc,RuleExtractorAggregator,false,false,3,9,5,null,false,3,true,false,7,false,null,null,-DecisionTable -X 8 -E auc -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -SimpleCart -C 1.0 -S 1 -N 7 -M 3 -Aggregator RuleExtractorAggregator -JRip -E -N 9 -O 5 -F 5 -J48 -J -O -R -Q 1 -M 7 -N 3 
gen_000_ind_014,true,confidenceFactor,true,false,null,8,false,true,1,3,true,true,0.15,true,8,5,false,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,false,true,6,false,false,acc,CompetenceBasedAggregator,true,false,6,7,6,2,true,null,null,false,2,null,null,null,-DecisionTable -X 8 -E acc -S weka.attributeSelection.BestFirst -PART -M 5 -R -Q 1 -N 2 -SimpleCart -H -C 1.0 -S 1 -N 6 -M 6 -Aggregator CompetenceBasedAggregator -BestFirst -N 3 -D 1 -JRip -N 7 -O 8 -F 6 -J48 -A -O -C 0.15 -M 2 -S 
gen_000_ind_015,false,reducedErrorPruning,true,false,0.35,1,true,true,2,6,true,true,null,true,null,9,true,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,true,true,2,false,false,acc,RuleExtractorAggregator,false,true,8,10,null,null,true,2,null,false,7,null,null,null,-DecisionTable -X 1 -E acc -S weka.attributeSelection.BestFirst -PART -doNotMakeSplitPointActualValue -J -M 9 -C 0.35 -SimpleCart -H -C 1.0 -S 1 -N 2 -A -M 8 -Aggregator RuleExtractorAggregator -BestFirst -N 6 -D 2 -JRip -E -P -N 10 -J48 -R -Q 1 -M 7 -B -N 2 -S 
gen_000_ind_016,null,confidenceFactor,true,false,null,1,true,false,null,null,true,true,0.45,true,null,8,false,reducedErrorPruning,false,null,true,weka.attributeSelection.GreedyStepwise,true,true,8,true,false,auc,RuleExtractorAggregator,true,false,4,null,null,9,true,null,false,true,5,false,null,null,-DecisionTable -X 1 -E auc -S weka.attributeSelection.GreedyStepwise -PART -doNotMakeSplitPointActualValue -M 8 -R -Q 1 -N 9 -SimpleCart -C 1.0 -S 1 -N 8 -M 4 -Aggregator RuleExtractorAggregator -J48 -A -doNotMakeSplitPointActualValue -O -C 0.45 -M 5 -B -S 
gen_000_ind_017,false,unpruned,false,null,null,9,false,true,1,3,true,true,null,false,5,null,null,null,true,true,null,weka.attributeSelection.BestFirst,null,true,null,true,null,acc,RuleExtractorAggregator,true,true,7,2,6,null,false,null,null,false,8,null,null,null,-DecisionTable -I -X 9 -E acc -S weka.attributeSelection.BestFirst -SimpleCart -U -M 7 -Aggregator RuleExtractorAggregator -BestFirst -N 3 -D 1 -JRip -E -N 2 -O 5 -F 6 -J48 -J -A -U -M 8 
gen_000_ind_018,null,reducedErrorPruning,null,true,null,1,false,false,1,6,true,true,null,true,null,4,null,unpruned,false,null,false,weka.attributeSelection.BestFirst,true,false,null,null,false,rmse,CompetenceBasedAggregator,true,true,null,null,null,null,true,3,null,false,3,null,null,null,-DecisionTable -X 1 -E rmse -S weka.attributeSelection.BestFirst -PART -doNotMakeSplitPointActualValue -J -M 4 -U -Aggregator CompetenceBasedAggregator -BestFirst -N 6 -D 1 -J48 -A -R -Q 1 -M 3 -N 3 
gen_000_ind_019,false,null,true,null,0.35,1,null,true,null,null,false,true,null,true,null,9,false,confidenceFactor,true,false,true,weka.attributeSelection.GreedyStepwise,false,true,2,false,false,auc,CompetenceBasedAggregator,null,null,2,2,null,null,null,null,true,null,null,false,null,null,-DecisionTable -I -X 1 -E auc -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -C -PART -M 9 -C 0.35 -SimpleCart -H -C 1.0 -S 1 -N 2 -M 2 -Aggregator CompetenceBasedAggregator -JRip -E -P -N 2 
gen_000_ind_020,null,confidenceFactor,false,false,0.45,1,false,false,2,6,true,true,0.25,true,null,6,null,confidenceFactor,false,null,false,weka.attributeSelection.BestFirst,true,true,null,true,true,auc,CompetenceBasedAggregator,false,true,7,null,null,null,true,null,null,false,3,null,null,null,-DecisionTable -X 1 -E auc -S weka.attributeSelection.BestFirst -PART -doNotMakeSplitPointActualValue -J -B -M 6 -C 0.45 -SimpleCart -U -M 7 -Aggregator CompetenceBasedAggregator -BestFirst -N 6 -D 2 -J48 -C 0.25 -M 3 -S 
gen_000_ind_021,false,confidenceFactor,null,true,null,3,true,true,0,5,true,true,0.25,true,6,2,null,unpruned,false,true,false,weka.attributeSelection.BestFirst,true,false,null,null,false,auc,CompetenceBasedAggregator,false,false,null,2,2,null,true,null,null,false,9,null,null,null,-DecisionTable -X 3 -E auc -S weka.attributeSelection.BestFirst -PART -doNotMakeSplitPointActualValue -J -M 2 -U -Aggregator CompetenceBasedAggregator -BestFirst -N 5 -D 0 -JRip -E -N 2 -O 6 -F 2 -J48 -O -C 0.25 -M 9 -B 
gen_000_ind_022,false,reducedErrorPruning,false,false,null,null,false,true,null,null,true,false,null,true,null,4,null,reducedErrorPruning,null,false,false,null,true,true,null,false,false,null,CompetenceBasedAggregator,false,false,3,7,null,10,false,7,null,false,5,null,null,null,-PART -doNotMakeSplitPointActualValue -J -M 4 -R -Q 1 -N 10 -SimpleCart -H -U -M 3 -Aggregator CompetenceBasedAggregator -JRip -E -P -N 7 -J48 -J -O -R -Q 1 -M 5 -N 7 -S 
gen_000_ind_023,false,confidenceFactor,true,false,0.25,7,true,true,null,null,true,true,0.05,true,null,3,false,confidenceFactor,true,false,true,weka.attributeSelection.GreedyStepwise,false,true,5,false,false,auc,RuleExtractorAggregator,false,true,10,3,null,null,true,null,false,true,5,false,null,null,-DecisionTable -I -X 7 -E auc -S weka.attributeSelection.GreedyStepwise -PART -M 3 -C 0.25 -SimpleCart -H -C 1.0 -S 1 -N 5 -M 10 -Aggregator RuleExtractorAggregator -JRip -E -P -N 3 -J48 -doNotMakeSplitPointActualValue -C 0.05 -M 5 -B -S 
gen_000_ind_024,false,reducedErrorPruning,false,true,0.25,1,true,true,2,10,true,true,null,true,null,6,null,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,false,true,null,true,false,acc,MajorityVotingAggregator,true,true,6,4,null,null,true,10,null,false,8,null,null,null,-DecisionTable -X 1 -E acc -S weka.attributeSelection.BestFirst -PART -M 6 -C 0.25 -SimpleCart -U -M 6 -Aggregator MajorityVotingAggregator -BestFirst -N 10 -D 2 -JRip -E -P -N 4 -J48 -A -R -Q 1 -M 8 -B -N 10 
