gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.00000000,0.00000000,0.00000000,0.99932727,0147,0100,0035,0.00000000,"JRip,J48,J48_doNotMakeSplitPointActualValue,Aggregator,PART,PART_useMDLcorrection,SimpleCart,JRip_checkErrorRate,J48_useLaplace,PART_pruning,DecisionTable,DecisionTable_evaluationMeasure,J48_minNumObj,SimpleCart_minNumObj,DecisionTable_search,J48_pruning,JRip_minNo,JRip_usePruning,J48_collapseTree,PART_doNotMakeSplitPointActualValue,SimpleCart_heuristic,PART_minNumObj,SimpleCart_usePrune,PART_binarySplits,J48_useMDLcorrection,J48_subtreeRaising,J48_binarySplits,PART_numFolds,DecisionTable_crossVal,JRip_optimizations,J48_confidenceFactorValue,DecisionTable_useIBk,J48_numFolds,PART_confidenceFactorValue,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_searchTermination,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,JRip_folds"
1,99,0.00000000,0.00000000,0.00000000,0.99943636,0132,0100,0035,0.00000000,"DecisionTable,Aggregator,SimpleCart,PART,J48,DecisionTable_crossVal,DecisionTable_search,PART_useMDLcorrection,J48_pruning,SimpleCart_heuristic,DecisionTable_useIBk,GreedyStepwise_conservativeForwardSelection,JRip,J48_numFolds,BestFirst_searchTermination,JRip_usePruning,J48_confidenceFactorValue,SimpleCart_usePrune,SimpleCart_minNumObj,BestFirst_direction,PART_binarySplits,J48_minNumObj,JRip_checkErrorRate,DecisionTable_evaluationMeasure,J48_binarySplits,PART_minNumObj,PART_pruning,JRip_optimizations,J48_useMDLcorrection,GreedyStepwise_searchBackwards,PART_numFolds,J48_collapseTree,JRip_folds,PART_doNotMakeSplitPointActualValue,J48_useLaplace,J48_doNotMakeSplitPointActualValue,J48_subtreeRaising,JRip_minNo,SimpleCart_numFoldsPruning,PART_confidenceFactorValue,SimpleCart_useOneSE"
2,99,0.00000000,0.00000000,0.00000000,0.99949091,0165,0100,0035,0.00000000,"SimpleCart,DecisionTable,J48,SimpleCart_minNumObj,J48_useMDLcorrection,DecisionTable_evaluationMeasure,JRip,J48_useLaplace,J48_doNotMakeSplitPointActualValue,SimpleCart_usePrune,DecisionTable_useIBk,JRip_usePruning,DecisionTable_crossVal,J48_pruning,SimpleCart_useOneSE,JRip_checkErrorRate,J48_collapseTree,J48_minNumObj,JRip_folds,J48_binarySplits,PART,DecisionTable_search,Aggregator,SimpleCart_heuristic,J48_numFolds,PART_pruning,PART_useMDLcorrection,JRip_minNo,J48_confidenceFactorValue,PART_minNumObj,PART_confidenceFactorValue,JRip_optimizations,J48_subtreeRaising,BestFirst_searchTermination,GreedyStepwise_searchBackwards,SimpleCart_numFoldsPruning,PART_doNotMakeSplitPointActualValue,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,PART_numFolds,PART_binarySplits"
3,99,0.00000000,0.00000000,0.00000000,0.99949091,0137,0100,0035,0.00000000,"J48,SimpleCart,Aggregator,J48_collapseTree,J48_minNumObj,SimpleCart_minNumObj,J48_pruning,J48_numFolds,DecisionTable,JRip,J48_binarySplits,J48_useMDLcorrection,J48_subtreeRaising,DecisionTable_crossVal,DecisionTable_search,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,DecisionTable_evaluationMeasure,SimpleCart_heuristic,PART,GreedyStepwise_searchBackwards,SimpleCart_usePrune,J48_useLaplace,J48_doNotMakeSplitPointActualValue,JRip_checkErrorRate,JRip_usePruning,DecisionTable_useIBk,BestFirst_direction,J48_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,SimpleCart_numFoldsPruning,JRip_minNo,SimpleCart_useOneSE,JRip_optimizations,PART_pruning,PART_useMDLcorrection,PART_minNumObj,PART_binarySplits,PART_confidenceFactorValue,JRip_folds,PART_numFolds"
4,99,0.00000000,0.00000000,0.00000000,0.99949091,0132,0100,0035,0.00000000,"PART,SimpleCart,PART_binarySplits,PART_useMDLcorrection,SimpleCart_minNumObj,J48,SimpleCart_heuristic,Aggregator,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,JRip,PART_minNumObj,PART_doNotMakeSplitPointActualValue,DecisionTable,JRip_checkErrorRate,DecisionTable_useIBk,J48_collapseTree,J48_pruning,J48_numFolds,PART_pruning,DecisionTable_crossVal,J48_minNumObj,JRip_usePruning,PART_numFolds,J48_useLaplace,J48_confidenceFactorValue,SimpleCart_usePrune,JRip_minNo,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,J48_binarySplits,JRip_optimizations,PART_confidenceFactorValue,J48_subtreeRaising,DecisionTable_evaluationMeasure,DecisionTable_search,JRip_folds,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,BestFirst_searchTermination"
5,99,0.00000000,0.00000000,0.00000000,0.99949091,0138,0100,0035,0.00000000,"PART,PART_useMDLcorrection,J48,JRip,DecisionTable,DecisionTable_crossVal,JRip_checkErrorRate,J48_pruning,PART_pruning,PART_binarySplits,PART_numFolds,PART_minNumObj,JRip_minNo,J48_collapseTree,J48_subtreeRaising,Aggregator,JRip_usePruning,SimpleCart,SimpleCart_usePrune,J48_confidenceFactorValue,SimpleCart_minNumObj,J48_numFolds,J48_useLaplace,J48_binarySplits,DecisionTable_search,SimpleCart_numFoldsPruning,J48_useMDLcorrection,PART_doNotMakeSplitPointActualValue,BestFirst_direction,J48_minNumObj,PART_confidenceFactorValue,JRip_folds,GreedyStepwise_searchBackwards,J48_doNotMakeSplitPointActualValue,DecisionTable_evaluationMeasure,DecisionTable_useIBk,SimpleCart_heuristic,SimpleCart_useOneSE,GreedyStepwise_conservativeForwardSelection,JRip_optimizations,BestFirst_searchTermination"
6,99,0.00000000,0.00000000,0.00000000,0.99949697,0174,0100,0057,0.24143740,"JRip,SimpleCart,Aggregator,SimpleCart_heuristic,PART,JRip_usePruning,SimpleCart_usePrune,PART_binarySplits,J48,JRip_checkErrorRate,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,J48_useLaplace,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,J48_collapseTree,J48_minNumObj,PART_pruning,PART_numFolds,DecisionTable,SimpleCart_minNumObj,DecisionTable_useIBk,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,PART_minNumObj,J48_pruning,J48_subtreeRaising,BestFirst_direction,SimpleCart_useOneSE,DecisionTable_evaluationMeasure,SimpleCart_numFoldsPruning,J48_confidenceFactorValue,DecisionTable_crossVal,PART_confidenceFactorValue,JRip_folds,GreedyStepwise_searchBackwards,JRip_optimizations,J48_binarySplits,BestFirst_searchTermination,J48_numFolds,JRip_minNo"
7,99,0.00000000,0.00000000,0.00000000,0.99949697,0147,0100,0057,0.24143740,"JRip,Aggregator,JRip_usePruning,JRip_checkErrorRate,PART,J48,SimpleCart,J48_useMDLcorrection,SimpleCart_usePrune,PART_useMDLcorrection,J48_doNotMakeSplitPointActualValue,PART_doNotMakeSplitPointActualValue,SimpleCart_heuristic,PART_binarySplits,J48_useLaplace,J48_collapseTree,JRip_optimizations,J48_binarySplits,J48_minNumObj,SimpleCart_useOneSE,PART_pruning,JRip_folds,PART_confidenceFactorValue,JRip_minNo,PART_minNumObj,PART_numFolds,J48_pruning,SimpleCart_minNumObj,DecisionTable,DecisionTable_useIBk,J48_subtreeRaising,DecisionTable_search,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,DecisionTable_crossVal,BestFirst_searchTermination,SimpleCart_numFoldsPruning,J48_confidenceFactorValue,J48_numFolds,DecisionTable_evaluationMeasure"
8,99,0.00000000,0.00000000,0.00000000,0.99949697,0146,0100,0057,0.24143740,"J48,Aggregator,PART,PART_useMDLcorrection,PART_binarySplits,JRip,J48_useMDLcorrection,JRip_checkErrorRate,PART_doNotMakeSplitPointActualValue,SimpleCart,J48_doNotMakeSplitPointActualValue,JRip_usePruning,J48_useLaplace,J48_collapseTree,SimpleCart_usePrune,SimpleCart_heuristic,SimpleCart_minNumObj,JRip_folds,JRip_optimizations,J48_minNumObj,J48_binarySplits,SimpleCart_useOneSE,PART_pruning,J48_pruning,J48_subtreeRaising,JRip_minNo,SimpleCart_numFoldsPruning,J48_confidenceFactorValue,PART_numFolds,PART_minNumObj,DecisionTable,DecisionTable_crossVal,DecisionTable_search,DecisionTable_useIBk,GreedyStepwise_searchBackwards,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,J48_numFolds,PART_confidenceFactorValue,DecisionTable_evaluationMeasure"
9,99,0.00000000,0.00000000,0.00000000,0.99949697,0170,0134,0057,0.24143740,"SimpleCart,PART,SimpleCart_heuristic,Aggregator,PART_binarySplits,J48,J48_useLaplace,PART_useMDLcorrection,J48_doNotMakeSplitPointActualValue,JRip,PART_doNotMakeSplitPointActualValue,J48_useMDLcorrection,SimpleCart_usePrune,J48_collapseTree,JRip_usePruning,JRip_checkErrorRate,DecisionTable_useIBk,DecisionTable_search,J48_subtreeRaising,SimpleCart_useOneSE,JRip_folds,GreedyStepwise_searchBackwards,JRip_optimizations,J48_binarySplits,PART_pruning,J48_minNumObj,BestFirst_direction,PART_numFolds,PART_minNumObj,DecisionTable,GreedyStepwise_conservativeForwardSelection,J48_pruning,SimpleCart_minNumObj,PART_confidenceFactorValue,DecisionTable_evaluationMeasure,J48_numFolds,BestFirst_searchTermination,JRip_minNo,SimpleCart_numFoldsPruning,J48_confidenceFactorValue,DecisionTable_crossVal"
