gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.00000000,0.00000000,0.00000000,0.99714376,0077,0100,0035,0.00000000,"Aggregator,J48,DecisionTable,DecisionTable_search,DecisionTable_crossVal,J48_minNumObj,J48_pruning,J48_collapseTree,GreedyStepwise_searchBackwards,DecisionTable_useIBk,JRip,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,J48_binarySplits,BestFirst_searchTermination,J48_subtreeRaising,PART,SimpleCart,J48_numFolds,J48_doNotMakeSplitPointActualValue,DecisionTable_evaluationMeasure,SimpleCart_minNumObj,PART_useMDLcorrection,SimpleCart_heuristic,JRip_usePruning,PART_doNotMakeSplitPointActualValue,J48_useLaplace,J48_useMDLcorrection,J48_confidenceFactorValue,PART_pruning,JRip_minNo,PART_minNumObj,JRip_checkErrorRate,SimpleCart_usePrune,PART_binarySplits,SimpleCart_useOneSE,JRip_folds,JRip_optimizations,PART_confidenceFactorValue,PART_numFolds,SimpleCart_numFoldsPruning"
1,99,0.00000000,0.00000000,0.00000000,0.99714376,0064,0100,0035,0.00000000,"SimpleCart,SimpleCart_usePrune,SimpleCart_numFoldsPruning,J48,J48_pruning,J48_useMDLcorrection,J48_minNumObj,J48_useLaplace,DecisionTable,J48_binarySplits,SimpleCart_heuristic,DecisionTable_evaluationMeasure,PART,Aggregator,JRip,J48_collapseTree,SimpleCart_minNumObj,SimpleCart_useOneSE,J48_doNotMakeSplitPointActualValue,PART_binarySplits,JRip_usePruning,J48_confidenceFactorValue,JRip_optimizations,DecisionTable_useIBk,DecisionTable_search,J48_subtreeRaising,J48_numFolds,BestFirst_direction,PART_pruning,JRip_checkErrorRate,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,PART_minNumObj,JRip_folds,PART_useMDLcorrection,PART_numFolds,JRip_minNo,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_searchTermination,PART_confidenceFactorValue"
2,99,0.00000000,0.00000000,0.00000000,0.99714376,0070,0100,0035,0.00000000,"DecisionTable,PART,SimpleCart,SimpleCart_minNumObj,DecisionTable_evaluationMeasure,PART_binarySplits,SimpleCart_usePrune,PART_useMDLcorrection,PART_pruning,PART_numFolds,J48,DecisionTable_search,J48_useLaplace,J48_useMDLcorrection,BestFirst_direction,J48_collapseTree,SimpleCart_heuristic,Aggregator,PART_minNumObj,DecisionTable_useIBk,J48_binarySplits,BestFirst_searchTermination,JRip,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,GreedyStepwise_searchBackwards,PART_confidenceFactorValue,J48_pruning,J48_doNotMakeSplitPointActualValue,J48_minNumObj,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,GreedyStepwise_conservativeForwardSelection,J48_numFolds,JRip_checkErrorRate,JRip_usePruning,JRip_folds,JRip_optimizations,J48_confidenceFactorValue,JRip_minNo,J48_subtreeRaising"
3,99,0.00000000,0.00000000,0.00000000,0.99714376,0070,0100,0035,0.00000000,"J48,SimpleCart,DecisionTable,J48_minNumObj,J48_doNotMakeSplitPointActualValue,JRip,J48_useMDLcorrection,Aggregator,DecisionTable_evaluationMeasure,J48_binarySplits,JRip_checkErrorRate,DecisionTable_search,J48_useLaplace,DecisionTable_useIBk,GreedyStepwise_searchBackwards,BestFirst_searchTermination,PART,J48_collapseTree,PART_doNotMakeSplitPointActualValue,SimpleCart_usePrune,J48_pruning,JRip_minNo,PART_binarySplits,GreedyStepwise_conservativeForwardSelection,SimpleCart_heuristic,SimpleCart_minNumObj,DecisionTable_crossVal,J48_numFolds,SimpleCart_numFoldsPruning,PART_useMDLcorrection,JRip_usePruning,PART_minNumObj,BestFirst_direction,PART_pruning,J48_confidenceFactorValue,JRip_folds,PART_numFolds,JRip_optimizations,J48_subtreeRaising,SimpleCart_useOneSE,PART_confidenceFactorValue"
4,99,0.00000000,0.00000000,0.00000000,0.99714376,0062,0100,0035,0.00000000,"PART,PART_doNotMakeSplitPointActualValue,JRip,JRip_minNo,PART_minNumObj,PART_pruning,SimpleCart,PART_confidenceFactorValue,JRip_usePruning,Aggregator,PART_numFolds,JRip_folds,SimpleCart_minNumObj,J48,PART_binarySplits,DecisionTable,DecisionTable_crossVal,J48_useLaplace,JRip_optimizations,PART_useMDLcorrection,JRip_checkErrorRate,J48_collapseTree,J48_pruning,DecisionTable_evaluationMeasure,DecisionTable_useIBk,J48_binarySplits,SimpleCart_usePrune,J48_doNotMakeSplitPointActualValue,J48_subtreeRaising,SimpleCart_heuristic,J48_confidenceFactorValue,DecisionTable_search,J48_useMDLcorrection,J48_minNumObj,SimpleCart_useOneSE,GreedyStepwise_searchBackwards,BestFirst_direction,SimpleCart_numFoldsPruning,J48_numFolds,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection"
5,99,0.00000000,0.00000000,0.00000000,0.99726290,0067,0100,0035,0.00000000,"Aggregator,JRip,SimpleCart,DecisionTable,JRip_checkErrorRate,SimpleCart_usePrune,SimpleCart_numFoldsPruning,PART,PART_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,DecisionTable_evaluationMeasure,J48,SimpleCart_heuristic,DecisionTable_search,J48_pruning,GreedyStepwise_searchBackwards,DecisionTable_crossVal,SimpleCart_minNumObj,BestFirst_searchTermination,JRip_minNo,PART_minNumObj,JRip_usePruning,J48_useMDLcorrection,J48_numFolds,PART_useMDLcorrection,DecisionTable_useIBk,PART_pruning,J48_confidenceFactorValue,PART_binarySplits,J48_minNumObj,GreedyStepwise_conservativeForwardSelection,J48_binarySplits,J48_useLaplace,JRip_optimizations,PART_numFolds,J48_collapseTree,JRip_folds,J48_subtreeRaising,J48_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,BestFirst_direction"
6,99,0.00000000,0.00000000,0.00000000,0.99738692,0058,0100,0035,0.00000000,"DecisionTable,JRip,JRip_checkErrorRate,SimpleCart,DecisionTable_evaluationMeasure,SimpleCart_usePrune,Aggregator,SimpleCart_heuristic,J48,DecisionTable_search,J48_minNumObj,DecisionTable_crossVal,PART,J48_collapseTree,GreedyStepwise_searchBackwards,J48_doNotMakeSplitPointActualValue,PART_minNumObj,BestFirst_searchTermination,JRip_usePruning,J48_binarySplits,SimpleCart_useOneSE,SimpleCart_minNumObj,DecisionTable_useIBk,JRip_minNo,SimpleCart_numFoldsPruning,J48_useMDLcorrection,PART_doNotMakeSplitPointActualValue,J48_pruning,PART_binarySplits,J48_useLaplace,JRip_optimizations,PART_useMDLcorrection,BestFirst_direction,JRip_folds,PART_pruning,GreedyStepwise_conservativeForwardSelection,J48_numFolds,J48_confidenceFactorValue,PART_confidenceFactorValue,J48_subtreeRaising,PART_numFolds"
7,99,0.00000000,0.00000000,0.00000000,0.99785343,0059,0100,0035,0.00000000,"PART,PART_minNumObj,DecisionTable,JRip,J48,SimpleCart,JRip_minNo,DecisionTable_evaluationMeasure,DecisionTable_search,J48_minNumObj,Aggregator,GreedyStepwise_searchBackwards,JRip_checkErrorRate,BestFirst_direction,J48_useLaplace,PART_doNotMakeSplitPointActualValue,DecisionTable_useIBk,BestFirst_searchTermination,J48_useMDLcorrection,PART_binarySplits,J48_binarySplits,SimpleCart_minNumObj,SimpleCart_heuristic,J48_doNotMakeSplitPointActualValue,PART_useMDLcorrection,PART_pruning,J48_pruning,J48_collapseTree,DecisionTable_crossVal,J48_numFolds,JRip_usePruning,J48_subtreeRaising,GreedyStepwise_conservativeForwardSelection,SimpleCart_usePrune,J48_confidenceFactorValue,SimpleCart_numFoldsPruning,PART_confidenceFactorValue,JRip_optimizations,PART_numFolds,SimpleCart_useOneSE,JRip_folds"
8,99,0.00000000,0.00000000,0.00000000,0.99785343,0058,0100,0035,0.00000000,"PART,PART_minNumObj,PART_binarySplits,PART_doNotMakeSplitPointActualValue,SimpleCart,PART_useMDLcorrection,SimpleCart_usePrune,J48,DecisionTable,JRip,DecisionTable_search,DecisionTable_useIBk,J48_binarySplits,J48_collapseTree,Aggregator,JRip_checkErrorRate,SimpleCart_minNumObj,PART_pruning,JRip_minNo,BestFirst_direction,PART_confidenceFactorValue,J48_useMDLcorrection,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,J48_doNotMakeSplitPointActualValue,SimpleCart_heuristic,JRip_usePruning,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,DecisionTable_evaluationMeasure,DecisionTable_crossVal,J48_pruning,J48_useLaplace,SimpleCart_useOneSE,J48_minNumObj,JRip_optimizations,PART_numFolds,J48_confidenceFactorValue,J48_numFolds,JRip_folds,J48_subtreeRaising"
9,99,0.00000000,0.00000000,0.00000000,0.99785343,0061,0100,0035,0.00000000,"J48,JRip,Aggregator,JRip_checkErrorRate,J48_minNumObj,DecisionTable,J48_collapseTree,JRip_usePruning,J48_useMDLcorrection,J48_pruning,J48_doNotMakeSplitPointActualValue,J48_binarySplits,JRip_folds,J48_useLaplace,SimpleCart,PART,J48_confidenceFactorValue,SimpleCart_usePrune,DecisionTable_crossVal,DecisionTable_useIBk,J48_subtreeRaising,SimpleCart_minNumObj,JRip_minNo,SimpleCart_useOneSE,PART_minNumObj,DecisionTable_evaluationMeasure,DecisionTable_search,PART_binarySplits,JRip_optimizations,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,J48_numFolds,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,PART_pruning,PART_confidenceFactorValue,BestFirst_direction,SimpleCart_heuristic,SimpleCart_numFoldsPruning,PART_numFolds,GreedyStepwise_searchBackwards"
