individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,false,confidenceFactor,true,false,null,3,true,true,null,null,true,true,0.15,true,7,2,false,unpruned,true,true,true,weka.attributeSelection.GreedyStepwise,true,true,8,true,true,acc,MajorityVotingAggregator,false,true,2,2,4,null,false,null,true,true,9,true,null,0.9994567057759344,-DecisionTable -S weka.attributeSelection.GreedyStepwise -E acc -X 3 -I -GreedyStepwise -B -C -PART -U -M 2 -doNotMakeSplitPointActualValue -B -SimpleCart -M 2 -C 1.0 -S 1 -N 8 -Aggregator MajorityVotingAggregator -JRip -N 2 -E -O 7 -F 4 -J48 -M 9 -doNotMakeSplitPointActualValue -C 0.15 -B -J -S 
gen_000_ind_000,true,unpruned,true,null,null,2,true,true,2,9,true,true,null,true,9,7,false,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,false,true,4,false,true,mae,MajorityVotingAggregator,false,false,8,3,8,4,true,null,null,true,7,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -E mae -X 2 -PART -B -R -Q 1 -N 4 -M 7 -SimpleCart -M 8 -H -C 1.0 -S 1 -N 4 -BestFirst -N 9 -D 2 -Aggregator MajorityVotingAggregator -JRip -N 3 -O 9 -F 8 -J48 -B -M 7 -O -doNotMakeSplitPointActualValue -U 
gen_000_ind_001,true,unpruned,false,null,null,2,false,true,1,10,true,true,null,true,null,9,null,reducedErrorPruning,true,false,false,weka.attributeSelection.BestFirst,false,true,null,false,true,mae,CompetenceBasedAggregator,false,false,10,10,null,2,false,null,null,true,6,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -I -E mae -X 2 -PART -J -B -R -Q 1 -N 2 -M 9 -SimpleCart -M 10 -H -U -BestFirst -N 10 -D 1 -Aggregator CompetenceBasedAggregator -JRip -P -N 10 -J48 -J -M 6 -O -doNotMakeSplitPointActualValue -U 
gen_000_ind_002,true,confidenceFactor,false,false,null,10,false,true,null,null,true,true,0.35,true,2,4,null,reducedErrorPruning,false,true,true,weka.attributeSelection.GreedyStepwise,true,true,null,false,true,auc,MajorityVotingAggregator,true,true,3,4,2,7,false,null,true,true,6,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -E auc -X 10 -GreedyStepwise -C -PART -doNotMakeSplitPointActualValue -B -R -Q 1 -N 7 -M 4 -SimpleCart -M 3 -H -U -Aggregator MajorityVotingAggregator -JRip -N 4 -O 2 -F 2 -J48 -J -M 6 -A -doNotMakeSplitPointActualValue -C 0.35 -S 
gen_000_ind_003,false,confidenceFactor,false,false,null,8,true,true,1,2,true,true,0.45,true,5,9,null,unpruned,true,true,true,weka.attributeSelection.BestFirst,false,true,null,false,false,rmse,CompetenceBasedAggregator,false,false,7,3,10,null,true,null,null,false,2,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -I -E rmse -X 8 -PART -U -M 9 -SimpleCart -M 7 -H -U -BestFirst -N 2 -D 1 -Aggregator CompetenceBasedAggregator -JRip -N 3 -E -O 5 -F 10 -J48 -B -M 2 -O -C 0.45 -S 
gen_000_ind_004,false,confidenceFactor,false,true,0.15,6,true,true,null,null,true,true,0.35,true,null,6,null,confidenceFactor,true,false,false,weka.attributeSelection.GreedyStepwise,true,true,null,true,true,auc,MajorityVotingAggregator,true,true,4,5,null,null,true,null,false,false,8,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -I -E auc -X 6 -PART -doNotMakeSplitPointActualValue -J -B -C 0.15 -M 6 -SimpleCart -M 4 -U -Aggregator MajorityVotingAggregator -JRip -P -N 5 -E -J48 -B -M 8 -A -C 0.35 
gen_000_ind_005,false,unpruned,false,null,null,1,false,true,1,9,true,true,null,true,null,3,null,unpruned,false,false,false,weka.attributeSelection.BestFirst,false,true,null,false,false,acc,MajorityVotingAggregator,false,false,10,2,null,null,true,null,null,false,4,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -E acc -X 1 -PART -J -U -M 3 -SimpleCart -M 10 -H -U -BestFirst -N 9 -D 1 -Aggregator MajorityVotingAggregator -JRip -P -N 2 -E -J48 -M 4 -O -U 
gen_000_ind_006,false,reducedErrorPruning,true,false,0.05,1,false,true,null,null,true,true,null,true,null,9,true,confidenceFactor,true,false,true,weka.attributeSelection.GreedyStepwise,true,true,10,false,false,auc,RuleExtractorAggregator,false,true,4,2,null,null,false,2,false,false,2,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -I -E auc -X 1 -PART -doNotMakeSplitPointActualValue -C 0.05 -M 9 -SimpleCart -M 4 -H -C 1.0 -S 1 -N 10 -A -Aggregator RuleExtractorAggregator -JRip -P -N 2 -E -J48 -J -M 2 -R -Q 1 -N 2 -S 
gen_000_ind_007,false,reducedErrorPruning,true,false,null,null,false,true,null,null,true,false,null,true,7,2,false,unpruned,null,true,false,null,true,true,3,false,false,null,MajorityVotingAggregator,true,false,7,5,2,null,true,8,null,true,2,null,null,null,-PART -doNotMakeSplitPointActualValue -J -U -M 2 -SimpleCart -M 7 -H -C 1.0 -S 1 -N 3 -Aggregator MajorityVotingAggregator -JRip -N 5 -E -O 7 -F 2 -J48 -M 2 -A -O -doNotMakeSplitPointActualValue -R -Q 1 -N 8 -S 
gen_000_ind_008,true,unpruned,false,null,0.45,9,false,true,2,10,true,true,null,true,null,3,null,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,false,true,null,true,false,auc,RuleExtractorAggregator,false,true,8,7,null,null,false,null,null,false,2,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -E auc -X 9 -PART -C 0.45 -M 3 -SimpleCart -M 8 -U -BestFirst -N 10 -D 2 -Aggregator RuleExtractorAggregator -JRip -P -N 7 -J48 -J -M 2 -U 
