individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,false,confidenceFactor,false,false,null,8,false,true,1,4,true,true,0.45,true,8,7,null,unpruned,true,true,false,weka.attributeSelection.BestFirst,true,true,null,true,false,mae,CompetenceBasedAggregator,true,true,2,7,5,null,true,null,null,false,6,null,null,0.9550748889919809,-DecisionTable -S weka.attributeSelection.BestFirst -X 8 -E mae -I -PART -U -doNotMakeSplitPointActualValue -M 7 -J -SimpleCart -U -M 2 -BestFirst -D 1 -N 4 -Aggregator CompetenceBasedAggregator -JRip -E -N 7 -O 8 -F 5 -J48 -C 0.45 -M 6 -A -S 
gen_000_ind_000,false,null,true,null,null,2,null,true,2,6,false,true,null,true,3,2,false,unpruned,false,true,false,weka.attributeSelection.BestFirst,true,true,7,true,true,auc,MajorityVotingAggregator,null,null,2,5,4,null,null,null,null,null,null,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 2 -E auc -PART -B -doNotMakeSplitPointActualValue -U -J -M 2 -SimpleCart -M 2 -C 1.0 -S 1 -N 7 -BestFirst -D 2 -N 6 -Aggregator MajorityVotingAggregator -JRip -O 3 -E -N 5 -F 4 
gen_000_ind_001,true,unpruned,false,null,null,1,true,true,1,4,true,true,null,true,10,4,null,unpruned,false,true,true,weka.attributeSelection.BestFirst,false,true,null,false,false,auc,MajorityVotingAggregator,true,true,4,2,9,null,true,null,null,false,6,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 1 -E auc -PART -U -M 4 -SimpleCart -H -M 4 -U -BestFirst -D 1 -N 4 -Aggregator MajorityVotingAggregator -JRip -O 10 -N 2 -F 9 -J48 -U -B -M 6 -A 
gen_000_ind_002,true,reducedErrorPruning,false,false,null,1,false,true,2,1,true,true,null,true,null,7,null,unpruned,false,false,false,weka.attributeSelection.BestFirst,false,true,null,false,false,auc,MajorityVotingAggregator,false,false,4,6,null,null,true,7,null,true,9,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 1 -E auc -PART -U -J -M 7 -SimpleCart -H -M 4 -U -BestFirst -D 2 -N 1 -Aggregator MajorityVotingAggregator -JRip -P -N 6 -J48 -doNotMakeSplitPointActualValue -R -Q 1 -O -M 9 -N 7 -S 
gen_000_ind_003,false,unpruned,false,null,null,5,false,true,null,null,true,true,null,true,9,9,null,reducedErrorPruning,false,true,true,weka.attributeSelection.GreedyStepwise,true,true,null,true,false,auc,CompetenceBasedAggregator,false,true,7,9,2,10,false,null,false,false,4,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 5 -E auc -PART -doNotMakeSplitPointActualValue -R -Q 1 -M 9 -N 10 -SimpleCart -M 7 -U -Aggregator CompetenceBasedAggregator -JRip -O 9 -E -N 9 -F 2 -J48 -J -U -M 4 
gen_000_ind_004,true,unpruned,true,null,0.35,9,false,true,2,1,true,true,null,true,4,2,false,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,true,true,4,true,false,acc,CompetenceBasedAggregator,false,false,7,7,2,null,true,null,null,true,3,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 9 -E acc -PART -doNotMakeSplitPointActualValue -C 0.35 -M 2 -SimpleCart -M 7 -C 1.0 -S 1 -N 4 -BestFirst -D 2 -N 1 -Aggregator CompetenceBasedAggregator -JRip -O 4 -N 7 -F 2 -J48 -doNotMakeSplitPointActualValue -U -O -M 3 
gen_000_ind_005,true,reducedErrorPruning,false,false,null,9,true,true,null,null,true,true,null,true,null,4,null,reducedErrorPruning,true,false,true,weka.attributeSelection.GreedyStepwise,false,true,null,false,false,acc,MajorityVotingAggregator,true,false,5,8,null,9,true,3,true,true,3,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 9 -E acc -I -GreedyStepwise -C -PART -R -Q 1 -M 4 -N 9 -SimpleCart -H -M 5 -U -Aggregator MajorityVotingAggregator -JRip -P -N 8 -J48 -doNotMakeSplitPointActualValue -R -Q 1 -B -O -M 3 -A -N 3 -S 
gen_000_ind_006,true,unpruned,true,null,0.05,1,false,true,1,5,true,true,null,true,null,2,false,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,false,true,5,true,true,auc,MajorityVotingAggregator,false,true,4,3,null,null,true,null,null,false,2,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 1 -E auc -PART -B -C 0.05 -M 2 -SimpleCart -M 4 -C 1.0 -S 1 -N 5 -BestFirst -D 1 -N 5 -Aggregator MajorityVotingAggregator -JRip -P -N 3 -J48 -U -M 2 
gen_000_ind_007,true,reducedErrorPruning,true,true,0.35,4,true,true,null,null,true,true,null,true,3,8,false,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,10,false,false,auc,MajorityVotingAggregator,true,false,2,7,6,null,true,6,false,false,7,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 4 -E auc -PART -C 0.35 -M 8 -SimpleCart -H -M 2 -C 1.0 -S 1 -N 10 -Aggregator MajorityVotingAggregator -JRip -O 3 -N 7 -F 6 -J48 -R -Q 1 -B -O -M 7 -A -N 6 
gen_000_ind_008,true,unpruned,true,null,0.15,9,false,true,null,null,true,true,null,true,null,7,false,confidenceFactor,false,false,false,weka.attributeSelection.GreedyStepwise,false,true,6,true,true,rmse,MajorityVotingAggregator,false,true,9,3,null,null,true,null,false,true,6,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 9 -E rmse -PART -B -C 0.15 -J -M 7 -SimpleCart -M 9 -C 1.0 -S 1 -N 6 -Aggregator MajorityVotingAggregator -JRip -P -N 3 -J48 -doNotMakeSplitPointActualValue -U -M 6 
gen_000_ind_009,true,reducedErrorPruning,null,true,null,4,false,true,null,null,true,true,null,true,null,4,null,reducedErrorPruning,false,false,true,weka.attributeSelection.GreedyStepwise,false,false,null,null,true,acc,RuleExtractorAggregator,false,true,null,10,null,9,true,2,true,false,2,false,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 4 -E acc -GreedyStepwise -C -PART -B -R -Q 1 -M 4 -N 9 -Aggregator RuleExtractorAggregator -JRip -P -N 10 -J48 -R -Q 1 -M 2 -N 2 
gen_000_ind_010,false,confidenceFactor,true,true,null,7,false,true,null,null,true,true,0.05,true,2,9,true,reducedErrorPruning,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,5,false,false,rmse,RuleExtractorAggregator,true,false,2,4,7,9,true,null,true,false,7,true,null,null,-DecisionTable -S weka.attributeSelection.GreedyStepwise -X 7 -E rmse -I -GreedyStepwise -B -C -PART -R -Q 1 -M 9 -N 9 -SimpleCart -H -M 2 -C 1.0 -S 1 -N 5 -A -Aggregator RuleExtractorAggregator -JRip -O 2 -E -N 4 -F 7 -J48 -C 0.05 -O -M 7 -A 
gen_000_ind_011,true,reducedErrorPruning,true,true,null,9,false,true,1,1,true,true,null,false,2,null,false,null,true,true,null,weka.attributeSelection.BestFirst,null,true,4,true,null,rmse,RuleExtractorAggregator,false,true,7,2,3,null,true,9,null,false,3,null,null,null,-DecisionTable -S weka.attributeSelection.BestFirst -X 9 -E rmse -I -SimpleCart -M 7 -C 1.0 -S 1 -N 4 -BestFirst -D 1 -N 1 -Aggregator RuleExtractorAggregator -JRip -O 2 -N 2 -F 3 -J48 -R -Q 1 -M 3 -N 9 
gen_000_ind_012,true,unpruned,true,null,0.05,null,false,true,null,null,true,false,null,true,null,3,false,confidenceFactor,null,false,false,null,false,true,3,false,true,null,CompetenceBasedAggregator,false,true,5,2,null,null,true,null,null,false,10,null,null,null,-PART -B -C 0.05 -J -M 3 -SimpleCart -H -M 5 -C 1.0 -S 1 -N 3 -Aggregator CompetenceBasedAggregator -JRip -P -N 2 -J48 -U -M 10 
