gen,nevals,min,median,max,currentGenBestValFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.00000000,0.00000000,0.00000000,0.93443437,0145,0100,0035,0.00000000,"DecisionTable,Aggregator,J48,PART,PART_minNumObj,DecisionTable_search,DecisionTable_crossVal,DecisionTable_evaluationMeasure,DecisionTable_useIBk,J48_pruning,PART_doNotMakeSplitPointActualValue,JRip,SimpleCart,J48_collapseTree,J48_useLaplace,J48_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,J48_numFolds,J48_binarySplits,J48_minNumObj,PART_useMDLcorrection,PART_binarySplits,BestFirst_searchTermination,J48_useMDLcorrection,SimpleCart_minNumObj,PART_pruning,SimpleCart_heuristic,GreedyStepwise_searchBackwards,SimpleCart_usePrune,BestFirst_direction,JRip_usePruning,J48_confidenceFactorValue,PART_confidenceFactorValue,JRip_minNo,SimpleCart_numFoldsPruning,JRip_checkErrorRate,J48_subtreeRaising,SimpleCart_useOneSE,JRip_folds,JRip_optimizations,PART_numFolds"
1,99,0.00000000,0.00000000,0.00000000,0.93443437,0145,0100,0035,0.00000000,"PART,PART_doNotMakeSplitPointActualValue,J48,J48_useLaplace,J48_minNumObj,J48_doNotMakeSplitPointActualValue,PART_pruning,PART_minNumObj,SimpleCart,DecisionTable,JRip,Aggregator,J48_binarySplits,DecisionTable_useIBk,J48_useMDLcorrection,J48_pruning,J48_confidenceFactorValue,SimpleCart_usePrune,DecisionTable_evaluationMeasure,DecisionTable_crossVal,J48_collapseTree,PART_binarySplits,PART_confidenceFactorValue,SimpleCart_minNumObj,J48_numFolds,PART_useMDLcorrection,JRip_checkErrorRate,PART_numFolds,JRip_usePruning,JRip_minNo,SimpleCart_numFoldsPruning,SimpleCart_heuristic,DecisionTable_search,J48_subtreeRaising,SimpleCart_useOneSE,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,JRip_optimizations,BestFirst_searchTermination,JRip_folds,BestFirst_direction"
2,99,0.00000000,0.00000000,0.00000000,0.93443437,0132,0100,0035,0.00000000,"Aggregator,JRip,J48,SimpleCart,J48_binarySplits,JRip_usePruning,JRip_optimizations,JRip_minNo,J48_pruning,SimpleCart_heuristic,DecisionTable,J48_minNumObj,J48_numFolds,J48_useMDLcorrection,PART,PART_useMDLcorrection,J48_useLaplace,SimpleCart_minNumObj,DecisionTable_useIBk,J48_doNotMakeSplitPointActualValue,JRip_folds,DecisionTable_search,JRip_checkErrorRate,J48_collapseTree,SimpleCart_usePrune,DecisionTable_crossVal,BestFirst_searchTermination,J48_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,J48_subtreeRaising,PART_pruning,DecisionTable_evaluationMeasure,SimpleCart_useOneSE,PART_minNumObj,GreedyStepwise_searchBackwards,PART_doNotMakeSplitPointActualValue,PART_binarySplits,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,PART_numFolds"
3,99,0.00000000,0.00000000,0.00000000,0.93443437,0126,0100,0035,0.00000000,"J48,PART,PART_minNumObj,JRip,J48_doNotMakeSplitPointActualValue,PART_useMDLcorrection,J48_collapseTree,J48_useMDLcorrection,JRip_minNo,J48_minNumObj,Aggregator,PART_doNotMakeSplitPointActualValue,J48_useLaplace,PART_binarySplits,JRip_checkErrorRate,PART_pruning,DecisionTable,SimpleCart,SimpleCart_usePrune,J48_binarySplits,SimpleCart_heuristic,JRip_usePruning,DecisionTable_search,DecisionTable_crossVal,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,SimpleCart_minNumObj,J48_pruning,BestFirst_direction,DecisionTable_useIBk,JRip_optimizations,SimpleCart_numFoldsPruning,JRip_folds,PART_numFolds,SimpleCart_useOneSE,J48_subtreeRaising,BestFirst_searchTermination,J48_numFolds,DecisionTable_evaluationMeasure,GreedyStepwise_searchBackwards,J48_confidenceFactorValue"
4,99,0.00000000,0.00000000,0.00000000,0.93572920,0113,0100,0035,0.00000000,"SimpleCart,SimpleCart_usePrune,SimpleCart_heuristic,J48,JRip,SimpleCart_numFoldsPruning,J48_useMDLcorrection,J48_pruning,J48_collapseTree,PART,J48_binarySplits,DecisionTable,PART_binarySplits,PART_doNotMakeSplitPointActualValue,Aggregator,PART_useMDLcorrection,SimpleCart_minNumObj,J48_subtreeRaising,JRip_minNo,SimpleCart_useOneSE,DecisionTable_useIBk,J48_useLaplace,JRip_checkErrorRate,PART_pruning,JRip_usePruning,J48_minNumObj,PART_minNumObj,J48_doNotMakeSplitPointActualValue,PART_numFolds,J48_confidenceFactorValue,J48_numFolds,DecisionTable_search,PART_confidenceFactorValue,GreedyStepwise_searchBackwards,DecisionTable_evaluationMeasure,JRip_folds,BestFirst_direction,DecisionTable_crossVal,BestFirst_searchTermination,JRip_optimizations,GreedyStepwise_conservativeForwardSelection"
5,99,0.00000000,0.00000000,0.00000000,0.93572920,0096,0100,0035,0.00000000,"SimpleCart,J48,J48_useMDLcorrection,JRip,J48_doNotMakeSplitPointActualValue,J48_useLaplace,PART,PART_useMDLcorrection,SimpleCart_heuristic,J48_binarySplits,SimpleCart_minNumObj,J48_collapseTree,Aggregator,PART_pruning,DecisionTable,J48_pruning,JRip_minNo,JRip_checkErrorRate,SimpleCart_usePrune,PART_confidenceFactorValue,J48_minNumObj,PART_binarySplits,JRip_usePruning,PART_doNotMakeSplitPointActualValue,JRip_optimizations,J48_subtreeRaising,PART_minNumObj,DecisionTable_useIBk,JRip_folds,DecisionTable_evaluationMeasure,PART_numFolds,J48_numFolds,J48_confidenceFactorValue,SimpleCart_useOneSE,DecisionTable_search,DecisionTable_crossVal,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,BestFirst_direction"
6,99,0.00000000,0.00000000,0.00000000,0.93617446,0143,0100,0053,0.25972742,"SimpleCart,SimpleCart_heuristic,SimpleCart_usePrune,JRip,Aggregator,JRip_checkErrorRate,PART,J48,JRip_usePruning,DecisionTable,DecisionTable_search,PART_doNotMakeSplitPointActualValue,PART_binarySplits,PART_useMDLcorrection,J48_useLaplace,DecisionTable_useIBk,PART_pruning,J48_pruning,GreedyStepwise_searchBackwards,J48_useMDLcorrection,J48_binarySplits,J48_collapseTree,J48_subtreeRaising,PART_minNumObj,PART_numFolds,J48_doNotMakeSplitPointActualValue,DecisionTable_evaluationMeasure,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,JRip_minNo,SimpleCart_numFoldsPruning,JRip_optimizations,PART_confidenceFactorValue,JRip_folds,J48_confidenceFactorValue,BestFirst_searchTermination,J48_numFolds,J48_minNumObj,DecisionTable_crossVal,SimpleCart_useOneSE,SimpleCart_minNumObj"
7,99,0.00000000,0.00000000,0.00000000,0.93617446,0092,0100,0053,0.25972742,"DecisionTable,PART,PART_doNotMakeSplitPointActualValue,JRip,SimpleCart,JRip_usePruning,J48,PART_useMDLcorrection,Aggregator,DecisionTable_search,JRip_checkErrorRate,DecisionTable_useIBk,J48_useLaplace,SimpleCart_usePrune,SimpleCart_heuristic,PART_pruning,J48_collapseTree,J48_useMDLcorrection,J48_binarySplits,PART_binarySplits,GreedyStepwise_searchBackwards,J48_pruning,J48_subtreeRaising,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,JRip_folds,JRip_optimizations,J48_confidenceFactorValue,BestFirst_searchTermination,JRip_minNo,GreedyStepwise_conservativeForwardSelection,DecisionTable_crossVal,SimpleCart_useOneSE,BestFirst_direction,SimpleCart_minNumObj,J48_numFolds,J48_minNumObj,J48_doNotMakeSplitPointActualValue,PART_minNumObj,PART_numFolds,DecisionTable_evaluationMeasure"
8,99,0.00000000,0.00000000,0.00000000,0.93617446,0090,0100,0053,0.25972742,"Aggregator,J48,PART,SimpleCart,PART_pruning,DecisionTable,JRip,J48_useLaplace,DecisionTable_search,J48_collapseTree,SimpleCart_usePrune,PART_binarySplits,J48_binarySplits,GreedyStepwise_searchBackwards,DecisionTable_useIBk,SimpleCart_heuristic,PART_useMDLcorrection,JRip_usePruning,PART_doNotMakeSplitPointActualValue,J48_pruning,J48_useMDLcorrection,JRip_checkErrorRate,J48_subtreeRaising,DecisionTable_evaluationMeasure,PART_numFolds,GreedyStepwise_conservativeForwardSelection,PART_minNumObj,J48_doNotMakeSplitPointActualValue,BestFirst_direction,JRip_minNo,SimpleCart_numFoldsPruning,JRip_optimizations,JRip_folds,PART_confidenceFactorValue,J48_confidenceFactorValue,BestFirst_searchTermination,J48_numFolds,SimpleCart_minNumObj,SimpleCart_useOneSE,DecisionTable_crossVal,J48_minNumObj"
9,99,0.00000000,0.00000000,0.00000000,0.93617446,0100,0100,0053,0.25972742,"DecisionTable,SimpleCart,Aggregator,PART,JRip,SimpleCart_heuristic,J48,DecisionTable_useIBk,PART_binarySplits,PART_doNotMakeSplitPointActualValue,PART_pruning,PART_useMDLcorrection,DecisionTable_search,J48_useMDLcorrection,J48_collapseTree,SimpleCart_usePrune,JRip_usePruning,J48_binarySplits,JRip_checkErrorRate,J48_useLaplace,GreedyStepwise_searchBackwards,J48_pruning,J48_subtreeRaising,BestFirst_searchTermination,J48_confidenceFactorValue,SimpleCart_numFoldsPruning,JRip_folds,JRip_optimizations,PART_confidenceFactorValue,DecisionTable_evaluationMeasure,PART_numFolds,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,JRip_minNo,PART_minNumObj,J48_doNotMakeSplitPointActualValue,DecisionTable_crossVal,SimpleCart_minNumObj,J48_numFolds,J48_minNumObj,SimpleCart_useOneSE"
