individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc,option_string
overall,true,confidenceFactor,false,true,null,7,true,true,null,null,true,true,0.25,true,null,9,null,unpruned,true,false,false,weka.attributeSelection.GreedyStepwise,false,true,null,true,false,rmse,CompetenceBasedAggregator,false,true,9,7,null,null,true,null,false,false,8,true,null,0.9912010285555661,-DecisionTable -I -E rmse -X 7 -S weka.attributeSelection.GreedyStepwise -GreedyStepwise -B -PART -U -M 9 -J -SimpleCart -U -M 9 -Aggregator CompetenceBasedAggregator -JRip -N 7 -P -J48 -B -M 8 -C 0.25 
gen_000_ind_000,false,unpruned,false,null,null,6,false,true,1,9,true,true,null,true,null,4,null,reducedErrorPruning,true,false,true,weka.attributeSelection.BestFirst,true,true,null,true,false,mae,MajorityVotingAggregator,true,true,2,2,null,5,false,null,null,true,10,null,null,null,-DecisionTable -X 6 -S weka.attributeSelection.BestFirst -I -E mae -PART -M 4 -R -Q 1 -N 5 -doNotMakeSplitPointActualValue -SimpleCart -U -M 2 -Aggregator MajorityVotingAggregator -BestFirst -D 1 -N 9 -JRip -N 2 -P -E -J48 -M 10 -U -J -A -doNotMakeSplitPointActualValue 
gen_000_ind_001,false,reducedErrorPruning,true,true,0.25,2,false,true,null,null,true,true,null,true,null,2,false,confidenceFactor,false,false,true,weka.attributeSelection.GreedyStepwise,true,true,10,true,true,auc,CompetenceBasedAggregator,false,true,5,6,null,null,true,3,true,true,5,false,null,null,-DecisionTable -X 2 -S weka.attributeSelection.GreedyStepwise -E auc -GreedyStepwise -C -PART -M 2 -B -C 0.25 -doNotMakeSplitPointActualValue -SimpleCart -C 1.0 -S 1 -M 5 -N 10 -Aggregator CompetenceBasedAggregator -JRip -N 6 -P -E -J48 -M 5 -R -Q 1 -N 3 -doNotMakeSplitPointActualValue 
gen_000_ind_002,true,confidenceFactor,true,false,null,6,true,true,null,null,true,true,0.45,true,5,2,false,unpruned,false,true,false,weka.attributeSelection.GreedyStepwise,false,true,5,false,true,rmse,RuleExtractorAggregator,false,true,2,4,3,null,true,null,false,false,10,true,null,null,-DecisionTable -X 6 -S weka.attributeSelection.GreedyStepwise -E rmse -GreedyStepwise -B -PART -M 2 -B -U -J -SimpleCart -C 1.0 -S 1 -M 2 -N 5 -H -Aggregator RuleExtractorAggregator -JRip -N 4 -F 3 -O 5 -J48 -M 10 -C 0.45 -B -S 
gen_000_ind_003,true,reducedErrorPruning,true,true,null,5,true,true,2,4,true,true,null,true,null,4,true,reducedErrorPruning,false,false,false,weka.attributeSelection.BestFirst,true,true,10,true,true,mae,MajorityVotingAggregator,true,true,2,7,null,7,false,5,null,false,4,null,null,null,-DecisionTable -X 5 -S weka.attributeSelection.BestFirst -E mae -PART -M 4 -B -R -Q 1 -N 7 -doNotMakeSplitPointActualValue -J -SimpleCart -C 1.0 -S 1 -M 2 -A -N 10 -Aggregator MajorityVotingAggregator -BestFirst -D 2 -N 4 -JRip -N 7 -P -J48 -M 4 -R -Q 1 -N 5 -J -B -A 
gen_000_ind_004,false,reducedErrorPruning,false,false,null,5,true,true,2,3,true,true,null,false,2,null,null,null,false,true,null,weka.attributeSelection.BestFirst,null,true,null,true,null,rmse,MajorityVotingAggregator,false,true,9,2,6,null,true,5,null,false,4,null,null,null,-DecisionTable -X 5 -S weka.attributeSelection.BestFirst -E rmse -SimpleCart -U -M 9 -Aggregator MajorityVotingAggregator -BestFirst -D 2 -N 3 -JRip -N 2 -F 6 -E -O 2 -J48 -M 4 -R -Q 1 -N 5 -B -S 
gen_000_ind_005,true,unpruned,true,null,null,2,true,true,null,null,true,true,null,true,null,8,false,reducedErrorPruning,false,false,false,weka.attributeSelection.GreedyStepwise,true,true,2,true,false,rmse,CompetenceBasedAggregator,false,true,2,10,null,4,false,null,true,true,5,false,null,null,-DecisionTable -X 2 -S weka.attributeSelection.GreedyStepwise -E rmse -GreedyStepwise -C -PART -M 8 -R -Q 1 -N 4 -doNotMakeSplitPointActualValue -J -SimpleCart -C 1.0 -S 1 -M 2 -N 2 -Aggregator CompetenceBasedAggregator -JRip -N 10 -P -J48 -M 5 -U -J -B -doNotMakeSplitPointActualValue 
gen_000_ind_006,true,unpruned,true,null,0.45,2,false,true,0,6,true,true,null,true,3,5,true,confidenceFactor,false,true,false,weka.attributeSelection.BestFirst,true,true,8,false,true,auc,MajorityVotingAggregator,true,false,3,5,7,null,true,null,null,false,7,null,null,null,-DecisionTable -X 2 -S weka.attributeSelection.BestFirst -E auc -PART -M 5 -B -C 0.45 -doNotMakeSplitPointActualValue -J -SimpleCart -C 1.0 -S 1 -M 3 -A -N 8 -H -Aggregator MajorityVotingAggregator -BestFirst -D 0 -N 6 -JRip -N 5 -F 7 -O 3 -J48 -M 7 -U -A -O 
gen_000_ind_007,false,null,false,null,0.35,2,null,true,0,8,false,true,null,true,7,4,null,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,true,true,null,false,true,acc,RuleExtractorAggregator,null,null,2,3,10,null,null,null,null,null,null,null,null,null,-DecisionTable -X 2 -S weka.attributeSelection.BestFirst -I -E acc -PART -M 4 -B -C 0.35 -doNotMakeSplitPointActualValue -SimpleCart -U -M 2 -H -Aggregator RuleExtractorAggregator -BestFirst -D 0 -N 8 -JRip -N 3 -F 10 -E -O 7 
gen_000_ind_008,false,unpruned,true,null,null,null,false,true,null,null,true,false,null,true,null,2,true,reducedErrorPruning,null,false,false,null,false,true,3,true,false,null,CompetenceBasedAggregator,false,false,3,7,null,4,true,null,null,false,3,null,null,null,-PART -M 2 -R -Q 1 -N 4 -J -SimpleCart -C 1.0 -S 1 -M 3 -A -N 3 -Aggregator CompetenceBasedAggregator -JRip -N 7 -P -E -J48 -M 3 -U -O 
