classifier,someClassifier-Individual,someClassifier-Individual,someClassifier-J48,someClassifier-J48,someClassifier-JRip,someClassifier-JRip,someClassifier-SimpleCart,someClassifier-SimpleCart,someClassifier-PART,someClassifier-PART
metric,mean,std,mean,std,mean,std,mean,std,mean,std
flare,0.9213321188352079,0.0,,,,,,,,
penbased,0.9984890268088285,0.0,0.9891127748043272,0.0,0.9861730610418542,0.0,0.9868750067733135,0.0,0.987132979694937,0.0
diabetic,0.6986027762623507,0.0,,,,,,,0.6555010001818512,0.0
car,0.9935920146135635,0.0,,,,,0.9874340913858233,0.0,0.976220958504946,0.0
ring,0.9703637758548946,0.0,0.9482470363885435,0.0,0.924658353340097,0.0,,,0.9502005814429182,0.0
phoneme,0.9476473523899865,0.0,0.8956699928724162,0.0,0.8273769732144214,0.0,0.8816783940411022,0.0,0.8792289889862647,0.0
banana,0.9611391934622099,0.0,0.943933895498533,0.0,0.8945455898474024,0.0,0.947255918164776,0.0,0.9452191920343425,0.0
page-blocks,0.983870822981207,0.0,0.961793543745984,0.0,0.9200619781560722,0.0,0.9348626299506113,0.0,0.9511263785483515,0.0
krvskp,0.9985079827337994,0.0,,,,,0.9966999050052913,0.0,,
contraceptive,0.7308582429584048,0.0,,,,,,,0.7005726942060361,0.0
banknotes,0.9985134030377351,0.0,,,,,0.9864097930381653,0.0,0.9880706510046899,0.0
seismicbumps,,,,,,,,,,
