individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,true,reducedErrorPruning,null,true,null,10,true,true,2,8,true,true,null,true,null,7,null,unpruned,false,false,false,weka.attributeSelection.BestFirst,false,false,null,null,false,auc,MajorityVotingAggregator,true,false,null,5,null,null,false,5,null,false,7,null,null,0.0
overall,false,reducedErrorPruning,null,true,null,10,false,true,null,null,true,true,null,true,null,7,null,unpruned,true,false,false,weka.attributeSelection.GreedyStepwise,false,false,null,null,false,acc,MajorityVotingAggregator,true,false,null,2,null,null,true,4,false,false,5,true,null,0.0
gen_000_ind_000,true,confidenceFactor,true,true,null,1,false,true,0,2,true,true,0.15,false,null,null,true,null,false,false,null,weka.attributeSelection.BestFirst,null,true,9,false,null,auc,RuleExtractorAggregator,true,false,4,8,null,null,true,null,null,false,5,null,0.7670542635658915,null
gen_000_ind_001,null,reducedErrorPruning,true,true,null,10,false,false,0,8,true,true,null,true,null,9,true,reducedErrorPruning,false,null,true,weka.attributeSelection.BestFirst,false,true,6,true,false,auc,MajorityVotingAggregator,false,false,9,null,null,3,true,10,null,false,8,null,0.8394551495016611,null
gen_000_ind_002,false,confidenceFactor,true,true,0.35,8,false,true,1,9,true,true,0.25,true,7,9,true,confidenceFactor,true,true,false,weka.attributeSelection.BestFirst,true,true,4,false,true,mae,CompetenceBasedAggregator,false,true,6,2,5,null,true,null,null,true,8,null,0.8256544850498339,null
gen_000_ind_003,true,unpruned,true,null,null,3,false,true,1,9,true,true,null,true,1,2,true,reducedErrorPruning,true,true,false,weka.attributeSelection.BestFirst,false,true,4,true,false,auc,CompetenceBasedAggregator,true,false,6,2,3,10,true,null,null,false,10,null,0.8317408637873754,null
gen_000_ind_004,true,confidenceFactor,null,false,0.45,1,true,true,1,3,true,true,0.25,true,5,6,null,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,true,false,null,null,true,mae,RuleExtractorAggregator,true,true,null,2,5,null,true,null,null,false,2,null,0.794361018826135,null
gen_000_ind_005,true,null,true,null,null,1,null,true,null,null,false,true,null,false,null,null,false,null,false,false,null,weka.attributeSelection.GreedyStepwise,null,true,2,true,null,auc,MajorityVotingAggregator,null,null,5,10,null,null,null,null,false,null,null,true,0.835514950166113,null
gen_000_ind_006,true,unpruned,true,null,0.05,4,true,true,2,5,true,true,null,true,null,7,true,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,false,true,5,false,true,mae,MajorityVotingAggregator,false,true,10,6,null,null,false,null,null,true,8,null,0.8263920265780731,null
gen_000_ind_007,true,reducedErrorPruning,true,true,null,1,true,true,2,8,true,true,null,true,null,9,true,reducedErrorPruning,true,false,false,weka.attributeSelection.BestFirst,true,true,4,false,false,rmse,CompetenceBasedAggregator,false,true,9,10,null,5,true,6,null,false,6,null,0.8269147286821706,null
