gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.72069767,0.82181285,0.85065559,0.80740864,0.82551300,0029,0034,0035,0.00000000,"JRip,J48,J48_binarySplits,DecisionTable,J48_minNumObj,DecisionTable_useIBk,Aggregator,JRip_usePruning,DecisionTable_crossVal,SimpleCart,SimpleCart_heuristic,DecisionTable_search,J48_useLaplace,JRip_minNo,DecisionTable_evaluationMeasure,BestFirst_searchTermination,J48_collapseTree,J48_pruning,J48_doNotMakeSplitPointActualValue,PART,J48_numFolds,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,JRip_checkErrorRate,SimpleCart_minNumObj,J48_useMDLcorrection,PART_doNotMakeSplitPointActualValue,PART_binarySplits,JRip_optimizations,PART_useMDLcorrection,J48_confidenceFactorValue,PART_pruning,JRip_folds,SimpleCart_usePrune,PART_minNumObj,GreedyStepwise_searchBackwards,J48_subtreeRaising,SimpleCart_useOneSE,PART_numFolds,PART_confidenceFactorValue,SimpleCart_numFoldsPruning"
1,90,0.75897674,0.82690476,0.85422148,0.89131783,0.89238494,0010,0034,0035,0.00000000,"SimpleCart,Aggregator,JRip,DecisionTable,DecisionTable_crossVal,DecisionTable_evaluationMeasure,J48,JRip_usePruning,JRip_minNo,SimpleCart_heuristic,JRip_checkErrorRate,PART,SimpleCart_minNumObj,DecisionTable_useIBk,J48_useMDLcorrection,SimpleCart_usePrune,SimpleCart_numFoldsPruning,JRip_optimizations,DecisionTable_search,J48_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,PART_minNumObj,PART_binarySplits,J48_pruning,PART_useMDLcorrection,J48_minNumObj,J48_subtreeRaising,JRip_folds,J48_collapseTree,J48_confidenceFactorValue,J48_useLaplace,SimpleCart_useOneSE,J48_numFolds,J48_binarySplits,PART_pruning,PART_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,GreedyStepwise_searchBackwards,BestFirst_direction,BestFirst_searchTermination,PART_numFolds"
2,90,0.70708527,0.82772204,0.85991141,0.86332226,0.85809653,0010,0034,0035,0.00000000,"JRip,DecisionTable,Aggregator,JRip_usePruning,JRip_minNo,PART,DecisionTable_useIBk,JRip_folds,JRip_optimizations,SimpleCart,DecisionTable_crossVal,SimpleCart_minNumObj,SimpleCart_heuristic,PART_useMDLcorrection,J48,PART_doNotMakeSplitPointActualValue,JRip_checkErrorRate,DecisionTable_evaluationMeasure,DecisionTable_search,PART_pruning,PART_minNumObj,J48_collapseTree,J48_useLaplace,GreedyStepwise_searchBackwards,SimpleCart_usePrune,BestFirst_direction,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,PART_binarySplits,J48_minNumObj,SimpleCart_useOneSE,J48_pruning,PART_confidenceFactorValue,J48_numFolds,SimpleCart_numFoldsPruning,J48_useMDLcorrection,J48_binarySplits,J48_doNotMakeSplitPointActualValue,PART_numFolds,J48_confidenceFactorValue,J48_subtreeRaising"
3,90,0.75846512,0.83219491,0.86241860,0.85913621,0.87661567,0008,0034,0035,0.00000000,"SimpleCart,Aggregator,J48,PART,PART_pruning,J48_useLaplace,JRip,J48_minNumObj,PART_confidenceFactorValue,J48_collapseTree,DecisionTable,SimpleCart_heuristic,SimpleCart_usePrune,J48_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,J48_pruning,J48_subtreeRaising,PART_useMDLcorrection,JRip_checkErrorRate,DecisionTable_evaluationMeasure,DecisionTable_useIBk,JRip_minNo,J48_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,DecisionTable_search,JRip_usePruning,PART_binarySplits,J48_numFolds,DecisionTable_crossVal,J48_useMDLcorrection,PART_minNumObj,PART_numFolds,J48_binarySplits,BestFirst_searchTermination,SimpleCart_numFoldsPruning,JRip_optimizations,SimpleCart_useOneSE,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,JRip_folds,GreedyStepwise_searchBackwards"
4,90,0.77685271,0.83845515,0.86241860,0.85913621,0.87661567,0010,0034,0073,0.48303250,"DecisionTable,PART,PART_pruning,PART_binarySplits,DecisionTable_search,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,PART_minNumObj,BestFirst_direction,PART_confidenceFactorValue,Aggregator,BestFirst_searchTermination,DecisionTable_evaluationMeasure,PART_numFolds,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,DecisionTable_useIBk,DecisionTable_crossVal,SimpleCart_useOneSE,JRip_checkErrorRate,J48_collapseTree,SimpleCart_numFoldsPruning,SimpleCart_usePrune,J48_binarySplits,JRip_optimizations,J48_pruning,J48_subtreeRaising,J48_confidenceFactorValue,J48_numFolds,JRip,JRip_minNo,JRip_usePruning,JRip_folds,J48_useMDLcorrection,SimpleCart_heuristic,J48_doNotMakeSplitPointActualValue,J48_minNumObj,SimpleCart_minNumObj,J48,J48_useLaplace,SimpleCart"
5,90,0.72959247,0.83892027,0.86641417,0.85439646,0.85568036,0008,0034,0073,0.48303250,"DecisionTable,PART,DecisionTable_evaluationMeasure,DecisionTable_crossVal,DecisionTable_useIBk,PART_doNotMakeSplitPointActualValue,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_direction,BestFirst_searchTermination,PART_pruning,PART_confidenceFactorValue,Aggregator,PART_numFolds,PART_binarySplits,PART_useMDLcorrection,PART_minNumObj,GreedyStepwise_conservativeForwardSelection,JRip_usePruning,JRip_folds,JRip_optimizations,SimpleCart_usePrune,SimpleCart_useOneSE,J48_pruning,J48_subtreeRaising,J48_confidenceFactorValue,SimpleCart_numFoldsPruning,J48_numFolds,JRip,JRip_minNo,JRip_checkErrorRate,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,SimpleCart_heuristic,J48_binarySplits,SimpleCart_minNumObj,J48,J48_minNumObj,J48_collapseTree,J48_useLaplace,SimpleCart"
6,90,0.76193798,0.83720819,0.88094131,0.87435216,0.90614136,0008,0034,0073,0.48303250,"DecisionTable,PART,PART_minNumObj,PART_useMDLcorrection,DecisionTable_crossVal,PART_pruning,PART_confidenceFactorValue,Aggregator,PART_doNotMakeSplitPointActualValue,PART_binarySplits,DecisionTable_useIBk,DecisionTable_evaluationMeasure,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,PART_numFolds,SimpleCart_useOneSE,J48_minNumObj,SimpleCart_minNumObj,J48,J48_collapseTree,J48_pruning,J48_subtreeRaising,J48_confidenceFactorValue,J48_binarySplits,SimpleCart_numFoldsPruning,J48_doNotMakeSplitPointActualValue,JRip_checkErrorRate,JRip_optimizations,JRip_folds,JRip_usePruning,SimpleCart_usePrune,J48_useMDLcorrection,J48_numFolds,JRip,JRip_minNo,J48_useLaplace,SimpleCart,SimpleCart_heuristic"
7,90,0.76331783,0.83709635,0.88094131,0.87435216,0.90614136,0009,0034,0062,0.51408915,"SimpleCart,SimpleCart_usePrune,SimpleCart_useOneSE,PART,DecisionTable,SimpleCart_numFoldsPruning,SimpleCart_heuristic,SimpleCart_minNumObj,DecisionTable_useIBk,PART_pruning,Aggregator,PART_numFolds,DecisionTable_evaluationMeasure,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,PART_confidenceFactorValue,DecisionTable_crossVal,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,J48,GreedyStepwise_searchBackwards,J48_pruning,J48_useLaplace,J48_minNumObj,J48_confidenceFactorValue,JRip,JRip_usePruning,JRip_folds,JRip_checkErrorRate,JRip_optimizations,J48_collapseTree,J48_doNotMakeSplitPointActualValue,J48_binarySplits,BestFirst_direction,J48_subtreeRaising,JRip_minNo,J48_numFolds,BestFirst_searchTermination,PART_minNumObj,PART_binarySplits,J48_useMDLcorrection"
8,90,0.75443411,0.83870100,0.88094131,0.87435216,0.90614136,0009,0034,0062,0.51408915,"SimpleCart,SimpleCart_heuristic,PART,SimpleCart_minNumObj,DecisionTable,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,DecisionTable_useIBk,PART_doNotMakeSplitPointActualValue,PART_pruning,Aggregator,PART_numFolds,DecisionTable_crossVal,PART_binarySplits,PART_confidenceFactorValue,PART_minNumObj,PART_useMDLcorrection,DecisionTable_search,J48,J48_binarySplits,J48_pruning,GreedyStepwise_conservativeForwardSelection,J48_useLaplace,J48_minNumObj,GreedyStepwise_searchBackwards,J48_confidenceFactorValue,JRip,JRip_checkErrorRate,JRip_usePruning,JRip_optimizations,JRip_folds,J48_subtreeRaising,BestFirst_direction,J48_useMDLcorrection,JRip_minNo,J48_collapseTree,J48_numFolds,BestFirst_searchTermination,J48_doNotMakeSplitPointActualValue,DecisionTable_evaluationMeasure"
9,90,0.76001550,0.84546290,0.88094131,0.87435216,0.90614136,0010,0034,0062,0.51408915,"DecisionTable,SimpleCart,SimpleCart_usePrune,PART,SimpleCart_heuristic,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,SimpleCart_useOneSE,DecisionTable_evaluationMeasure,PART_pruning,Aggregator,DecisionTable_crossVal,PART_binarySplits,PART_doNotMakeSplitPointActualValue,DecisionTable_useIBk,DecisionTable_search,PART_confidenceFactorValue,J48,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,J48_minNumObj,J48_useLaplace,J48_pruning,JRip,J48_confidenceFactorValue,JRip_usePruning,JRip_optimizations,JRip_folds,JRip_minNo,JRip_checkErrorRate,PART_numFolds,J48_subtreeRaising,BestFirst_direction,J48_numFolds,BestFirst_searchTermination,PART_minNumObj,J48_doNotMakeSplitPointActualValue,PART_useMDLcorrection,J48_useMDLcorrection,J48_binarySplits,J48_collapseTree"
