individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,true,unpruned,false,null,0.35,null,false,true,null,null,true,false,null,true,9,10,null,confidenceFactor,null,true,false,null,true,true,null,true,true,null,CompetenceBasedAggregator,true,false,6,10,9,null,false,null,null,true,10,null,null,0.942162138828134
overall,true,unpruned,false,null,0.35,null,true,true,null,null,true,false,null,true,9,4,null,confidenceFactor,null,true,false,null,false,true,null,true,true,null,CompetenceBasedAggregator,true,false,6,6,6,null,false,null,null,true,10,null,null,0.942162138828134
gen_000_ind_000,true,confidenceFactor,false,false,0.45,5,false,true,null,null,true,true,0.35,true,2,2,null,confidenceFactor,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,false,false,auc,RuleExtractorAggregator,false,true,8,8,5,null,false,null,true,true,5,false,0.8775123221089881,null
gen_000_ind_001,false,confidenceFactor,false,true,null,1,true,true,1,2,true,true,0.15,false,null,null,null,null,false,false,null,weka.attributeSelection.BestFirst,null,true,null,true,null,acc,CompetenceBasedAggregator,false,true,6,2,null,null,false,null,null,true,9,null,0.9530367473335843,null
gen_000_ind_002,true,unpruned,false,null,null,5,false,true,0,9,true,true,null,true,2,3,null,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,true,true,null,true,true,auc,RuleExtractorAggregator,true,false,9,8,3,3,true,null,null,false,7,null,0.8443977034364707,null
gen_000_ind_003,true,null,true,null,null,5,null,true,1,4,false,true,null,true,2,6,false,unpruned,true,true,true,weka.attributeSelection.BestFirst,true,true,4,true,true,acc,MajorityVotingAggregator,null,null,6,6,7,null,null,null,null,null,null,null,0.9473410471056487,null
gen_000_ind_004,false,confidenceFactor,true,false,0.25,6,false,true,1,3,true,true,0.25,true,10,9,true,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,false,true,4,false,false,auc,MajorityVotingAggregator,false,true,2,10,10,null,true,null,null,false,2,null,0.9442002428046148,null
gen_000_ind_005,false,confidenceFactor,false,true,null,6,false,true,2,2,true,true,0.05,true,null,10,null,reducedErrorPruning,true,false,true,weka.attributeSelection.BestFirst,false,true,null,true,false,rmse,MajorityVotingAggregator,true,true,8,9,null,5,false,null,null,false,2,null,0.9505715733602209,null
gen_000_ind_006,false,confidenceFactor,false,false,0.35,4,false,true,0,10,true,true,0.35,true,2,8,null,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,null,false,true,auc,RuleExtractorAggregator,true,true,7,2,4,null,true,null,null,false,2,null,0.8357554923964484,null
gen_000_ind_007,false,reducedErrorPruning,true,false,null,1,false,true,null,null,true,true,null,true,3,8,false,unpruned,false,true,false,weka.attributeSelection.GreedyStepwise,false,true,9,true,false,auc,CompetenceBasedAggregator,true,true,4,5,8,null,true,7,false,false,4,true,0.9541989965172523,null
gen_000_ind_008,null,confidenceFactor,false,false,0.25,1,true,false,2,2,true,true,0.25,true,null,3,null,confidenceFactor,false,null,false,weka.attributeSelection.BestFirst,false,true,null,false,false,auc,MajorityVotingAggregator,true,false,2,null,null,null,false,null,null,false,2,null,0.9516641359476893,null
